"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","SN51","SN51_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX51","SX51_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00155097","2018-07-18","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0","T,,7,1300",,,,,"  333",",,7","  189",",,7",,,,,"  306",",,7,1300","   80",",,7","  228",",,7","  244",",,7","  283",",,7","  283",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-19","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  328",",,7","  172",",,7",,,,,"  322",",,7,1300","   58",",,7","  222",",,7","  239",",,7","  278",",,7","  278",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-20","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  344",",,7","  228",",,7",,,,,"  339",",,7,1300","   85",",,7","  239",",,7","  244",",,7","  278",",,7","  272",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-21","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","  505",",,7,1300",,,,,"  339",",,7","  172",",,7",,,,,"  300",",,7,1300","  165",",,7","  206",",,7","  206",",,7","  278",",,7","  278",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-22","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  300",",,7","  200",",,7",,,,,"  244",",,7,1300","   89",",,7","  233",",,7","  244",",,7","  261",",,7","  261",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-23","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   53",",,7,1300",,,,,"  267",",,7","  194",",,7",,,,,"  267",",,7,1300","   80",",,7","  228",",,7","  239",",,7","  250",",,7","  256",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-24","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  294",",,7","  167",",,7",,,,,"  289",",,7,1300","   80",",,7","  222",",,7","  233",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-25","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  317",",,7","  178",",,7",,,,,"  289",",,7,1300","   54",",,7","  222",",,7","  239",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-26","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  322",",,7","  167",",,7",,,,,"  317",",,7,1300","   45",",,7","  222",",,7","  233",",,7","  267",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-27","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  333",",,7","  211",",,7",,,,,"  294",",,7,1300","   72",",,7","  239",",,7","  244",",,7","  267",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-28","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  300",",,7","  156",",,7",,,,,"  283",",,7,1300","   63",",,7","  222",",,7","  239",",,7","  272",",,7","  272",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-29","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  306",",,7","  161",",,7",,,,,"  300",",,7,1300","   45",",,7","  217",",,7","  233",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-30","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  322",",,7","  194",",,7",,,,,"  311",",,7,1300","   49",",,7","  228",",,7","  239",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-31","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0","T,,7,1300",,,,,"  317",",,7","  206",",,7",,,,,"  283",",,7,1300","   67",",,7","  233",",,7","  244",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-01","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  289",",,7","  200",",,7",,,,,"  278",",,7,1300","   45",",,7","  233",",,7","  244",",,7","  267",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-02","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  289",",,7","  161",",,7",,,,,"  289",",,7,1300","   40",",,7","  228",",,7","  244",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-03","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  322",",,7","  172",",,7",,,,,"  322",",,7,1300","   54",",,7","  217",",,7","  233",",,7","  267",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-04","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  339",",,7","  183",",,7",,,,,"  333",",,7,1300","   40",",,7","  228",",,7","  239",",,7","  272",",,7","  272",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-05","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  344",",,7","  206",",,7",,,,,"  278",",,7,1300","   63",",,7","  233",",,7","  244",",,7","  278",",,7","  278",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-06","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    8",",,7,1300",,,,,"  344",",,7","  206",",,7",,,,,"  328",",,7,1300","   63",",,7","  233",",,7","  244",",,7","  267",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-07","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  356",",,7","  211",",,7",,,,,"  344",",,7,1300","   76",",,7","  233",",,7","  244",",,7","  278",",,7","  278",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-08","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   53",",,7,1300",,,,,"  356",",,7","  217",",,7",,,,,"  261",",,7,1300","  103",",,7","  239",",,7","  250",",,7","  278",",,7","  278",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-09","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    3",",,7,1300",,,,,"  306",",,7","  200",",,7",,,,,"  222",",,7,1300","   76",",,7","  228",",,7","  239",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-10","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   30",",,7,1300",,,,,"  272",",,7","  211",",,7",,,,,"  244",",,7,1300","   45",",,7","  233",",,7","  239",",,7","  256",",,7","  261",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-11","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  333",",,7","  178",",,7",,,,,"  317",",,7,1300","   45",",,7","  217",",,7","  228",",,7","  256",",,7","  261",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-12","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  333",",,7","  183",",,7",,,,,"  289",",,7,1300","   63",",,7","  222",",,7","  233",",,7","  272",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-13","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  317",",,7","  178",",,7",,,,,"  317",",,7,1300","   54",",,7","  217",",,7","  233",",,7","  272",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-14","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  322",",,7","  167",",,7",,,,,"  317",",,7,1300","   49",",,7","  217",",,7","  233",",,7","  272",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-15","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   23",",,7,1300",,,,,"  328",",,7","  211",",,7",,,,,"  311",",,7,1300","   63",",,7","  233",",,7","  244",",,7","  272",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-16","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","  500",",,7,1300",,,,,"  322",",,7","  211",",,7",,,,,"  294",",,7,1300","  103",",,7","  222",",,7","  222",",,7","  267",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-17","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   58",",,7,1300",,,,,"  311",",,7","  217",",,7",,,,,"  278",",,7,1300","   67",",,7","  233",",,7","  233",",,7","  250",",,7","  250",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-18","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    8",",,7,1300",,,,,"  311",",,7","  217",",,7",,,,,"  311",",,7,1300","   63",",,7","  222",",,7","  222",",,7","  267",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-19","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  317",",,7","  200",",,7",,,,,"  317",",,7,1300","   54",",,7","  233",",,7","  244",",,7","  272",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-20","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  322",",,7","  217",",,7",,,,,"  317",",,7,1300","   80",",,7","  217",",,7","  233",",,7","  272",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-21","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","  175",",,7,1300",,,,,"  317",",,7","  206",",,7",,,,,"  289",",,7,1300","  107",",,7","  233",",,7","  244",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-22","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    8",",,7,1300",,,,,"  289",",,7","  183",",,7",,,,,"  256",",,7,1300","   76",",,7","  233",",,7","  244",",,7","  261",",,7","  261",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-23","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  267",",,7","  128",",,7",,,,,"  267",",,7,1300","   85",",,7","  211",",,7","  228",",,7","  261",",,7","  261",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-24","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  278",",,7","  133",",,7",,,,,"  256",",,7,1300","   72",",,7","  206",",,7","  217",",,7","  250",",,7","  256",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-25","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  317",",,7","  206",",,7",,,,,"  311",",,7,1300","   76",",,7","  217",",,7","  228",",,7","  233",",,7","  239",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-26","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  339",",,7","  211",",,7",,,,,"  317",",,7,1300","   58",",,7","  228",",,7","  233",",,7","  250",",,7","  256",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-27","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  350",",,7","  211",",,7",,,,,"  322",",,7,1300","   63",",,7","  233",",,7","  239",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-28","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  350",",,7","  211",",,7",,,,,"  350",",,7,1300","   63",",,7","  233",",,7","  244",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-29","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    3",",,7,1300",,,,,"  350",",,7","  222",",,7",,,,,"  339",",,7,1300","   67",",,7","  239",",,7","  244",",,7","  267",",,7","  272",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-30","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","  312",",,7,1300",,,,,"  350",",,7","  206",",,7",,,,,"  311",",,7,1300","   89",",,7","  233",",,7","  244",",,7","  267",",,7","  272",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-08-31","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  328",",,7","  206",",,7",,,,,"  261",",,7,1300","   67",",,7","  233",",,7","  244",",,7","  267",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-01","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   36",",,7,1300",,,,,"  322",",,7","  206",",,7",,,,,"  322",",,7,1300","   98",",,7","  233",",,7","  244",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-02","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  344",",,7","  211",",,7",,,,,"  339",",,7,1300","   54",",,7","  233",",,7","  244",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-03","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  356",",,7","  222",",,7",,,,,"  333",",,7,1300","   54",",,7","  233",",,7","  244",",,7","  267",",,7","  272",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-04","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  350",",,7","  211",",,7",,,,,"  339",",,7,1300","   63",",,7","  233",",,7","  244",",,7","  267",",,7","  272",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-05","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  350",",,7","  217",",,7",,,,,"  333",",,7,1300","   40",",,7","  233",",,7","  244",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-06","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   64",",,7,1300",,,,,"  333",",,7","  228",",,7",,,,,"  228",",,7,1300","   67",",,7","  244",",,7","  250",",,7","  267",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-07","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   43",",,7,1300",,,,,"  333",",,7","  206",",,7",,,,,"  317",",,7,1300","   58",",,7","  233",",,7","  239",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-08","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","  140",",,7,1300",,,,,"  339",",,7","  206",",,7",,,,,"  289",",,7,1300","  103",",,7","  233",",,7","  239",",,7","  261",",,7","  267",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-09","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","  264",",,7,1300",,,,,"  294",",,7","  206",",,7",,,,,"  206",",,7,1300","   54",",,7","  239",",,7","  244",",,7","  250",",,7","  256",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-10","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   36",",,7,1300",,,,,"  206",",,7","  156",",,7",,,,,"  189",",,7,1300","   58",",,7","  217",",,7","  228",",,7","  239",",,7","  244",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-11","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  211",",,7","  122",",,7",,,,,"  211",",,7,1300","   67",",,7","  200",",,7","  211",",,7","  228",",,7","  233",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-12","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  267",",,7","  156",",,7",,,,,"  261",",,7,1300","   49",",,7","  206",",,7","  217",",,7","  222",",,7","  228",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-13","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  311",",,7","  172",",,7",,,,,"  311",",,7,1300","   45",",,7","  206",",,7","  217",",,7","  233",",,7","  233",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-14","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  322",",,7","  206",",,7",,,,,"  322",",,7,1300","   58",",,7","  222",",,7","  228",",,7","  244",",,7","  244",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-15","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  328",",,7","  206",",,7",,,,,"  311",",,7,1300","   80",",,7","  222",",,7","  233",",,7","  250",",,7","  256",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-16","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  322",",,7","  206",",,7",,,,,"  278",",,7,1300","   63",",,7","  222",",,7","  233",",,7","  250",",,7","  256",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-17","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    3",",,7,1300",,,,,"  294",",,7","  211",",,7",,,,,"  283",",,7,1300","   72",",,7","  228",",,7","  233",",,7","  239",",,7","  244",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-18","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  339",",,7","  194",",,7",,,,,"  333",",,7,1300","   76",",,7","  217",",,7","  228",",,7","  244",",,7","  250",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-19","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  344",",,7","  200",",,7",,,,,"  344",",,7,1300","   40",",,7","  222",",,7","  233",",,7","  256",",,7","  256",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-20","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  356",",,7","  200",",,7",,,,,"  350",",,7,1300","   54",",,7","  222",",,7","  233",",,7","  256",",,7","  256",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-21","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  356",",,7","  217",",,7",,,,,"  328",",,7,1300","   67",",,7","  228",",,7","  239",",,7","  256",",,7","  256",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-22","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","  333",",,7,1300",,,,,"  328",",,7","  167",",,7",,,,,"  178",",,7,1300","   80",",,7","  217",",,7","  228",",,7","  256",",,7","  256",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-23","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","  122",",,7,1300",,,,,"  228",",,7","  167",",,7",,,,,"  222",",,7,1300","   72",",,7","  211",",,7","  217",",,7","  222",",,7","  228",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-24","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","  269",",,7,1300",,,,,"  233",",,7","  194",",,7",,,,,"  228",",,7,1300","   67",",,7","  211",",,7","  217",",,7","  217",",,7","  228",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-25","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   84",",,7,1300",,,,,"  278",",,7","  211",",,7",,,,,"  256",",,7,1300","   89",",,7","  211",",,7","  222",",,7","  228",",,7","  228",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-26","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   71",",,7,1300",,,,,"  267",",,7","  200",",,7",,,,,"  228",",,7,1300","   94",",,7","  217",",,7","  228",",,7","  233",",,7","  233",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-27","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","  178",",,7,1300",,,,,"  228",",,7","  144",",,7",,,,,"  161",",,7,1300","   76",",,7","  194",",,7","  206",",,7","  233",",,7","  233",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-28","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  194",",,7","  106",",,7",,,,,"  194",",,7,1300","   58",",,7","  172",",,7","  178",",,7","  200",",,7","  206",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-29","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  256",",,7","  106",",,7",,,,,"  256",",,7,1300","   49",",,7","  167",",,7","  183",",,7","  206",",,7","  211",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-09-30","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  294",",,7","  122",",,7",,,,,"  289",",,7,1300","   40",",,7","  172",",,7","  183",",,7","  206",",,7","  206",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-10-01","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  306",",,7","  167",",,7",,,,,"  300",",,7,1300","   58",",,7","  183",",,7","  194",",,7","  211",",,7","  217",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-10-02","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    3",",,7,1300",,,,,"  306",",,7","  206",",,7",,,,,"  267",",,7,1300","   54",",,7","  206",",,7","  211",",,7","  217",",,7","  228",",,7",,,,,,,,,,,,,,,,,,
