"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023052","2018-08-01","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  294",",,W","  111",",,W",,,"   31",",,W",,," 1807",",,W",,,,,"  350",",,W","  350",",,W",,,,,"  157",",,W","  224",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-02","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","   15",",,W,",,,,,"  311",",,W","  122",",,W",,,"   23",",,W",,," 1631",",,W",,,,,"  300",",,W","  280",",,W",,,,,"  130",",,W","  188",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-03","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  300",",,W","  133",",,W",,,"   29",",,W",,," 1317",",,W",,,,,"  260",",,W","  260",",,W",,,,,"  103",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-04","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  322",",,W","  100",",,W",,,"   30",",,W",,," 1337",",,W",,,,,"   90",",,W","  110",",,W",,,,,"   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-05","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  322",",,W","  144",",,W",,,"   34",",,W",,," 1319",",,W",,,,,"  180",",,W","  180",",,W",,,,,"  134",",,W","  157",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-06","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","  348",",,W,",,,,,"  300",",,W","  139",",,W",,,"   37",",,W",,," 1242",",,W",,,,,"   80",",,W","   80",",,W",,,,,"  112",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-07","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","   25",",,W,",,,,,"  294",",,W","  128",",,W",,,"   45",",,W",,," 1955",",,W",,,,,"  250",",,W","  250",",,W",,,,,"  134",",,W","  165",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-08","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  267",",,W","  122",",,W",,,"   36",",,W",,," 1445",",,W",,,,,"  360",",,W","  340",",,W",,,,,"  125",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-09","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  294",",,W","  122",",,W",,,"   26",",,W",,," 1654",",,W",,,,,"   30",",,W","  180",",,W",,,,,"   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-10","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  278",",,W","  111",",,W",,,"   30",",,W",,," 1420",",,W",,,,,"   60",",,W","   60",",,W",,,,,"   89",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-11","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  272",",,W","   94",",,W",,,"   28",",,W",,," 1213",",,W",,,,,"  110",",,W","  120",",,W",,,,,"   63",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-12","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  272",",,W","   94",",,W",,,"   26",",,W",,," 1359",",,W",,,,,"  170",",,W","  160",",,W",,,,,"   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-13","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  317",",,W","  106",",,W",,,"   30",",,W",,," 1559",",,W",,,,,"   30",",,W","   40",",,W",,,,,"   89",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-14","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","  191",",,W,",,,,,"  294",",,W","   83",",,W",,,"   43",",,W",,," 2038",",,W",,,,,"  330",",,W","  330",",,W",,,,,"  210",",,W","  255",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-15","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","   20",",,W,",,,,,"  278",",,W","  128",",,W",,,"   23",",,W",,," 1342",",,W",,,,,"  280",",,W","  280",",,W",,,,,"  103",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-16","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    3",",,W,",,,,,"  306",",,W","  139",",,W",,,"   29",",,W",,," 1446",",,W",,,,,"  260",",,W","  260",",,W",,,,,"  134",",,W","  174",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-17","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","  168",",,W,",,,,,"  289",",,W","  111",",,W",,,"   35",",,W",,," 1426",",,W",,,,,"  360",",,W","  360",",,W",,,,,"  107",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-18","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","  135",",,W,",,,,,"  278",",,W","  122",",,W",,,"   31",",,W",,," 1633",",,W",,,,,"  220",",,W","  320",",,W",,,,,"  107",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-19","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    3",",,W,",,,,,"  250",",,W","  133",",,W",,,"   45",",,W",,," 0231",",,W",,,,,"   10",",,W","  360",",,W",,,,,"  125",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-20","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  250",",,W","  128",",,W",,,"   36",",,W",,," 1220",",,W",,,,,"  170",",,W","  180",",,W",,,,,"   94",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-21","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    8",",,W,",,,,,"  278",",,W","  133",",,W",,,"   28",",,W",,," 1742",",,W",,,,,"  140",",,W","  140",",,W",,,,,"  107",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-22","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  267",",,W","  144",",,W",,,"   42",",,W",,," 1602",",,W",,,,,"  210",",,W","  210",",,W",,,,,"  116",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-23","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  289",",,W","  122",",,W",,,"   26",",,W",,," 1851",",,W",,,,,"  290",",,W","  290",",,W",,,,,"   76",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-24","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  294",",,W","  106",",,W",,,"   34",",,W",,," 1728",",,W",,,,,"  160",",,W","  160",",,W",,,,,"   81",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-25","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","   61",",,W,",,,,,"  300",",,W","  122",",,W",,,"   38",",,W",,," 1346",",,W",,,,,"  260",",,W","  220",",,W",,,,,"  130",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-26","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  306",",,W","  122",",,W",,,"   31",",,W",,," 1627",",,W",,,,,"  260",",,W","  260",",,W",,,,,"  103",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-27","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  311",",,W","  128",",,W",,,"   47",",,W",,," 1322",",,W",,,,,"  260",",,W","  250",",,W",,,,,"  112",",,W","  139",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-28","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  300",",,W","   83",",,W",,,"   40",",,W",,," 1440",",,W",,,,,"   70",",,W","  180",",,W",,,,,"   89",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-29","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  294",",,W","  117",",,W",,,"   45",",,W",,," 1744",",,W",,,,,"  160",",,W","  160",",,W",,,,,"  134",",,W","  165",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-30","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  328",",,W","  122",",,W",,,"   30",",,W",,," 1507",",,W",,,,,"  170",",,W","  170",",,W",,,,,"  103",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-08-31","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  322",",,W","   83",",,W",,,"   33",",,W",,," 1250",",,W",,,,,"  310",",,W","  320",",,W",,,,,"  148",",,W","  183",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-09-01","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  256",",,W","  117",",,W",,,"   43",",,W",,," 0436",",,W",,,,,"  160",",,W","  150",",,W",,,,,"  143",",,W","  174",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-09-02","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","   36",",,W,",,,,,"  272",",,W","   89",",,W",,,"   41",",,W",,," 1139",",,W",,,,,"   50",",,W","   50",",,W",,,,,"  116",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-09-03","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","   69",",,W,",,,,,"  239",",,W","  122",",,W",,,"   27",",,W",,," 1340",",,W",,,,,"  290",",,W","  290",",,W",,,,,"  112",",,W","  139",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-09-04","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","   74",",,W,",,,,,"  256",",,W","   94",",,W",,,"   17",",,W",,," 1307",",,W",,,,,"  330",",,W","  330",",,W",,,,,"  112",",,W","  139",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-09-05","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","   30",",,W,",,,,,"  239",",,W","   83",",,W",,,"   47",",,W",,," 1432",",,W",,,,,"  340",",,W","  340",",,W",,,,,"  103",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-09-06","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  222",",,W","   94",",,W",,,"   20",",,W",,," 1517",",,W",,,,,"  320",",,W","  310",",,W",,,,,"   81",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
