"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00012971","2019-03-14","29.7089","-98.0458","196.6","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US","   10",",,W,2400",,,,,"  256",",,W","  117",",,W","   53",",,W",,,,,,,,,"   10",",,W","   10",",,W","  112",",,W","  143",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012971","2019-03-15","29.7089","-98.0458","196.6","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  167",",,W","   89",",,W","   58",",,W",,,,,,,,,"   30",",,W","   20",",,W","  125",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012971","2019-03-16","29.7089","-98.0458","196.6","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  156",",,W","   72",",,W","   34",",,W",,,,,,,,,"   50",",,W","   60",",,W","   81",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012971","2019-03-17","29.7089","-98.0458","196.6","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  183",",,W","   56",",,W","   22",",,W",,,,,,,,,"   50",",,W","   70",",,W","   58",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012971","2019-03-18","29.7089","-98.0458","196.6","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  206",",,W","   50",",,W","   30",",,W",,,,,,,,,"  130",",,W","  130",",,W","   89",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012971","2019-03-19","29.7089","-98.0458","196.6","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US","    0","T,,W,2400",,,,,"  217",",,W","   50",",,W","   32",",,W",,,,,,,,,"  160",",,W","  170",",,W","   89",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012971","2019-03-20","29.7089","-98.0458","196.6","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  250",",,W","   94",",,W","   21",",,W",,,,,,,,,"   70",",,W","   60",",,W","   67",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012971","2019-03-21","29.7089","-98.0458","196.6","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  250",",,W","   94",",,W","   19",",,W",,,,,,,,,"   30",",,W","   30",",,W","   45",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012971","2019-03-22","29.7089","-98.0458","196.6","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  261",",,W","   89",",,W","   39",",,W",,,,,,,,,"  160",",,W","  170",",,W","   94",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012971","2019-03-23","29.7089","-98.0458","196.6","NEW BRAUNFELS MUNICIPAL AIRPORT, TX US","    0",",,W,2400",,,,,"  239",",,W","  161",",,W","   53",",,W",,,,,,,,,"  180",",,W","  180",",,W","   98",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
