"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00298596","2018-06-12","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  178",",,7",,,,,,,,,"  170",",,7,0800",,,,,,,,,,,,,"  228",",,7,0800","  163",",,7",,,,,,
"USC00298596","2018-06-13","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  206",",,7",,,,,,,,,"  163",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800","  174",",,7",,,,,,
"USC00298596","2018-06-14","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   15",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  167",",,7",,,,,,,,,"  119",",,7,0800",,,,,,,,,,,,,"  200",",,7,0800","  193",",,7",,,,,,
"USC00298596","2018-06-15","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  200",",,7",,,,,,,,,"  117",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  113",",,7",,,,,,
"USC00298596","2018-06-16","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  217",",,7",,,,,,,,,"  119",",,7,0800",,,,,,,,,,,,,"  233",",,7,0800","  134",",,7",,,,,,
"USC00298596","2018-06-17","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   53",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  172",",,7",,,,,,,,,"   69",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800","  117",",,7",,,,,,
"USC00298596","2018-06-18","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  156",",,7",,,,,,,,,"   99",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800","  129",",,7",,,,,,
"USC00298596","2018-06-19","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  156",",,7",,,,,,,,,"  130",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  150",",,7",,,,,,
"USC00298596","2018-06-20","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  194",",,7",,,,,,,,,"  150",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800","  135",",,7",,,,,,
"USC00298596","2018-06-21","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  194",",,7",,,,,,,,,"  102",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  177",",,7",,,,,,
"USC00298596","2018-06-22","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  194",",,7",,,,,,,,,"  130",",,7,0800",,,,,,,,,,,,,"  239",",,7,0800","  117",",,7",,,,,,
"USC00298596","2018-06-23","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  411",",,7","  183",",,7",,,,,,,,,"  180",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  187",",,7",,,,,,
"USC00298596","2018-06-24","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  167",",,7",,,,,,,,,"  142",",,7,0800",,,,,,,,,,,,,"  250",",,7,0800","  135",",,7",,,,,,
"USC00298596","2018-06-25","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  167",",,7",,,,,,,,,"  150",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800","  249",",,7",,,,,,
"USC00298596","2018-06-26","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  194",",,7",,,,,,,,,"  135",",,7,0800",,,,,,,,,,,,,"  239",",,7,0800","  122",",,7",,,,,,
"USC00298596","2018-06-27","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  400",",,7","  194",",,7",,,,,,,,,"  145",",,7,0800",,,,,,,,,,,,,"  239",",,7,0800","  108",",,7",,,,,,
"USC00298596","2018-06-28","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  411",",,7","  206",",,7",,,,,,,,,"  163",",,7,0800",,,,,,,,,,,,,"  244",",,7,0800","  117",",,7",,,,,,
"USC00298596","2018-06-29","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  222",",,7",,,,,,,,,"  152",",,7,0800",,,,,,,,,,,,,"  244",",,7,0800","  119",",,7",,,,,,
"USC00298596","2018-06-30","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  222",",,7",,,,,,,,,"  147",",,7,0800",,,,,,,,,,,,,"  256",",,7,0800","  137",",,7",,,,,,
"USC00298596","2018-07-01","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  178",",,7",,,,,,,,,"  180",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800","  174",",,7",,,,,,
"USC00298596","2018-07-02","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  183",",,7",,,,,,,,,"  127",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  154",",,7",,,,,,
"USC00298596","2018-07-03","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  156",",,7",,,,,,,,,"  119",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800","  161",",,7",,,,,,
"USC00298596","2018-07-04","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  150",",,7",,,,,,,,,"  127",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  132",",,7",,,,,,
"USC00298596","2018-07-05","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    8",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  183",",,7",,,,,,,,,"  140",",,7,0800",,,,,,,,,,,,,"  217",",,7,0800","  101",",,7",,,,,,
"USC00298596","2018-07-06","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","  284",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  144",",,7",,,,,,,,,"  165",",,7,0800",,,,,,,,,,,,,"  200",",,7,0800","   87",",,7",,,,,,
"USC00298596","2018-07-07","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  178",",,7",,,,,,,,,"   91",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  116",",,7",,,,,,
"USC00298596","2018-07-08","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","  107",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  167",",,7",,,,,,,,,"  114",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","  122",",,7",,,,,,
"USC00298596","2018-07-09","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  183",",,7",,,,,,,,,"  107",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","  130",",,7",,,,,,
"USC00298596","2018-07-10","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  178",",,7",,,,,,,,,"   91",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","   98",",,7",,,,,,
"USC00298596","2018-07-11","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  183",",,7",,,,,,,,,"  107",",,7,0800",,,,,,,,,,,,,"  217",",,7,0800","  113",",,7",,,,,,
"USC00298596","2018-07-12","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  200",",,7",,,,,,,,,"  114",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800","  126",",,7",,,,,,
"USC00298596","2018-07-13","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  200",",,7",,,,,,,,,"   97",",,7,0800",,,,,,,,,,,,,"  244",",,7,0800","   90",",,7",,,,,,
"USC00298596","2018-07-14","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   10",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  194",",,7",,,,,,,,,"   86",",,7,0800",,,,,,,,,,,,,"  228",",,7,0800","  106",",,7",,,,,,
"USC00298596","2018-07-15","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  189",",,7",,,,,,,,,"  102",",,7,0800",,,,,,,,,,,,,"  233",",,7,0800","   90",",,7",,,,,,
"USC00298596","2018-07-16","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  189",",,7",,,,,,,,,"  119",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","  117",",,7",,,,,,
"USC00298596","2018-07-17","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   79",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  183",",,7",,,,,,,,,"  122",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  106",",,7",,,,,,
"USC00298596","2018-07-18","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  183",",,7",,,,,,,,,"  114",",,7,0800",,,,,,,,,,,,,"  228",",,7,0800","   42",",,7",,,,,,
"USC00298596","2018-07-19","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  200",",,7",,,,,,,,,"  117",",,7,0800",,,,,,,,,,,,,"  233",",,7,0800","   60",",,7",,,,,,
"USC00298596","2018-07-20","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  411",",,7","  200",",,7",,,,,,,,,"  145",",,7,0800",,,,,,,,,,,,,"  250",",,7,0800","   69",",,7",,,,,,
"USC00298596","2018-07-21","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  217",",,7",,,,,,,,,"  152",",,7,0800",,,,,,,,,,,,,"  233",",,7,0800","   82",",,7",,,,,,
"USC00298596","2018-07-22","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  211",",,7",,,,,,,,,"  163",",,7,0800",,,,,,,,,,,,,"  256",",,7,0800","   84",",,7",,,,,,
"USC00298596","2018-07-23","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  228",",,7",,,,,,,,,"  160",",,7,0800",,,,,,,,,,,,,"  244",",,7,0800","  182",",,7",,,,,,
"USC00298596","2018-07-24","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","  203",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  172",",,7",,,,,,,,,"  168",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800","  209",",,7",,,,,,
"USC00298596","2018-07-25","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    5",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  194",",,7",,,,,,,,,"   97",",,7,0800",,,,,,,,,,,,,"  228",",,7,0800","  111",",,7",,,,,,
"USC00298596","2018-07-26","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  194",",,7",,,,,,,,,"  117",",,7,0800",,,,,,,,,,,,,"  200",",,7,0800","  126",",,7",,,,,,
"USC00298596","2018-07-27","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  194",",,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","   71",",,7",,,,,,
"USC00298596","2018-07-28","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  178",",,7",,,,,,,,,"   58",",,7,0800",,,,,,,,,,,,,"  200",",,7,0800","   79",",,7",,,,,,
"USC00298596","2018-07-29","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  200",",,7",,,,,,,,,"  124",",,7,0800",,,,,,,,,,,,,"  250",",,7,0800","   84",",,7",,,,,,
"USC00298596","2018-07-30","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  178",",,7",,,,,,,,,"  135",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800","  108",",,7",,,,,,
"USC00298596","2018-07-31","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  189",",,7",,,,,,,,,"   89",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800","  200",",,7",,,,,,
"USC00298596","2018-08-01","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  172",",,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800","   77",",,7",,,,,,
"USC00298596","2018-08-02","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   38",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  178",",,7",,,,,,,,,"  102",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800","  105",",,7",,,,,,
"USC00298596","2018-08-03","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0","T,,7,0800","    0",",,7","    0",",,7","  356",",,7","  178",",,7",,,,,,,,,"  107",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","   90",",,7",,,,,,
"USC00298596","2018-08-04","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   33",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  183",",,7",,,,,,,,,"   94",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","  105",",,7",,,,,,
"USC00298596","2018-08-05","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  189",",,7",,,,,,,,,"  119",",,7,0800",,,,,,,,,,,,,"  233",",,7,0800","  114",",,7",,,,,,
"USC00298596","2018-08-06","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  194",",,7",,,,,,,,,"  127",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800","  106",",,7",,,,,,
"USC00298596","2018-08-07","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  189",",,7",,,,,,,,,"  124",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  105",",,7",,,,,,
"USC00298596","2018-08-08","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    5",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  178",",,7",,,,,,,,,"  119",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800","  126",",,7",,,,,,
"USC00298596","2018-08-09","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","  549",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  156",",,7",,,,,,,,,"  127",",,7,0800",,,,,,,,,,,,,"  172",",,7,0800","  159",",,7",,,,,,
"USC00298596","2018-08-10","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   15",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  172",",,7",,,,,,,,,"   71",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800","   98",",,7",,,,,,
"USC00298596","2018-08-11","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   15",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  161",",,7",,,,,,,,,"   53",",,7,0800",,,,,,,,,,,,,"  183",",,7,0800","   69",",,7",,,,,,
"USC00298596","2018-08-12","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   66",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  150",",,7",,,,,,,,,"   48",",,7,0800",,,,,,,,,,,,,"  172",",,7,0800","   76",",,7",,,,,,
"USC00298596","2018-08-13","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  161",",,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,"  172",",,7,0800","   84",",,7",,,,,,
"USC00298596","2018-08-14","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  172",",,7",,,,,,,,,"   99",",,7,0800",,,,,,,,,,,,,"  183",",,7,0800","  122",",,7",,,,,,
"USC00298596","2018-08-15","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  183",",,7",,,,,,,,,"  104",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","  140",",,7",,,,,,
"USC00298596","2018-08-16","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  183",",,7",,,,,,,,,"   86",",,7,0800",,,,,,,,,,,,,"  200",",,7,0800","   98",",,7",,,,,,
"USC00298596","2018-08-17","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","  211",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  183",",,7",,,,,,,,,"  127",",,7,0800",,,,,,,,,,,,,"  200",",,7,0800","  109",",,7",,,,,,
"USC00298596","2018-08-18","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  183",",,7",,,,,,,,,"   69",",,7,0800",,,,,,,,,,,,,"  200",",,7,0800","  116",",,7",,,,,,
"USC00298596","2018-08-19","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   23",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  172",",,7",,,,,,,,,"   74",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800","  100",",,7",,,,,,
"USC00298596","2018-08-20","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   18",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  178",",,7",,,,,,,,,"   89",",,7,0800",,,,,,,,,,,,,"  183",",,7,0800","  130",",,7",,,,,,
"USC00298596","2018-08-21","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  178",",,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800","  153",",,7",,,,,,
"USC00298596","2018-08-22","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  178",",,7",,,,,,,,,"   89",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800","  105",",,7",,,,,,
"USC00298596","2018-08-23","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  178",",,7",,,,,,,,,"   81",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800","   66",",,7",,,,,,
"USC00298596","2018-08-24","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  194",",,7",,,,,,,,,"  119",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800","  140",",,7",,,,,,
"USC00298596","2018-08-25","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  178",",,7",,,,,,,,,"   76",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","   68",",,7",,,,,,
"USC00298596","2018-08-26","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   18",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  178",",,7",,,,,,,,,"   76",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","   82",",,7",,,,,,
"USC00298596","2018-08-27","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  183",",,7",,,,,,,,,"  130",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  153",",,7",,,,,,
"USC00298596","2018-08-28","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  194",",,7",,,,,,,,,"  130",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800","  137",",,7",,,,,,
"USC00298596","2018-08-29","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  161",",,7",,,,,,,,,"  135",",,7,0800",,,,,,,,,,,,,"  178",",,7,0800","  129",",,7",,,,,,
"USC00298596","2018-08-30","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  178",",,7",,,,,,,,,"  109",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800","  143",",,7",,,,,,
"USC00298596","2018-08-31","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  200",",,7",,,,,,,,,"  102",",,7,0800",,,,,,,,,,,,,"  217",",,7,0800","   85",",,7",,,,,,
"USC00298596","2018-09-01","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    5",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  183",",,7",,,,,,,,,"  109",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","  101",",,7",,,,,,
"USC00298596","2018-09-02","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   13",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  144",",,7",,,,,,,,,"   38",",,7,0800",,,,,,,,,,,,,"  172",",,7,0800","  111",",,7",,,,,,
"USC00298596","2018-09-03","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   25",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  156",",,7",,,,,,,,,"   64",",,7,0800",,,,,,,,,,,,,"  200",",,7,0800","   95",",,7",,,,,,
"USC00298596","2018-09-04","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   33",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  150",",,7",,,,,,,,,"   64",",,7,0800",,,,,,,,,,,,,"  161",",,7,0800","   77",",,7",,,,,,
