"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00419588","2017-05-20","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  339",",,7","  250",",,7",,,,,,,,,"  114",",,7,0700",,,,,,,,,,,,,"  256",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-05-23","26.178","-97.9708","22.9","WESLACO, TX US","    8",",,7,0700",,,,,"  333",",,7","  228",",,7",,,,,,,,,"   69",",,7,0700",,,,,,,,,,,,,"  250",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-05-24","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  322",",,7","  172",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,,,,,"  189",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-05-25","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  306",",,7","  189",",,7",,,,,,,,,"  107",",,7,0700",,,,,,,,,,,,,"  222",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-05-26","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  339",",,7","  222",",,7",,,,,,,,,"   97",",,7,0700",,,,,,,,,,,,,"  267",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-05-27","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  356",",,7","  239",",,7",,,,,,,,,"  104",",,7,0700",,,,,,,,,,,,,"  250",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-05-30","26.178","-97.9708","22.9","WESLACO, TX US","  445",",,7,0700",,,,,"  322",",,7","  222",",,7",,,,,,,,,"   89",",,7,0700",,,,,,,,,,,,,"  228",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-05-31","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  322",",,7","  228",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,,,,,"  233",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-01","26.178","-97.9708","22.9","WESLACO, TX US","  203",",,7,0700",,,,,"  294",",,7","  233",",,7",,,,,,,,,"   66",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-02","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  333",",,7","  233",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,,,,,"  250",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-03","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  333",",,7","  233",",,7",,,,,,,,,"   61",",,7,0700",,,,,,,,,,,,,"  244",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-05","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  344",",,7","  228",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,,,,,"  250",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-07","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  356",",,7","  228",",,7",,,,,,,,,"  107",",,7,0700",,,,,,,,,,,,,"  239",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-08","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  339",",,7","  233",",,7",,,,,,,,,"   84",",,7,0700",,,,,,,,,,,,,"  233",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-09","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  339",",,7","  233",",,7",,,,,,,,,"  102",",,7,0700",,,,,,,,,,,,,"  239",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-10","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  344",",,7","  228",",,7",,,,,,,,,"  104",",,7,0700",,,,,,,,,,,,,"  228",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-13","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  350",",,7","  239",",,7",,,,,,,,,"  102",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-14","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  344",",,7","  250",",,7",,,,,,,,,"  112",",,7,0700",,,,,,,,,,,,,"  256",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-15","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  361",",,7","  250",",,7",,,,,,,,,"  112",",,7,0700",,,,,,,,,,,,,"  256",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-16","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  356",",,7","  250",",,7",,,,,,,,,"  114",",,7,0700",,,,,,,,,,,,,"  256",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-20","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  361",",,7","  239",",,7",,,,,,,,,"  112",",,7,0700",,,,,,,,,,,,,"  239",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-21","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  350",",,7","  239",",,7",,,,,,,,,"  102",",,7,0700",,,,,,,,,,,,,"  250",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-22","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  372",",,7","  250",",,7",,,,,,,,,"  114",",,7,0700",,,,,,,,,,,,,"  267",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-23","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  400",",,7","  256",",,7",,,,,,,,,"  137",",,7,0700",,,,,,,,,,,,,"  267",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-24","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  367",",,7","  261",",,7",,,,,,,,,"  114",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-27","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  356",",,7","  244",",,7",,,,,,,,,"   79",",,7,0700",,,,,,,,,,,,,"  244",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-28","26.178","-97.9708","22.9","WESLACO, TX US","   13",",,7,0700",,,,,"  311",",,7","  206",",,7",,,,,,,,,"   81",",,7,0700",,,,,,,,,,,,,"  239",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-06-29","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  322",",,7","  239",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-01","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  356",",,7","  261",",,7",,,,,,,,,"  112",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-12","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  361",",,7","  250",",,7",,,,,,,,,"  114",",,7,0700",,,,,,,,,,,,,"  250",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-13","26.178","-97.9708","22.9","WESLACO, TX US","   30",",,7,0700",,,,,"  300",",,7","  250",",,7",,,,,,,,,"   43",",,7,0700",,,,,,,,,,,,,"  256",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-14","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  344",",,7","  250",",,7",,,,,,,,,"   97",",,7,0700",,,,,,,,,,,,,"  256",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-15","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  361",",,7","  244",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,,,,,"  244",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-18","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  361",",,7","  256",",,7",,,,,,,,,"   89",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-19","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  361",",,7","  233",",,7",,,,,,,,,"   99",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-20","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  367",",,7","  250",",,7",,,,,,,,,"  114",",,7,0700",,,,,,,,,,,,,"  267",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-21","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  372",",,7","  250",",,7",,,,,,,,,"  114",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-26","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  361",",,7","  244",",,7",,,,,,,,,"  112",",,7,0700",,,,,,,,,,,,,"  256",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-27","26.178","-97.9708","22.9","WESLACO, TX US","  122",",,7,0700",,,,,"  356",",,7","  256",",,7",,,,,,,,,"   79",",,7,0700",,,,,,,,,,,,,"  256",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-28","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  367",",,7","  244",",,7",,,,,,,,,"   91",",,7,0700",,,,,,,,,,,,,"  250",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-07-29","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  383",",,7","  250",",,7",,,,,,,,,"  102",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-01","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  394",",,7","  256",",,7",,,,,,,,,"  102",",,7,0700",,,,,,,,,,,,,"  267",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-02","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  378",",,7","  256",",,7",,,,,,,,,"  104",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-03","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  394",",,7","  261",",,7",,,,,,,,,"  102",",,7,0700",,,,,,,,,,,,,"  278",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-04","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  394",",,7","  267",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,,,,,"  278",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-05","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  378",",,7","  272",",,7",,,,,,,,,"  104",",,7,0700",,,,,,,,,,,,,"  272",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-08","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  378",",,7","  267",",,7",,,,,,,,,"  122",",,7,0700",,,,,,,,,,,,,"  278",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-09","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  400",",,7","  256",",,7",,,,,,,,,"  114",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-10","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  383",",,7","  256",",,7",,,,,,,,,"  107",",,7,0700",,,,,,,,,,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-11","26.178","-97.9708","22.9","WESLACO, TX US","  163",",,7,0700",,,,,"  344",",,7","  239",",,7",,,,,,,,,"   61",",,7,0700",,,,,,,,,,,,,"  250",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-12","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  367",",,7","  250",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,,,,,"  267",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-15","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  378",",,7","  250",",,7",,,,,,,,,"  114",",,7,0700",,,,,,,,,,,,,"  267",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-16","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  372",",,7","  267",",,7",,,,,,,,,"  119",",,7,0700",,,,,,,,,,,,,"  278",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-17","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  378",",,7","  267",",,7",,,,,,,,,"  112",",,7,0700",,,,,,,,,,,,,"  267",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-18","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  378",",,7","  267",",,7",,,,,,,,,"  114",",,7,0700",,,,,,,,,,,,,"  267",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-19","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  389",",,7","  250",",,7",,,,,,,,,"  109",",,7,0700",,,,,,,,,,,,,"  256",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-21","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  383",",,7","  250",",,7",,,,,,,,,"  104",",,7,0700",,,,,,,,,,,,,"  256",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-22","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  361",",,7","  250",",,7",,,,,,,,,"   84",",,7,0700",,,,,,,,,,,,,"  250",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-23","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  356",",,7","  244",",,7",,,,,,,,,"  104",",,7,0700",,,,,,,,,,,,,"  244",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-24","26.178","-97.9708","22.9","WESLACO, TX US","  150",",,7,0700",,,,,"  356",",,7","  244",",,7",,,,,,,,,"   86",",,7,0700",,,,,,,,,,,,,"  244",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-08-26","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,"  322",",,7","  250",",,7",,,,,,,,,"   61",",,7,0700",,,,,,,,,,,,,"  267",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00419588","2017-09-07","26.178","-97.9708","22.9","WESLACO, TX US","    0",",,7,0700",,,,,,,"  217",",,7",,,,,,,,,"   46",",,7,0700",,,,,,,,,,,,,"  217",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
