"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"UKW00035047","2018-08-15","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  143",",,S",,,"  181","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-16","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  167","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-17","51.35","1.36667","44.2","MANSTON, ENG UK","   43",",,S",,,,,,,"  111",",,S",,,"  166","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-18","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  135",",,S",,,"  178","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-19","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  165",",,S",,,"  193","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-20","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  165",",,S",,,"  194","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-21","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  195","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-22","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  142",",,S",,,"  183","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-23","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  178","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-24","51.35","1.36667","44.2","MANSTON, ENG UK","   43",",,S",,,,,"  200",",,S",,,,,"  148","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-25","51.35","1.36667","44.2","MANSTON, ENG UK","   15",",,S",,,,,,,"   92",",,S",,,"  132","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-26","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  100",",,S",,,"  144","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-27","51.35","1.36667","44.2","MANSTON, ENG UK","  119",",,S",,,,,,,"  136",",,S",,,"  166","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-28","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  165","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-29","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,"  132",",,S",,,"  155","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-30","51.35","1.36667","44.2","MANSTON, ENG UK","  188",",,S",,,,,,,"  114",",,S",,,"  152","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-31","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  126",",,S",,,"  152","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-01","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  116",",,S",,,"  156","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-02","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  119",",,S",,,"  165","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-03","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  131",",,S",,,"  171","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-04","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,"  148",",,S",,,"  168","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-05","51.35","1.36667","44.2","MANSTON, ENG UK","  124",",,S",,,,,,,"  142",",,S",,,"  159","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-06","51.35","1.36667","44.2","MANSTON, ENG UK","   23",",,S",,,,,,,,,,,"  162","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-07","51.35","1.36667","44.2","MANSTON, ENG UK","   36",",,S",,,,,,,"   90",",,S",,,"  133","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-08","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   82",",,S",,,"  137","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-09","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  134",",,S",,,"  173","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-10","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  128",",,S",,,"  163","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-11","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  151",",,S",,,"  184","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-12","51.35","1.36667","44.2","MANSTON, ENG UK","   13",",,S",,,,,,,"  125",",,S",,,"  143","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-13","51.35","1.36667","44.2","MANSTON, ENG UK","    8",",,S",,,,,,,,,,,"  144","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-14","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   94",",,S",,,"  139","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-15","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  103",",,S",,,"  142","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-16","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  220",",,S","  113",",,S",,,"  167","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-18","51.35","1.36667","44.2","MANSTON, ENG UK",,,,,,,"  217",",,S",,,,,"  184","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-19","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  215",",,S","  145",",,S",,,"  183","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-20","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  209",",,S","  160",",,S",,,"  186","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-21","51.35","1.36667","44.2","MANSTON, ENG UK","    8",",,S",,,,,,,,,,,"  145","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-22","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   97",",,S",,,"  113","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-23","51.35","1.36667","44.2","MANSTON, ENG UK","   74",",,S",,,,,,,"  101",",,S",,,"  115","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-24","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"   84","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-25","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  160",",,S","   54",",,S",,,"  108","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-26","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   72",",,S",,,"  129","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-27","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   77",",,S",,,"  146","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-28","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  137","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-29","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  117","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-09-30","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   56",",,S",,,"  107","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-01","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  131",",,S","   88",",,S",,,"  104","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-02","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,"   88",",,S",,,"  142","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-03","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  139","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-04","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,"   92",",,S",,,"  131","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-05","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,"  107",",,S",,,"  146","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-06","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  140",",,S","   99",",,S",,,"  117","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-07","51.35","1.36667","44.2","MANSTON, ENG UK","   74",",,S",,,,,"  140",",,S",,,,,"  113","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-08","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  156",",,S","   64",",,S",,,"  106","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-09","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   88",",,S",,,"  134","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-10","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  119",",,S",,,"  158","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-11","51.35","1.36667","44.2","MANSTON, ENG UK","    5",",,S",,,,,,,"  144",",,S",,,"  175","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-12","51.35","1.36667","44.2","MANSTON, ENG UK","   33",",,S",,,,,"  202",",,S","  140",",,S",,,"  173","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-13","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  173",",,S",,,"  203","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-14","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  209",",,S",,,,,"  166","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-15","51.35","1.36667","44.2","MANSTON, ENG UK","   18",",,S",,,,,,,"  130",",,S",,,"  154","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-16","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,,,,,"  162","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-17","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  111",",,S",,,"  139","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-18","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  133","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-19","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  125","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-20","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  111","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-21","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,"   99",",,S",,,"  138","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-22","51.35","1.36667","44.2","MANSTON, ENG UK","   10",",,S",,,,,,,,,,,"  106","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-23","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  110","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-24","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  130","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-25","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   62",",,S",,,"   98","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-26","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"   89","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-27","51.35","1.36667","44.2","MANSTON, ENG UK","    8",",,S",,,,,"   84",",,S",,,,,"   67","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-28","51.35","1.36667","44.2","MANSTON, ENG UK","  117",",,S",,,,,,,"   61",",,S",,,"   75","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-29","51.35","1.36667","44.2","MANSTON, ENG UK","   81",",,S",,,,,,,"   56",",,S",,,"   80","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-30","51.35","1.36667","44.2","MANSTON, ENG UK","   30",",,S",,,,,,,,,,,"   77","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-10-31","51.35","1.36667","44.2","MANSTON, ENG UK","   76",",,S",,,,,,,"   27",",,S",,,"   81","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-01","51.35","1.36667","44.2","MANSTON, ENG UK","    8",",,S",,,,,"  121",",,S",,,,,"  104","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-02","51.35","1.36667","44.2","MANSTON, ENG UK","   89",",,S",,,,,,,"   23",",,S",,,"   56","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-03","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,"   32",",,S",,,"   81","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-04","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   63",",,S",,,"   94","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-05","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   94",",,S",,,"  118","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-06","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  172",",,S","  108",",,S",,,"  133","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-07","51.35","1.36667","44.2","MANSTON, ENG UK","    5",",,S",,,,,"  133",",,S",,,,,"  112","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-08","51.35","1.36667","44.2","MANSTON, ENG UK","   64",",,S",,,,,,,"   49",",,S",,,"   91","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-09","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   76",",,S",,,"  105","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-10","51.35","1.36667","44.2","MANSTON, ENG UK","  130",",,S",,,,,,,,,,,"  115","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-11","51.35","1.36667","44.2","MANSTON, ENG UK","  269",",,S",,,,,,,,,,,"  104","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-12","51.35","1.36667","44.2","MANSTON, ENG UK","   30",",,S",,,,,,,"   77",",,S",,,"  111","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-13","51.35","1.36667","44.2","MANSTON, ENG UK","  213",",,S",,,,,,,,,,,"   99","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-14","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   81",",,S",,,"  106","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-15","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,,,,,"  112","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-16","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,,,,,"   88","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-23","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   42",",,S",,,"   72","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-11-24","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,"   56",",,S",,,"   77","H,,S",,,,,,,,,,,,,,,,,,,,,,
