"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN12","SN12_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN33","SN33_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX12","SX12_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX33","SX33_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00129430","2018-07-19","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  133",",,7",,,,,,,"   71",",,7,0800",,,,,,,"  167",",,7","  344",",,7","  189",",,7,0800",,,,,"  211",",,7","  211",",,7","  239",",,7","  222",",,7",,,"  394",",,7","  350",",,7","  300",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-20","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  189",",,7",,,,,,,"   69",",,7,0800",,,,,,,"  167",",,7","  344",",,7","  211",",,7,0800",,,,,"  228",",,7","  217",",,7","  222",",,7","  222",",,7",,,"  389",",,7","  344",",,7","  283",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-21","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  189",",,7",,,,,,,"   66",",,7,0800",,,,,,,"  194",",,7","  306",",,7","  194",",,7,0800",,,,,"  233",",,7","  233",",,7","  244",",,7","  211",",,7",,,"  350",",,7","  317",",,7","  278",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-22","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","   53",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  194",",,7",,,,,,,"   38",",,7,0800",,,,,,,"  194",",,7","  272",",,7","  200",",,7,0800",,,,,"  217",",,7","  217",",,7","  233",",,7","  211",",,7",,,"  267",",,7","  267",",,7","  250",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-23","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","   64",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  156",",,7",,,,,,,"   33",",,7,0800",,,,,,,"  183",",,7","  294",",,7","  178",",,7,0800",,,,,"  200",",,7","  194",",,7","  211",",,7","  211",",,7",,,"  300",",,7","  261",",,7","  239",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-24","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  178",",,7",,,,,,,"   36",",,7,0800",,,,,,,"  189",",,7","  283",",,7","  194",",,7,0800",,,,,"  200",",,7","  194",",,7","  206",",,7","  211",",,7",,,"  283",",,7","  250",",,7","  222",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-25","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  161",",,7",,,,,,,"   58",",,7,0800",,,,,,,"  211",",,7","  344",",,7","  183",",,7,0800",,,,,"  217",",,7","  206",",,7","  206",",,7","  211",",,7",,,"  372",",,7","  322",",,7","  267",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-26","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  172",",,7",,,,,,,"   71",",,7,0800",,,,,,,"  200",",,7","  356",",,7","  194",",,7,0800",,,,,"  222",",,7","  211",",,7","  244",",,7","  211",",,7",,,"  383",",,7","  344",",,7","  289",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-27","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  128",",,7",,,,,,,"   69",",,7,0800",,,,,,,"  172",",,7","  356",",,7","  156",",,7,0800",,,,,"  206",",,7","  206",",,7","  233",",,7","  211",",,7",,,"  350",",,7","  311",",,7","  272",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-28","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  117",",,7",,,,,,,"   53",",,7,0800",,,,,,,"  167",",,7","  294",",,7","  156",",,7,0800",,,,,"  206",",,7","  206",",,7","  222",",,7","  200",",,7",,,"  344",",,7","  306",",,7","  267",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-29","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  111",",,7",,,,,,,"   53",",,7,0800",,,,,,,"  167",",,7","  300",",,7","  144",",,7,0800",,,,,"  200",",,7","  200",",,7","  222",",,7","  194",",,7",,,"  356",",,7","  306",",,7","  267",",,7","  200",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-30","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","   61",",,7,0800","    0",",,7,0800","    0",",,7,0800","  200",",,7","  144",",,7",,,,,,,"    8",",,7,0800",,,,,,,"  167",",,7","  206",",,7","  172",",,7,0800",,,,,"  189",",,7","  189",",,7","  200",",,7","  189",",,7",,,"  233",",,7","  222",",,7","  222",",,7","  194",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-31","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","   28",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","  144",",,7",,,,,,,"   20",",,7,0800",,,,,,,"  172",",,7","  267",",,7","  167",",,7,0800",,,,,"  189",",,7","  183",",,7","  189",",,7","  189",",I,7",,,"  272",",,7","  239",",,7","  211",",,7","  200",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-01","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","  168",",,7,0800","    0",",,7,0800","    0",",,7,0800","  217",",,7","  139",",,7",,,,,,,"   13",",,7,0800",,,,,,,"  172",",,7","  228",",,7","  161",",,7,0800",,,,,"  183",",,7","  172",",,7","  183",",,7","  167",",,7",,,"  244",",,7","  206",",,7","  200",",,7","  172",",I,7",,,,,,,,,,,,,,
"USC00129430","2018-08-02","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  161",",,7",,,,,,,"   36",",,7,0800",,,,,,,"  172",",,7","  317",",,7","  178",",,7,0800",,,,,"  183",",,7","  172",",,7","  183",",,7","  172",",,7",,,"  311",",,7","  272",",,7","  222",",,7","  183",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-03","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","  119",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  167",",,7",,,,,,,"   91",",,7,0800",,,,,,,"  194",",,7","  339",",,7","  194",",,7,0800",,,,,"  200",",,7","  183",",,7","  217",",,7","  167",",,7",,,"  372",",,7","  322",",,7","  261",",,7","  178",",I,7",,,,,,,,,,,,,,
"USC00129430","2018-08-04","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  189",",,7",,,,,,,"   38",",,7,0800",,,,,,,"  200",",,7","  344",",,7","  211",",,7,0800",,,,,"  217",",,7","  200",",,7","  233",",,7","  217",",I,7",,,"  350",",,7","  306",",,7","  256",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-05","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  206",",,7",,,,,,,"   74",",,7,0800",,,,,,,"  228",",,7","  361",",,7","  217",",,7,0800",,,,,"  228",",,7","  217",",,7","  250",",,7","  217",",,7",,,"  394",",,7","  350",",,7","  283",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-06","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  217",",,7",,,,,,,"   74",",,7,0800",,,,,,,"  228",",,7","  361",",,7","  228",",,7,0800",,,,,"  233",",,7","  228",",,7","  261",",,7","  222",",,7",,,"  406",",,7","  361",",,7","  294",",,7","  233",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-07","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","  196",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  189",",,7",,,,,,,"   71",",,7,0800",,,,,,,"  211",",,7","  339",",,7","  194",",,7,0800",,,,,"  228",",,7","  228",",,7","  244",",,7","  222",",,7",,,"  372",",,7","  333",",,7","  289",",,7","  233",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-08","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","   38",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  194",",,7",,,,,,,"   30",",,7,0800",,,,,,,"  211",",,7","  322",",,7","  217",",,7,0800",,,,,"  228",",,7","  222",",,7","  233",",,7","  211",",,7",,,"  317",",,7","  283",",,7","  261",",,7","  228",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-09","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  156",",,7",,,,,,,"   53",",,7,0800",,,,,,,"  211",",,7","  328",",,7","  183",",,7,0800",,,,,"  206",",,7","  211",",,7","  228",",,7","  211",",,7",,,"  322",",,7","  294",",,7","  261",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-10","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  233",",,7","  183",",,7",,,,,,,"   61",",,7,0800",,,,,,,"  211",",,7","  350",",,7","  206",",,7,0800",,,,,"  217",",,7","  206",",,7","  217",",,7","  217",",,7",,,"  383",",,7","  344",",,7","  283",",,7","  228",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-11","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","   30",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  194",",,7",,,,,,,"   51",",,7,0800",,,,,,,"  217",",,7","  344",",,7","  200",",,7,0800",,,,,"  228",",,7","  228",",,7","  217",",,7","  217",",,7",,,"  389",",,7","  344",",,7","  283",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-12","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  150",",,7",,,,,,,"   48",",,7,0800",,,,,,,"  200",",,7","  339",",,7","  178",",,7,0800",,,,,"  217",",,7","  211",",,7","  228",",,7","  206",",,7",,,"  367",",,7","  322",",,7","  267",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-13","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  156",",,7",,,,,,,"   58",",,7,0800",,,,,,,"  200",",,7","  333",",,7","  172",",,7,0800",,,,,"  217",",,7","  206",",,7","  228",",,7","  206",",,7",,,"  383",",,7","  344",",,7","  283",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-14","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  161",",,7",,,,,,,"   46",",,7,0800",,,,,,,"  200",",,7","  350",",,7","  183",",,7,0800",,,,,"  222",",,7","  217",",,7","  239",",,7","  206",",,7",,,"  394",",,7","  350",",,7","  289",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-15","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  183",",,7",,,,,,,"   53",",,7,0800",,,,,,,"  217",",,7","  339",",,7","  206",",,7,0800",,,,,"  228",",,7","  222",",,7","  239",",,7","  206",",,7",,,"  383",",,7","  339",",,7","  289",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-16","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","  160",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  206",",,7",,,,,,,"   18",",,7,0800",,,,,,,"  222",",,7","  267",",,7","  211",",,7,0800",,,,,"  228",",,7","  228",",,7","  228",",,7","  211",",,7",,,"  294",",,7","  272",",,7","  250",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-17","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","  206",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  200",",,7",,,,,,,"   69",",,7,0800",,,,,,,"  222",",,7","  322",",,7","  206",",,7,0800",,,,,"  222",",,7","  217",",,7","  217",",,7","  222",",,7",,,"  328",",,7","  272",",,7","  244",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-18","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","  127",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  178",",,7",,,,,,,"   28",",,7,0800",,,,,,,"  217",",,7","  294",",,7","  183",",,7,0800",,,,,"  211",",,7","  211",",,7","  222",",,7","  222",",,7",,,"  317",",,7","  278",",,7","  250",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-19","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  156",",,7",,,,,,,"   41",",,7,0800",,,,,,,"  211",",,7","  317",",,7","  161",",,7,0800",,,,,"  200",",,7","  200",",,7","  211",",,7","  217",",,7",,,"  317",",,7","  283",",,7","  244",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-20","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  161",",,7",,,,,,,"   53",",,7,0800",,,,,,,"  211",",,7","  333",",,7","  194",",,7,0800",,,,,"  200",",,7","  211",",,7","  222",",,7","  217",",,7",,,"  344",",,7","  306",",,7","  261",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-21","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","  318",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  194",",,7",,,,,,,"   25",",,7,0800",,,,,,,"  211",",,7","  283",",,7","  206",",,7,0800",,,,,"  200",",,7","  200",",,7","  222",",,7","  211",",,7",,,"  300",",,7","  267",",,7","  239",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-22","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  161",",,7",,,,,,,"   43",",,7,0800",,,,,,,"  183",",,7","  300",",,7","  161",",,7,0800",,,,,"  183",",,7","  189",",,7","  206",",,7","  206",",,7",,,"  300",",,7","  267",",,7","  239",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-23","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  111",",,7",,,,,,,"   48",",,7,0800",,,,,,,"  161",",,7","  283",",,7","  133",",,7,0800",,,,,"  167",",,7","  167",",,7","  194",",,7","  200",",,7",,,"  311",",,7","  272",",,7","  228",",,7","  206",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-24","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  133",",,7",,,,,,,"   28",",,7,0800",,,,,,,"  161",",,7","  317",",,7","  161",",,7,0800",,,,,"  172",",,7","  172",",,7","  194",",,7","  206",",,7",,,"  339",",,7","  306",",,7","  250",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-25","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","   64",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  156",",,7",,,,,,,"   71",",,7,0800",,,,,,,"  167",",,7","  261",",,7","  206",",,7,0800",,,,,"  183",",,7","  189",",,7","  200",",,7","  189",",,7",,,"  300",",,7","  272",",,7","  228",",,7","  206",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-26","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","   33",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  200",",,7",,,,,,,"   20",",,7,0800",,,,,,,"  189",",,7","  261",",,7","  233",",,7,0800",,,,,"  211",",,7","  200",",,7","  200",",,7","  189",",,7",,,"  239",",,7","  239",",,7","  211",",,7","  200",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-27","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  228",",,7",,,,,,,"   48",",,7,0800",,,,,,,"  189",",,7","  350",",,7","  233",",,7,0800",,,,,"  233",",,7","  222",",,7","  217",",,7","  189",",,7",,,"  339",",,7","  300",",,7","  250",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-28","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  222",",,7",,,,,,,"   58",",,7,0800",,,,,,,"  222",",,7","  344",",,7","  228",",,7,0800",,,,,"  233",",,7","  228",",,7","  222",",,7","  200",",,7",,,"  378",",,7","  328",",,7","  272",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-29","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","   86",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  200",",,7",,,,,,,"   64",",,7,0800",,,,,,,"  222",",,7","  344",",,7","  206",",,7,0800",,,,,"  233",",,7","  228",",,7","  244",",,7","  217",",,7",,,"  383",",,7","  344",",,7","  278",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-08-30","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  144",",,7",,,,,,,"   61",",,7,0800",,,,,,,"  178",",,7","  300",",,7","  156",",,7,0800",,,,,"  189",",,7","  189",",,7","  206",",,7","  222",",,7",,,"  294",",,7","  267",",,7","  267",",,7","  244",",,7",,,,,,,,,,,,,,
