"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00014848","2018-07-29","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  133",",,W",,,,,"   15",",,W",,,,,,,,,,,,,"  193","H,,S",,,,,,,"  190",",,W","  190",",,W",,,,,,,"   58",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-30","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  122",",,W",,,,,"   15",",,W",,,,,,,,,,,,,"  197","H,,S",,,,,,,"  190",",,W","  120",",,W",,,,,,,"   54",",,W","   76",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-31","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","   15",",,W,2400","    0",",,W","    0",",,W","  228",",,W","  156",",,W",,,,,"   21",",,W",,,,,,,,,,,,,"  197","H,,S",,,,,,,"  360",",,W","  360",",,W",,,,,,,"   54",",,W","   72",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-01","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  156",",,W",,,,,"   27",",,W",,,,,,,,,,,,,"  209","H,,S",,,,,,,"  270",",,W","  280",",,W",,,,,,,"   67",",,W","   89",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-02","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","  155",",,W,2400","    0",",,W","    0",",,W","  294",",,W","  178",",,W",,,,,"   42",",,W",,,,,,,,,,,,,"  226","H,,S",,,,,,,"  240",",,W","  240",",,W",,,,,,,"  148",",,W","  215",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-03","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0","T,,W,2400","    0",",,W","    0",",,W","  278",",,W","  167",",,W",,,,,"   12",",,W",,,,,,,,,,,,,"  213","H,,S",,,,,,,"  300",",,W","  300",",,W",,,,,,,"   45",",,W","   58",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-04","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  322",",,W","  178",",,W",,,,,"   24",",,W",,,,,,,,,,,,,"  241","H,,S",,,,,,,"  230",",,W","  200",",,W",,,,,,,"   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-05","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  328",",,W","  217",",,W",,,,,"   47",",,W",,,,,,,,,,,,,"  268","H,,S",,,,,,,"  210",",,W","  200",",,W",,,,,,,"   98",",,W","  125",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-06","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","  493",",,W,2400","    0",",,W","    0",",,W","  294",",,W","  211",",,W",,,,,"   34",",,W",,,,,,,,,,,,,"  257","H,,S",,,,,,,"   40",",,W","   30",",,W",,,,,,,"  165",",,W","  268",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-08-07","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","   97",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  200",",,W",,,,,"   17",",,W",,,,,,,,,,,,,"  226","H,,S",,,,,,,"  320",",,W","  290",",,W",,,,,,,"   81",",,W","  107",",,W",,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
