"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USW00094895","2018-08-13","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  289",",,W","  161",",,W","   13",",,W",,,,,,,,,,,,,,,,,,,"   70",",,W","   30",",,W","   45",",,W","   63",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,
"USW00094895","2018-08-14","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  300",",,W","  178",",,W","   17",",,W",,,,,,,,,,,,,,,,,,,"  270",",,W","  250",",,W","   54",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00094895","2018-08-15","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","  254",",,W",,,,,"  272",",,W","  200",",,W","   33",",,W",,,,,,,,,,,,,,,,,,,"  190",",,W","  180",",,W","   76",",,W","  103",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00094895","2018-08-16","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","   46",",,W",,,,,"  261",",,W","  211",",,W","   38",",,W",,,,,,,,,,,,,,,,,,,"  190",",,W","  180",",,W","   72",",,W","   89",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00094895","2018-08-17","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","   71",",,W",,,,,"  272",",,W","  211",",,W","   26",",,W",,,,,,,,,,,,,,,,,,,"  280",",,W","  290",",,W","   76",",,W","  107",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00094895","2018-08-18","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  283",",,W","  200",",,W","   17",",,W",,,,,,,,,,,,,,,,,,,"   40",",,W","   40",",,W","   58",",,W","   63",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,
"USW00094895","2018-08-19","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  294",",,W","  172",",,W","   20",",,W",,,,,,,,,,,,,,,,,,,"   60",",,W","   90",",,W","   40",",,W","   63",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094895","2018-08-20","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","   74",",,W",,,,,"  289",",,W","  172",",,W","   36",",,W",,,,,,,,,,,,,,,,,,,"  130",",,W","  170",",,W","   81",",,W","  107",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00094895","2018-08-21","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","  178",",,W",,,,,"  278",",,W","  189",",,W","   40",",,W",,,,,,,,,,,,,,,,,,,"  290",",,W","  290",",,W","   98",",,W","  125",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00094895","2018-08-22","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  250",",,W","  133",",,W","   37",",,W",,,,,,,,,,,,,,,,,,,"  350",",,W","  330",",,W","   89",",,W","  112",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
