"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00053006","2018-07-11","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  350",",,7","  156",",,7","  222",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-12","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","   48",",,7,2400","    0",",,7,2400","    0",",,7","  322",",,7","  172",",,7","  178",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-07-13","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  311",",,7","  144",",,7","  206",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-14","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  344",",,7","  161",",,7","  228",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-15","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","   51",",,7,2400","    0",",,7,2400","    0",",,7","  228",",,7","  144",",,7","  144",",,7,2400",,,"    1",",,7",,,,,,,,,,,,
"USC00053006","2018-07-16","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  283",",,7","  144",",,7","  178",",,7,2400",,,"    1",",,7",,,,,,,,,,,,
"USC00053006","2018-07-17","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    8",",,7,2400","    0",",,7,2400","    0",",,7","  294",",,7","  167",",,7","  178",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-07-18","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  361",",,7","  167",",,7","  194",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-19","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  367",",,7","  144",",,7","  194",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-20","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  356",",,7","  172",",,7","  272",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-21","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  350",",,7","  189",",,7","  200",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-07-22","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","   15",",,7,2400","    0",",,7,2400","    0",",,7","  333",",,7","  167",",,7","  200",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-07-23","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","  104",",,7,2400","    0",",,7,2400","    0",",,7","  228",",,7","  161",",,7","  161",",,7,2400",,,"    1",",,7","    1",",,7",,,,,,,,,,
