"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00457941","2018-07-16","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  356",",,7",,,,,"   89",",,7,1200",,,"  150",",,7","  306",",,7",,,"   51",",,7",,,"  161",",,7","  228",",,7",,,,,,,,,,
"USC00457941","2018-07-17","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  350",",,7","  122",",,7",,,"  114",",,7,1200",,,"  161",",,7","  322",",,7","  189",",,7,2400","   64",",,7",,,"  178",",,7","  233",",,7",,,,,,,,,,
"USC00457941","2018-07-18","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  322",",,7","  178",",,7",,,"  140",",,7,1200",,,"  150",",,7","  306",",,7","  178",",,7,2400","  163",",,7",,,"  178",",,7","  211",",,7",,,,,,,,,,
"USC00457941","2018-07-19","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  300",",,7","  128",",,7",,,"    0",",,7,1200",,,"  150",",,7","  294",",,7","  172",",,7,2400","  126",",,7",,,"  178",",,7","  200",",,7",,,,,,,,,,
"USC00457941","2018-07-20","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  272",",,7","  117",",,7",,,"  122",",,7,1200",,,"  117",",,7","  283",",,7","  117",",,7,2400","  172",",,7",,,"  167",",,7","  200",",,7",,,,,,,,,,
"USC00457941","2018-07-21","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  267",",,7","   61",",,7",,,"   94",",,7,1200",,,"  106",",,7","  261",",,7","  178",",,7,2400","  108",",,7",,,"  156",",,7","  194",",,7",,,,,,,,,,
"USC00457941","2018-07-22","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  289",",,7","   94",",,7",,,"   97",",,7,1200",,,"  128",",,7","  261",",,7","  133",",,7,2400","   79",",,7",,,"  156",",,7","  183",",,7",,,,,,,,,,
"USC00457941","2018-07-23","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  317",",,7","   83",",,7",,,"   74",",,7,1200",,,"  144",",,7","  300",",,7","  178",",,7,2400","   45",",,7",,,"  167",",,7","  194",",,7",,,,,,,,,,
"USC00457941","2018-07-24","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  339",",,7","  117",",,7",,,"   84",",,7,1200",,,"  167",",,7","  317",",,7","  228",",,7,2400","   47",",,7",,,"  172",",,7","  200",",,7",,,,,,,,,,
"USC00457941","2018-07-25","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  344",",,7","  133",",,7",,,"  107",",,7,1200",,,"  172",",,7","  306",",,7","  222",",,7,2400","   64",",,7",,,"  178",",,7","  200",",,7",,,,,,,,,,
"USC00457941","2018-07-26","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","   89",",,7,2400","    0",",,7,","    0",",,7,2400","  333",",,7","  117",",,7",,,"   89",",,7,1200",,,"  167",",,7","  328",",,7","  167",",,7,2400","   50",",,7",,,"  178",",,7","  206",",,7",,,,,,,,,,
"USC00457941","2018-07-27","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0","T,,7,2400","    0",",,7,","    0",",,7,2400","  322",",,7","  144",",,7",,,"   99",",,7,1200",,,"  172",",,7","  311",",,7","  228",",,7,2400","   53",",,7",,,"  183",",,7","  189",",,7",,,,,,,,,,
"USC00457941","2018-07-28","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  333",",,7","  161",",,7",,,"   84",",,7,1200",,,"  189",",,7","  300",",,7","  161",",,7,2400","   56",",,7",,,"  178",",,7","  189",",,7",,,,,,,,,,
"USC00457941","2018-07-29","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  339",",,7","  139",",,7",,,"   76",",,7,1200",,,"  172",",,7","  328",",,7","  167",",,7,2400","   47",",,7",,,"  183",",,7","  189",",,7",,,,,,,,,,
"USC00457941","2018-07-30","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  356",",,7","  128",",,7",,,"  112",",,7,1200",,,"  167",",,7","  317",",,7","  178",",,7,2400","   45",",,7",,,"  178",",,7","  211",",,7",,,,,,,,,,
"USC00457941","2018-07-31","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400",,,,,"  356",",,7","  156",",,7",,,"   89",",,7,1200",,,"  183",",,7","  317",",,7","  206",",,7,2400","   45",",,7",,,"  183",",,7","  217",",,7",,,,,,,,,,
"USC00457941","2018-08-01","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  328",",,7","  161",",,7",,,"   86",",,7,1200",,,"  172",",,7","  311",",,7","  161",",,7,2400","   80",",,7",,,"  183",",,7","  206",",,7",,,,,,,,,,
"USC00457941","2018-08-02","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  306",",,7","  144",",,7",,,"  127",",,7,1200",,,"  133",",,7","  289",",,7","  161",",,7,2400","  148",",,7",,,"  178",",,7","  200",",,7",,,,,,,,,,
"USC00457941","2018-08-03","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  250",",,7","  133",",,7",,,"  104",",,7,1200",,,"  122",",,7","  267",",,7","  139",",,7,2400","  180",",,7",,,"  167",",,7","  200",",,7",,,,,,,,,,
"USC00457941","2018-08-04","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  272",",,7","   89",",,7",,,"   71",",,7,1200",,,"  128",",,7","  256",",,7","  128",",,7,2400","   77",",,7",,,"  167",",,7","  189",",,7",,,,,,,,,,
"USC00457941","2018-08-05","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  306",",,7","   89",",,7",,,"   66",",,7,1200",,,"  139",",,7","  272",",,7","  189",",,7,2400","   43",",,7",,,"  161",",,7","  183",",,7",,,,,,,,,,
"USC00457941","2018-08-06","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  328",",,7","  106",",,7",,,"   76",",,7,1200",,,,,,,"  194",",,7,2400",,,,,,,,,,,,,,,,,,
"USC00457941","2018-08-07","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  344",",,7","  111",",,7",,,"   86",",,7,1200",,,"  144",",,7","  300",",,7","  161",",,7,2400","  117",",,7",,,"  172",",,7","  200",",,7",,,,,,,,,,
"USC00457941","2018-08-08","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  361",",,7","  128",",,7",,,"   97",",,7,1200",,,"  156",",,7","  289",",,7","  244",",,7,2400","   63",",,7",,,"  172",",,7","  194",",,7",,,,,,,,,,
"USC00457941","2018-08-09","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  383",",,7","  161",",,7",,,"   71",",,7,1200",,,"  183",",,7","  317",",,7","  261",",,7,2400","   35",",,7",,,"  183",",,7","  200",",,7",,,,,,,,,,
"USC00457941","2018-08-10","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0","T,,7,2400","    0",",,7,","    0",",,7,2400","  389",",,7","  156",",,7",,,"   91",",,7,1200",,,"  194",",,7","  322",",,7","  244",",,7,2400","   37",",,7",,,"  178",",,7","  211",",,7",,,,,,,,,,
"USC00457941","2018-08-11","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  311",",,7","  150",",,7",,,"  112",",,7,1200",,,"  178",",,7","  311",",,7","  150",",,7,2400","  111",",,7",,,"  178",",,7","  206",",,7",,,,,,,,,,
"USC00457941","2018-08-12","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  250",",,7","  111",",,7",,,"  109",",,7,1200",,,"  117",",,7","  272",",,7","  156",",,7,2400","  182",",,7",,,"  167",",,7","  194",",,7",,,,,,,,,,
"USC00457941","2018-08-13","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  272",",,7","   83",",,7",,,"   58",",,7,1200",,,"  139",",,7","  256",",,7","  106",",,7,2400","   39",",,7",,,"  167",",,7","  189",",,7",,,,,,,,,,
"USC00457941","2018-08-14","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  300",",,7","  106",",,7",,,"   61",",,7,1200",,,"  133",",,7","  272",",,7","  133",",,7,2400","   42",",,7",,,"  156",",,7","  183",",,7",,,,,,,,,,
"USC00457941","2018-08-15","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  322",",,7","   94",",,7",,,"   71",",,7,1200",,,"  139",",,7","  278",",,7","  150",",,7,2400","   40",",,7",,,"  161",",,7","  183",",,7",,,,,,,,,,
"USC00457941","2018-08-16","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  344",",,7","  122",",,7",,,"   58",",,7,1200",,,"  156",",,7","  283",",,7","  217",",,7,2400","   43",",,7",,,"  178",",,7","  194",",,7",,,,,,,,,,
"USC00457941","2018-08-17","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0","T,,7,2400","    0",",,7,","    0",",,7,2400","  306",",,7","  156",",,7",,,"   86",",,7,1200",,,"  178",",,7","  289",",,7","  156",",,7,2400","   66",",,7",,,"  172",",,7","  194",",,7",,,,,,,,,,
"USC00457941","2018-08-18","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  278",",,7","  139",",,7",,,"   74",",,7,1200",,,"  139",",,7","  278",",,7","  161",",,7,2400","   66",",,7",,,"  167",",,7","  189",",,7",,,,,,,,,,
"USC00457941","2018-08-19","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  250",",,7","  117",",,7",,,"   61",",,7,1200",,,"  150",",,7","  267",",,7","  117",",,7,2400","   29",",,7",,,"  161",",,7","  183",",,7",,,,,,,,,,
"USC00457941","2018-08-20","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  261",",,7","   89",",,7",,,"   36",",,7,1200",,,,,,,"  144",",,7,2400","   64",",,7",,,"  156",",,7","  172",",,7",,,,,,,,,,
"USC00457941","2018-08-21","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  283",",,7","   89",",,7",,,"   74",",,7,1200",,,"  117",",,7","  228",",,7","  128",",,7,2400","  111",",,7",,,"  150",",,7","  172",",,7",,,,,,,,,,
"USC00457941","2018-08-22","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  306",",,7","   56",",,7",,,"   58",",,7,1200",,,"  122",",,7","  261",",,7","  156",",,7,2400","   43",",,7",,,"  144",",,7","  167",",,7",,,,,,,,,,
"USC00457941","2018-08-23","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  283",",,7","  100",",,7",,,"   99",",,7,1200",,,"  128",",,7","  272",",,7","  161",",,7,2400","   97",",,7",,,"  144",",,7","  167",",,7",,,,,,,,,,
"USC00457941","2018-08-24","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  233",",,7","  100",",,7",,,"   86",",,7,1200",,,"  117",",,7","  239",",,7","  106",",,7,2400","  204",",,7",,,"  139",",,7","  156",",,7",,,,,,,,,,
"USC00457941","2018-08-25","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  206",",,7","   72",",,7",,,"   61",",,7,1200",,,"  100",",,7","  222",",,7","  133",",,7,2400","  109",",,7",,,"  128",",,7","  150",",,7",,,,,,,,,,
"USC00457941","2018-08-26","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","   28",",,7,2400","    0",",,7,","    0",",,7,2400","  189",",,7","  111",",,7",,,"   56",",,7,1200",,,"  122",",,7","  200",",,7","  117",",,7,2400","  121",",,7",,,"  128",",,7","  144",",,7",,,,,,,,,,
"USC00457941","2018-08-27","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","   18",",,7,2400","    0",",,7,","    0",",,7,2400","  200",",,7","   83",",,7",,,"   13",",,7,1200",,,"  117",",,7","  189",",,7","   94",",,7,2400","   89",",,7",,,"  128",",,7","  144",",,7",,,,,,,,,,
"USC00457941","2018-08-28","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  244",",,7","   61",",,7",,,"   41",",,7,1200",,,"  106",",,7","  228",",,7","  117",",,7,2400","   69",",,7",,,"  128",",,7","  144",",,7",,,,,,,,,,
"USC00457941","2018-08-29","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  278",",,7","   72",",,7",,,"   69",",,7,1200",,,"  117",",,7","  239",",,7","  172",",,7,2400","   79",",,7",,,"  128",",,7","  150",",,7",,,,,,,,,,
"USC00457941","2018-08-30","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  244",",,7","  117",",,7",,,"   91",",,7,1200",,,"  111",",,7","  239",",,7","  117",",,7,2400","  134",",,7",,,"  128",",,7","  156",",,7",,,,,,,,,,
"USC00457941","2018-08-31","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  233",",,7","   56",",,7",,,"   91",",,7,1200",,,"   83",",,7","  228",",,7","  150",",,7,2400","  161",",,7",,,"  133",",,7","  161",",,7",,,,,,,,,,
"USC00457941","2018-09-01","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  233",",,7","   72",",,7",,,"   64",",,7,1200",,,"   94",",,7","  228",",,7","  128",",,7,2400","  121",",,7",,,"  122",",,7","  144",",,7",,,,,,,,,,
"USC00457941","2018-09-02","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  250",",,7","   44",",,7",,,"   61",",,7,1200",,,"   94",",,7","  233",",,7","  128",",,7,2400","   82",",,7",,,"  128",",,7","  144",",,7",,,,,,,,,,
"USC00457941","2018-09-03","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  256",",,7","  106",",,7",,,"   84",",,7,1200",,,"  106",",,7","  239",",,7","  133",",,7,2400","  122",",,7",,,"  128",",,7","  144",",,7",,,,,,,,,,
"USC00457941","2018-09-04","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  244",",,7","   67",",,7",,,"   71",",,7,1200",,,"  111",",,7","  256",",,7","  106",",,7,2400","   58",",,7",,,"  122",",,7","  150",",,7",,,,,,,,,,
"USC00457941","2018-09-05","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  272",",,7","   44",",,7",,,"   33",",,7,1200",,,"   94",",,7","  244",",,7","  106",",,7,2400","   40",",,7",,,"  122",",,7","  139",",,7",,,,,,,,,,
"USC00457941","2018-09-06","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  294",",,7","   61",",,7",,,"   61",",,7,1200",,,"  106",",,7","  256",",,7","  144",",,7,2400","   35",",,7",,,"  122",",,7","  144",",,7",,,,,,,,,,
"USC00457941","2018-09-07","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  289",",,7","   89",",,7",,,"   69",",,7,1200",,,"  122",",,7","  261",",,7","  189",",,7,2400","   56",",,7",,,"  117",",,7","  156",",,7",,,,,,,,,,
"USC00457941","2018-09-08","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0","T,,7,2400","    0",",,7,","    0",",,7,2400","  239",",,7","  100",",,7",,,"   76",",,7,1200",,,"  133",",,7","  261",",,7","  100",",,7,2400","  126",",,7",,,"  128",",,7","  150",",,7",,,,,,,,,,
"USC00457941","2018-09-09","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  239",",,7","   72",",,7",,,"   76",",,7,1200",,,"  144",",,7","  228",",,7","  133",",,7,2400","  113",",,7",,,"  128",",,7","  144",",,7",,,,,,,,,,
"USC00457941","2018-09-10","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  211",",,7","  111",",,7",,,"   66",",,7,1200",,,"  117",",,7","  233",",,7","  128",",,7,2400","  119",",,7",,,"  122",",,7","  139",",,7",,,,,,,,,,
"USC00457941","2018-09-11","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0","T,,7,2400","    0",",,7,","    0",",,7,2400","  194",",,7","   67",",,7",,,"   66",",,7,1200",,,"   94",",,7","  178",",,7","   67",",,7,2400","  153",",,7",,,"  122",",,7","  128",",,7",,,,,,,,,,
"USC00457941","2018-09-12","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  194",",,7","   39",",,7",,,"   33",",,7,1200",,,"   89",",,7","  178",",,7","   56",",,7,2400","   68",",,7",,,"  111",",,7","  122",",,7",,,,,,,,,,
"USC00457941","2018-09-13","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  194",",,7","   28",",,7",,,"   36",",,7,1200",,,"   78",",,7","  178",",,7","   67",",,7,2400","   79",",,7",,,"  106",",,7","  122",",,7",,,,,,,,,,
"USC00457941","2018-09-14","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0","T,,7,2400","    0",",,7,","    0",",,7,2400","  206",",,7","   44",",,7",,,"   48",",,7,1200",,,"   78",",,7","  183",",,7","  100",",,7,2400","   85",",,7",,,"  106",",,7","  117",",,7",,,,,,,,,,
"USC00457941","2018-09-15","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0","T,,7,2400","    0",",,7,","    0",",,7,2400","  217",",,7","   83",",,7",,,"   33",",,7,1200",,,"  117",",,7","  211",",,7","  128",",,7,2400","   48",",,7",,,"  111",",,7","  133",",,7",,,,,,,,,,
"USC00457941","2018-09-16","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    8",",,7,2400","    0",",,7,","    0",",,7,2400","  189",",,7","   67",",,7",,,"   53",",,7,1200",,,"  106",",,7","  228",",,7","   67",",,7,2400","  105",",,7",,,"  117",",,7","  128",",,7",,,,,,,,,,
"USC00457941","2018-09-17","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  178",",,7","   -6",",,7",,,"   48",",,7,1200",,,"   44",",,7","  183",",,7","   50",",,7,2400","  116",",,7",,,"  100",",,7","  122",",,7",,,,,,,,,,
"USC00457941","2018-09-18","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  206",",,7","  -11",",,7",,,"   43",",,7,1200",,,"   56",",,7","  194",",,7","   61",",,7,2400","   40",",,7",,,"  100",",,7","  117",",,7",,,,,,,,,,
"USC00457941","2018-09-19","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  217",",,7","    6",",,7",,,"   46",",,7,1200",,,"   61",",,7","  211",",,7","   78",",,7,2400","   48",",,7",,,"  100",",,7","  117",",,7",,,,,,,,,,
"USC00457941","2018-09-20","47.6812","-117.6267","729.1","SPOKANE WEATHER FORECAST OFFICE, WA US","    0",",,7,2400","    0",",,7,","    0",",,7,2400","  194",",,7","   39",",,7",,,"   51",",,7,1200",,,"   72",",,7","  211",",,7","  106",",,7,2400","   85",",,7",,,"  100",",,7","  111",",,7",,,,,,,,,,
