"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN12","SN12_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX12","SX12_ATTRIBUTES","SX32","SX32_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00417944","2018-07-17","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  383",",,7","  222",",,7","  173",",,7,0800",,,"  367",",,7","  244",",,7,0800","  153",",,7",,,,,"  311",",,7",,,,,"  361",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-18","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  389",",,7","  228",",,7","  147",",,7,0800",,,"  361",",,7","  267",",,7,0800","  130",",,7",,,,,"  306",",,7",,,,,"  356",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-19","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  406",",,7","  256",",,7","  152",",,7,0800","  217",",,7","  361",",,7","  272",",,7,0800","  169",",,7",,,,,"  294",",,7",,,,,"  361",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-20","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  417",",,7","  239",",,7","  163",",,7,0800","  211",",,7","  372",",,7","  261",",,7,0800","  174",",,7",,,,,"  311",",,7",,,,,"  372",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-21","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  411",",,7","  217",",,7","  163",",,7,0800","  211",",,7","  367",",,7","  244",",,7,0800","  171",",,7",,,,,"  322",",,7",,,,,"  372",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-22","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  417",",,7","  211",",,7","  168",",,7,0800","  206",",,7","  361",",,7","  239",",,7,0800","  161",",,7",,,,,"  311",",,7",,,,,"  372",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-23","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  417",",,7","  206",",,7","  150",",,7,0800","  206",",,7","  372",",,7","  217",",,7,0800","  103",",,7",,,,,"  311",",,7",,,,,"  372",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-24","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  411",",,7","  217",",,7","  140",",,7,0800","  206",",,7","  378",",,7","  256",",,7,0800","  156",",,7",,,,,"  311",",,7",,,,,"  372",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-25","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  383",",,7","  256",",,7","  142",",,7,0800","  217",",,7","  356",",,7","  256",",,7,0800","  143",",,7",,,,,"  322",",,7",,,,,"  367",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-26","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  383",",,7","  222",",,7","  122",",,7,0800","  211",",,7","  367",",,7","  250",",,7,0800","  116",",,7",,,,,"  322",",,7",,,,,"  378",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-27","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  378",",,7","  222",",,7","  152",",,7,0800","  206",",,7","  344",",,7","  250",",,7,0800","  166",",,7",,,,,"  300",",,7",,,,,"  344",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-28","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  378",",,7","  211",",,7","  127",",,7,0800","  200",",,7","  339",",,7","  228",",,7,0800","  117",",,7",,,,,"  306",",,7",,,,,"  350",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-29","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  383",",,7","  228",",,7","  119",",,7,0800","  200",",,7","  356",",,7","  250",",,7,0800","   84",",,7",,,,,"  306",",,7",,,,,"  356",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-30","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  389",",,7","  228",",,7","  130",",,7,0800","  211",",,7","  361",",,7","  261",",,7,0800","  188",",,7",,,,,"  300",",,7",,,,,"  350",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-31","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   43",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  211",",,7","   81",",,7,0800","  217",",,7","  306",",,7","  211",",,7,0800","  188",",,7",,,,,"  300",",,7",,,,,"  333",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-01","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  178",",,7","   94",",,7,0800",,,,,"  217",",,7,0800","   85",",,7",,,,,"  278",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-02","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  211",",,7","  114",",,7,0800","  189",",,7","  356",",,7","  217",",,7,0800","   68",",,7",,,,,"  278",",,7",,,,,"  339",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-03","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  211",",,7","   99",",,7,0800","  200",",,7","  333",",,7","  228",",,7,0800","  148",",,7",,,,,"  278",",,7",,,,,"  328",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-04","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  378",",,7","  217",",,7","  163",",,7,0800",,,,,"  239",",,7,0800","  230",",,7",,,,,"  294",",,7",,,,,"  333",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-05","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  228",",,7","  155",",,7,0800","  206",",,7","  339",",,7","  239",",,7,0800","  262",",,7",,,,,"  294",",,7",,,,,"  339",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-06","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  194",",,7","  160",",,7,0800","  200",",,7","  328",",,7","  211",",,7,0800","  275",",,7",,,,,"  289",",,7",,,,,"  339",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-07","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  211",",,7","  119",",,7,0800","  206",",,7","  350",",,7","  239",",,7,0800","  182",",,7",,,,,"  289",",,7",,,,,"  339",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-08","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  378",",,7","  239",",,7","  140",",,7,0800","  211",",,7","  350",",,7","  250",",,7,0800","  208",",,7",,,,,"  300",",,7",,,,,"  350",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-09","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","  246",",,7,0800","    0",",,7,0800","    0",",,7,0800","  378",",,7","  189",",,7","  147",",,7,0800","  206",",,7","  367",",,7","  200",",,7,0800","  161",",,7",,,,,"  306",",,7",,,,,"  350",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-10","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   33",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  200",",,7","   15",",,7,0800","  200",",,7","  300",",,7","  217",",,7,0800","   90",",,7",,,,,"  272",",,7",,,,,"  300",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-11","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  194",",,7","   25",",,7,0800","  206",",,7","  278",",,7","  211",",,7,0800","   76",",,7",,,,,"  256",",,7",,,,,"  283",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-12","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    8",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  206",",,7","   43",",,7,0800","  206",",,7","  306",",,7","  211",",,7,0800","   68",",,7",,,,,"  250",",,7",,,,,"  294",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-13","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","  617",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","  194",",,7","   41",",,7,0800","  200",",,7","  228",",,7","  217",",,7,0800","   77",",,7",,,,,"  250",",,7",,,,,"  272",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-14","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   36",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  211",",,7","   38",",,7,0800","  211",",,7","  289",",,7","  228",",,7,0800","  129",",,7",,,,,"  244",",,7",,,,,"  256",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-15","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  217",",,7","   86",",,7,0800","  217",",,7","  333",",,7","  228",",,7,0800","  201",",,7",,,,,"  244",",,7",,,,,"  267",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-16","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  217",",,7","  102",",,7,0800","  217",",,7","  350",",,7","  239",",,7,0800","  127",",,7",,,,,"  244",",,7",,,,,"  300",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-17","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  228",",,7","  107",",,7,0800","  222",",,7","  356",",,7","  239",",,7,0800","  153",",,7",,,,,"  256",",,7",,,,,"  311",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-18","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  233",",,7","  107",",,7,0800","  222",",,7","  361",",,7","  244",",,7,0800","  142",",,7",,,,,"  267",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-19","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  244",",,7","  119",",,7,0800","  228",",,7","  367",",,7","  261",",,7,0800","  167",",,7",,,,,"  278",",,7",,,,,"  328",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-20","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  211",",,7","   58",",,7,0800","  228",",,7","  339",",,7","  233",",,7,0800","   79",",,7",,,,,"  278",",,7",,,,,"  306",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-21","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  217",",,7","   76",",,7,0800","  228",",,7","  361",",,7","  233",",,7,0800","   68",",,7",,,,,"  278",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-22","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  217",",,7","   86",",,7,0800","  222",",,7","  356",",,7","  222",",,7,0800","   71",",,7",,,,,"  283",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-23","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  217",",,7","  112",",,7,0800","  211",",,7","  356",",,7","  228",",,7,0800","  109",",,7",,,,,"  283",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-24","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  200",",,7","  127",",,7,0800","  206",",,7","  356",",,7","  239",",,7,0800","  219",",,7",,,,,"  289",",,7",,,,,"  328",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-25","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  233",",,7","  137",",,7,0800","  211",",,7","  350",",,7","  239",",,7,0800","  206",",,7",,,,,"  289",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-26","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  233",",,7","  168",",,7,0800","  211",",,7","  356",",,7","  239",",,7,0800","  192",",,7",,,,,"  283",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-27","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  233",",,7","  140",",,7,0800","  217",",,7","  344",",,7","  239",",,7,0800","  246",",,7",,,,,"  289",",,7",,,,,"  317",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-28","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  239",",,7","  135",",,7,0800","  217",",,7","  344",",,7","  244",",,7,0800","  266",",,7",,,,,"  289",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-29","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  228",",,7","  147",",,7,0800","  222",",,7","  344",",,7","  239",",,7,0800","  229",",,7",,,,,"  294",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-30","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  222",",,7","  102",",,7,0800","  222",",,7","  350",",,7","  239",",,7,0800","  135",",,7",,,,,"  289",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-08-31","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  211",",,7","   94",",,7,0800","  217",",,7","  339",",,7","  233",",,7,0800","  101",",,7",,,,,"  289",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-01","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  206",",,7","  137",",,7,0800","  211",",,7","  356",",,7","  228",",,7,0800","  114",",,7",,,,,"  289",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-02","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  206",",,7","   99",",,7,0800","  217",",,7","  339",",,7","  239",",,7,0800","  124",",,7",,,,,"  283",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-03","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","  117",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  206",",,7","   66",",,7,0800","  211",",,7","  328",",,7","  211",",,7,0800","  101",",,7",,,,,"  272",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-04","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   13",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  211",",,7","   20",",,7,0800","  211",",,7","  300",",,7","  217",",,7,0800","   66",",,7",,,,,"  261",",,7",,,,,"  278",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-05","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  217",",,7","   38",",,7,0800","  228",",,7","  278",",,7","  228",",,7,0800","   85",",,7",,,,,"  261",",,7",,,,,"  278",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-06","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","  114",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  211",",,7","   25",",,7,0800","  222",",,7","  300",",,7","  217",",,7,0800","   48",",,7",,,,,"  256",",,7",,,,,"  267",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-07","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   46",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  217",",,7","    8",",,7,0800","  222",",,7","  261",",,7","  217",",,7,0800","   40",",,7",,,,,"  250",",,7",,,,,"  261",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-08","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","  490",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  211",",,7","   81",",,7,0800","  217",",,7","  306",",,7","  211",",,7,0800","   72",",,7",,,,,"  244",",,7",,,,,"  272",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-09","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","  246",",,7,0800","    0",",,7,0800","    0",",,7,0800","  233",",,7","  200",",,7","   20",",,7,0800","  206",",,7","  244",",,7","  200",",,7,0800","   90",",,7",,,,,"  239",",,7",,,,,"  250",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-10","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  150",",,7","   36",",,7,0800","  178",",,7","  267",",,7","  156",",,7,0800","   89",",,7",,,,,"  222",",,7",,,,,"  256",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-11","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  156",",,7","   38",",,7,0800","  178",",,7","  306",",,7","  183",",,7,0800","   47",",,7",,,,,"  222",",,7",,,,,"  250",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-12","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  183",",,7","   43",",,7,0800","  189",",,7","  328",",,7","  200",",,7,0800","   56",",,7",,,,,"  233",",,7",,,,,"  250",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-13","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  200",",,7","   48",",,7,0800","  206",",,7","  322",",,7","  211",",,7,0800","   53",",,7",,,,,"  228",",,7",,,,,"  256",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-14","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  194",",,7","   36",",,7,0800","  206",",,7","  294",",,7","  194",",,7,0800","   64",",,7",,,,,"  239",",,7",,,,,"  261",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-15","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  194",",,7","   41",",,7,0800","  206",",,7","  333",",,7","  211",",,7,0800","   87",",,7",,,,,"  239",",,7",,,,,"  278",",,7",,,,,,,,,,,,,,
"USC00417944","2018-09-16","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  200",",,7","   18",",,7,0800","  206",",,7","  244",",,7","  206",",,7,0800","   69",",,7",,,,,"  239",",,7",,,,,"  250",",,7",,,,,,,,,,,,,,
