"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094732","2018-08-30","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  339",",,W","  261",",,W","   36",",,W",,," 0855",",,W",,,,,"   10",",,W","   10",",,W","   76",",,W","   89",",,W",,,,,,,,
"USW00094732","2018-08-31","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  396",",,W,",,,"  267",",,W","  217",",,W","   42",",,W",,," 0507",",,W",,,,,"  110",",,W","  110",",,W","   81",",,W","  107",",,W",,,,,,,,
"USW00094732","2018-09-01","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   13",",,W,",,,"  272",",,W","  211",",,W","   33",",,W",,," 0836",",,W",,,,,"  100",",,W","   80",",,W","   63",",,W","   76",",,W",,,,,,,,
"USW00094732","2018-09-02","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  322",",,W","  217",",,W","   17",",,W",,," 1603",",,W",,,,,"  120",",,W","  130",",,W","   63",",,W","   72",",,W",,,,,,,,
"USW00094732","2018-09-03","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  350",",,W","  256",",,W","   13",",,W",,," 1337",",,W",,,,,"  280",",,W","  230",",,W","   45",",,W","   54",",,W",,,,,,,,
"USW00094732","2018-09-04","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  350",",,W","  239",",,W","   17",",,W",,," 1400",",,W",,,,,"  340",",,W","  340",",,W","   58",",,W","   72",",,W",,,,,,,,
"USW00094732","2018-09-05","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  350",",,W","  239",",,W","   13",",,W",,," 1809",",,W",,,,,"  180",",,W","  160",",,W","   36",",,W","   58",",,W",,,,,,,,
"USW00094732","2018-09-06","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0","T,,W,",,,"  361",",,W","  250",",,W","   26",",,W",,," 1806",",,W",,,,,"  350",",,W","  340",",,W","  112",",,W","  130",",,W",,,,,,,,
"USW00094732","2018-09-07","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  198",",,W,",,,"  311",",,W","  222",",,W","   33",",,W",,," 1500",",,W",,,,,"   50",",,W","   50",",,W","   76",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-09-08","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  201",",,W,",,,"  228",",,W","  167",",,W","   50",",,W",,," 1703",",,W",,,,,"   20",",,W","   20",",,W","   81",",,W","  103",",,W",,,,,,,,
"USW00094732","2018-09-09","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  318",",,W,",,,"  167",",,W","  139",",,W","   58",",,W",,," 2257",",,W",,,,,"   80",",,W","   70",",,W","   94",",,W","  125",",,W",,,,,,,,
"USW00094732","2018-09-10","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   86",",,W,",,,"  211",",,W","  133",",,W","   51",",,W",,," 1221",",,W",,,,,"   90",",,W","  120",",,W","   89",",,W","  121",",,W",,,,,,,,
