"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00059058","2017-05-29","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","   89",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-05-30","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","   61",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-05-31","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","   72",",,7",,,,,"  172",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-01","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","   89",",,7",,,,,"  117",",,7,0700","    1",",,7",,,,,,,,,,
"USC00059058","2017-06-02","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  100",",,7",,,,,"  144",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-03","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   97",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  106",",,7",,,,,"  161",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-06-04","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","  100",",,7",,,,,"  139",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-05","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","  111",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-06","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  111",",,7",,,,,"  167",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-07","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  128",",,7",,,,,"  161",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-06-08","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   71",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","  122",",,7",,,,,"  128",",,7,0700",,,"    1",",,7",,,,,,,,
