"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN12","SN12_ATTRIBUTES","SN22","SN22_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN33","SN33_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX12","SX12_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX33","SX33_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00122825","2018-06-06","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   41",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","   94",",,7",,,,,,,"   58",",,7,0800",,,,,,,"  133",",,7","  233",",,7","  122",",,7,0800",,,,,,,,,"  228",",,7","  211",",,7","  194",",,7",,,,,"  239",",,7","  222",",,7","  283",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-07","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  111",",,7",,,,,,,"   66",",,7,0800",,,,,,,"  128",",,7","  306",",,7","  156",",,7,0800",,,,,,,,,"  239",",,7","  211",",,7","  183",",,7",,,,,"  256",",,7","  228",",,7","  317",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-08","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","  277",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  133",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  172",",,7","  328",",,7","  194",",,7,0800",,,,,,,,,"  233",",,7","  211",",,7","  211",",,7",,,,,"  261",",,7","  222",",,7","  333",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-09","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","  140",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  183",",,7",,,,,,,"   69",",,7,0800",,,,,,,"  194",",,7","  300",",,7","  222",",,7,0800",,,,,,,,,"  222",",,7","  228",",,7","  222",",,7",,,,,"  272",",,7","  233",",,7","  244",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-10","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","  109",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  178",",,7",,,,,,,"   38",",,7,0800",,,,,,,"  206",",,7","  267",",,7","  200",",,7,0800",,,,,,,,,"  239",",,7","  233",",,7","  228",",,7",,,,,"  294",",,7","  239",",,7","  250",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-11","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   86",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  178",",,7",,,,,,,"   25",",,7,0800",,,,,,,,,,,"  189",",,7,0800",,,,,,,,,"  222",",,7","  222",",,7","  233",",,7",,,,,"  239",",,7","  228",",,7","  256",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-12","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   20",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  167",",,7",,,,,,,"   48",",,7,0800",,,,,,,,,,,"  172",",,7,0800",,,,,,,,,"  239",",,7","  222",",,7","  217",",,7",,,,,"  244",",,7","  233",",,7","  256",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-13","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  167",",,7",,,,,,,"   36",",,7,0800",,,,,,,,,,,"  250",",,7,0800",,,,,,,,,"  233",",,7","  233",",,7","  206",",,7",,,,,"  244",",,7","  244",",,7","  278",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-14","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   10",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  106",",,7",,,,,,,"   53",",,7,0800",,,,,,,,,,,"  161",",,7,0800",,,,,,,,,"  244",",,7","  222",",,7","  206",",,7",,,,,"  261",",,7","  233",",,7","  300",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-15","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  100",",,7",,,,,,,"   71",",,7,0800",,,,,,,,,,,"  178",",,7,0800",,,,,,,,,"  211",",,7","  217",",,7","  194",",,7",,,,,"  261",",,7","  228",",,7","  306",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-16","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  106",",,7",,,,,,,"   71",",,7,0800",,,,,,,,,,,"  222",",,7,0800",,,,,,,,,"  206",",,7","  217",",,7","  194",",,7",,,,,"  300",",,7","  239",",,7","  261",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-17","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  211",",,7",,,,,,,"   51",",,7,0800",,,,,,,,,,,"  272",",,7,0800",,,,,,,,,"  233",",,7","  244",",I,7","  233",",,7",,,,,"  311",",,7","  256",",,7","  272",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-18","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  233",",,7",,,,,,,"   86",",,7,0800",,,,,,,,,,,"  261",",,7,0800",,,,,,,,,"  244",",,7","  183",",,7","  256",",,7",,,,,"  250",",I,7","  211",",I,7","  350",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-19","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  228",",,7",,,,,,,"   97",",,7,0800",,,,,,,,,,,"  256",",,7,0800",,,,,,,,,"  283",",I,7","  217",",,7","  239",",,7",,,,,"  311",",,7","  228",",,7","  361",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-20","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","  241",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  156",",,7",,,,,,,"   81",",,7,0800",,,,,,,"  222",",,7",,,"  222",",,7,0800",,,,,,,,,"  278",",,7","  217",",,7","  250",",,7",,,,,"  289",",,7","  233",",,7","  344",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-21","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   53",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  194",",,7",,,,,,,"   79",",,7,0800",,,,,,,"  206",",,7","  317",",,7","  206",",,7,0800","  143",",,7",,,,,,,"  283",",,7","  222",",,7","  244",",,7",,,,,"  294",",,7","  228",",,7","  311",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-22","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","  465",",,7,0800","    0",",,7,0800","    0",",,7,0800","  233",",,7","  206",",,7",,,,,,,"   36",",,7,0800",,,,,,,"  194",",,7","  222",",,7","  228",",,7,0800","  114",",,7",,,,,,,"  250",",,7","  222",",,7","  244",",,7",,,,,"  278",",,7","  233",",,7","  261",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-23","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   56",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  178",",,7",,,,,,,"   84",",,7,0800",,,,,,,"  194",",,7","  300",",,7","  189",",,7,0800","   90",",,7",,,,,,,"  244",",,7","  211",",,7","  233",",,7",,,,,"  267",",,7","  228",",,7","  294",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-24","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  172",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  189",",,7","  278",",,7","  211",",,7,0800","  109",",,7",,,,,,,"  228",",,7","  228",",,7","  233",",,7",,,,,"  261",",,7","  244",",,7","  244",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-25","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  167",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  189",",,7","  328",",,7","  189",",,7,0800","  109",",,7",,,,,,,"  233",",,7","  211",",,7","  233",",,7",,,,,"  261",",,7","  222",",,7","  311",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-26","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  167",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  189",",,7","  317",",,7","  200",",,7,0800","  121",",,7",,,,,,,"  211",",,7","  222",",,7","  233",",,7",,,,,"  283",",,7","  256",",,7","  250",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-27","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","  170",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  172",",,7",,,,,,,"   28",",,7,0800",,,,,,,"  189",",,7","  250",",,7","  200",",,7,0800","  122",",,7",,,,,,,"  217",",,7","  233",",,7","  233",",,7",,,,,"  250",",,7","  239",",,7","  233",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-28","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   10",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  167",",,7",,,,,,,"   36",",,7,0800",,,,,,,"  250",",,7","  311",",,7","  239",",,7,0800","  101",",,7",,,,,,,"  233",",,7","  239",",,7","  239",",,7",,,,,"  294",",,7","  256",",,7","  250",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-29","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  172",",,7",,,,,,,"   36",",,7,0800",,,,,,,"  222",",,7","  367",",,7","  189",",,7,0800","   35",",,7",,,,,,,"  250",",,7","  244",",,7","  244",",,7",,,,,"  339",",,7","  283",",,7","  272",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-30","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  189",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  200",",,7","  383",",,7","  250",",,7,0800","   50",",,7",,,,,,,"  233",",,7","  267",",,7","  239",",,7",,,,,"  333",",,7","  283",",,7","  283",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-01","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  222",",,7",,,,,,,"   91",",,7,0800",,,,,,,"  239",",,7","  389",",,7","  250",",,7,0800","   79",",,7",,,,,,,"  261",",,7","  272",",,7","  256",",,7",,,,,"  361",",,7","  306",",,7","  294",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-02","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  228",",,7",,,,,,,"   99",",,7,0800",,,,,,,"  244",",,7","  372",",,7","  261",",,7,0800","   55",",,7",,,,,,,"  300",",,7","  222",",,7","  294",",,7",,,,,"  322",",,7","  289",",,7","  383",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-03","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  211",",,7",,,,,,,"   74",",,7,0800",,,,,,,"  244",",,7","  361",",,7","  239",",,7,0800","   55",",,7",,,,,,,"  300",",,7","  239",",,7","  300",",,7",,,,,"  317",",,7","  250",",,7","  372",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-04","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   86",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  194",",,7",,,,,,,"   51",",,7,0800",,,,,,,"  239",",,7","  383",",,7","  233",",,7,0800","   43",",,7",,,,,,,"  250",",,7","  250",",,7","  267",",,7",,,,,"  378",",,7","  306",",,7","  300",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-05","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  222",",,7",,,,,,,"   43",",,7,0800",,,,,,,"  239",",,7","  367",",,7","  267",",,7,0800","   27",",,7",,,,,,,"  278",",,7","  272",",,7","  272",",,7",,,,,"  339",",,7","  289",",,7","  294",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-06","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  161",",,7",,,,,,,"   56",",,7,0800",,,,,,,"  217",",,7","  350",",,7","  206",",,7,0800","  111",",,7",,,,,,,"  272",",,7","  272",",,7","  267",",,7",,,,,"  322",",,7","  278",",,7","  289",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-07","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  111",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  156",",,7","  311",",,7","  156",",,7,0800","  111",",,7",,,,,,,"  222",",,7","  267",",,7","  233",",,7",,,,,"  328",",,7","  278",",,7","  272",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-08","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  106",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  217",",,7","  306",",,7","  172",",,7,0800","   87",",,7",,,,,,,"  222",",,7","  256",",I,7","  222",",,7",,,,,"  339",",,7","  278",",,7","  261",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-09","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  156",",,7",,,,,,,"   71",",,7,0800",,,,,,,"  167",",,7","  356",",,7","  217",",,7,0800","   37",",,7",,,,,,,"  267",",,7","  233",",,7","  228",",,7",,,,,"  306",",,7","  244",",I,7","  306",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-10","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  156",",,7",,,,,,,"   74",",,7,0800",,,,,,,"  211",",,7","  344",",,7","  289",",,7,0800","  126",",,7",,,,,,,"  300",",,7","  222",",,7","  228",",,7",,,,,"  333",",,7","  250",",,7","  328",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-11","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  150",",,7",,,,,,,"   81",",,7,0800",,,,,,,"  206",",,7","  339",",,7","  211",",,7,0800","   58",",,7",,,,,,,"  294",",,7","  233",",,7","  272",",,7",,,,,"  322",",,7","  244",",,7","  356",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-12","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  128",",,7",,,,,,,"   94",",,7,0800",,,,,,,"  189",",,7","  339",",,7","  233",",,7,0800","   77",",,7",,,,,,,"  289",",,7","  244",",,7","  244",",,7",,,,,"  311",",,7","  267",",,7","  361",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-13","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  128",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  200",",,7","  356",",,7","  189",",,7,0800","   39",",,7",,,,,,,"  228",",,7","  222",",,7","  233",",,7",,,,,"  311",",,7","  239",",,7","  372",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-14","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  122",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  200",",,7","  367",",,7","  189",",,7,0800","   31",",,7",,,,,,,"  283",",,7","  239",",,7","  239",",,7",,,,,"  378",",,7","  311",",,7","  289",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-15","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  178",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  222",",,7","  361",",,7","  233",",,7,0800","   51",",,7",,,,,,,"  261",",,7","  289",",I,7","  256",",,7",,,,,"  367",",,7","  311",",,7","  294",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-16","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  211",",,7",,,,,,,"   71",",,7,0800",,,,,,,"  233",",,7","  317",",,7","  233",",,7,0800","   14",",,7",,,,,,,"  267",",,7","  233",",,7","  289",",,7",,,,,"  300",",,7","  233",",I,7","  356",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-17","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   25",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  161",",,7",,,,,,,"   69",",,7,0800",,,,,,,"  206",",,7","  344",",,7","  200",",,7,0800","   72",",,7",,,,,,,"  289",",,7","  228",",,7","  256",",,7",,,,,"  306",",,7","  244",",,7","  372",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-18","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  111",",,7",,,,,,,"   97",",,7,0800",,,,,,,"  167",",,7","  344",",,7","  156",",,7,0800","   97",",,7",,,,,,,"  278",",,7","  217",",,7","  244",",,7",,,,,"  306",",,7","  239",",,7","  361",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-19","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  106",",,7",,,,,,,"   86",",,7,0800",,,,,,,"  167",",,7","  339",",,7","  178",",,7,0800","   39",",,7",,,,,,,"  272",",,7","  217",",,7","  261",",,7",,,,,"  317",",,7","  228",",,7","  378",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-20","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   15",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  106",",,7",,,,,,,"   61",",,7,0800",,,,,,,"  189",",,7","  339",",,7","  206",",,7,0800","   55",",,7",,,,,,,"  261",",I,7","  222",",,7","  239",",,7",,,,,"  322",",,7","  244",",I,7","  378",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-21","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","  663",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","   78",",,7",,,,,,,,,,,,,,,"  183",",,7","  222",",,7","  178",",,7,0800","   85",",,7",,,,,,,"  239",",,7","  256",",I,7","  228",",,7",,,,,"  250",",I,7","  261",",,7","  283",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-07-22","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   79",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  178",",,7",,,,,,,"    8",",,7,0800",,,,,,,"  178",",,7","  250",",,7","  200",",,7,0800","   56",",,7",,,,,,,"  233",",,7","  239",",,7","  228",",,7",,,,,"  250",",,7","  256",",,7","  239",",,7",,,,,,,,,,,,,,,,,,,,,,
