"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00126830","2018-07-17","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   13",",,7,0900","    0",",,7,0900","    0",",,7,0900","  311",",,7","  200",",,7",,,,,,,,,"  228",",,7,0900","  261",",,7","  256",",,7","  350",",,7","  311",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-18","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  289",",,7","  139",",,7",,,,,,,,,"  139",",,7,0900","  244",",,7","  244",",,7","  361",",,7","  300",",,7",,,,,,,,,,,,
"USC00126830","2018-07-19","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  272",",,7","  139",",,7",,,,,,,,,"  156",",,7,0900","  244",",,7","  244",",,7","  372",",,7","  300",",,7",,,,,,,,,,,,
"USC00126830","2018-07-20","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  306",",,7","  150",",,7",,,,,,,,,"  200",",,7,0900","  250",",,7","  244",",,7","  378",",,7","  317",",,7",,,,,,,,,,,,
"USC00126830","2018-07-21","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0","T,,7,0900","    0",",,7,0900","    0",",,7,0900","  300",",,7","  183",",,7",,,,,,,,,"  200",",,7,0900","  250",",,7","  250",",,7","  322",",,7","  278",",,7",,,,,,,,,,,,
"USC00126830","2018-07-22","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   56",",,7,0900","    0",",,7,0900","    0",",,7,0900","  261",",,7","  194",",,7",,,,,,,,,"  194",",,7,0900","  233",",,7","  233",",,7","  272",",,7","  250",",,7",,,,,,,,,,,,
"USC00126830","2018-07-23","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   97",",,7,0900","    0",",,7,0900","    0",",,7,0900","  256",",,7","  156",",,7",,,,,,,,,"  178",",,7,0900","  211",",,7","  222",",,7","  261",",,7","  244",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-24","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  261",",,7","  167",",,7",,,,,,,,,"  183",",,7,0900","  206",",,7","  222",",,7","  278",",,7","  244",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-25","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  289",",,7","  172",",,7",,,,,,,,,"  183",",,7,0900","  217",",,7","  222",",,7","  322",",,7","  272",",,7",,,,,,,,,,,,
"USC00126830","2018-07-26","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  283",",,7","  178",",,7",,,,,,,,,"  183",",,7,0900","  239",",,7","  261",",,7","  350",",,7","  289",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-27","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  278",",,7","  144",",,7",,,,,,,,,"  150",",,7,0900","  233",",,7","  228",",,7","  328",",,7","  272",",,7",,,,,,,,,,,,
"USC00126830","2018-07-28","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  256",",,7","  133",",,7",,,,,,,,,"  144",",,7,0900","  233",",,7","  228",",,7","  339",",,7","  278",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-29","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  267",",,7","  122",",,7",,,,,,,,,"  161",",,7,0900","  228",",,7","  228",",,7","  333",",,7","  283",",,7",,,,,,,,,,,,
"USC00126830","2018-07-30","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","  102",",,7,0900","    0",",,7,0900","    0",",,7,0900","  200",",,7","  156",",,7",,,,,,,,,"  178",",,7,0900","  211",",,7","  217",",,7","  233",",,7","  228",",,7",,,,,,,,,,,,
"USC00126830","2018-07-31","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   56",",,7,0900","    0",",,7,0900","    0",",,7,0900","  239",",,7","  161",",,7",,,,,,,,,"  183",",,7,0900","  206",",,7","  211",",,7","  256",",,7","  239",",,7",,,,,,,,,,,,
"USC00126830","2018-08-01","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   66",",,7,0900","    0",",,7,0900","    0",",,7,0900","  233",",,7","  139",",,7",,,,,,,,,"  161",",,7,0900","  194",",,7","  200",",,7","  233",",,7","  222",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-02","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  283",",,7","  156",",,7",,,,,,,,,"  167",",,7,0900","  194",",,7","  200",",,7","  317",",,7","  289",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-03","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  300",",,7","  167",",,7",,,,,,,,,"  194",",,7,0900","  211",",,7","  222",",,7","  356",",,7","  311",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-04","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  317",",,7","  183",",,7",,,,,,,,,"  194",",,7,0900","  250",",,7","  244",",,7","  361",",,7","  311",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-05","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  322",",,7","  194",",,7",,,,,,,,,"  217",",,7,0900","  256",",,7","  250",",,7","  389",",,7","  328",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-06","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  328",",,7","  206",",,7",,,,,,,,,"  217",",,7,0900","  272",",,7","  261",",,7","  394",",,7","  339",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-07","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","  295",",,7,0900","    0",",,7,0900","    0",",,7,0900","  317",",,7","  183",",,7",,,,,,,,,"  211",",,7,0900","  250",",,7","  244",",,7","  350",",,7","  317",",,7",,,"    1",",,7",,,,,,,,
"USC00126830","2018-08-08","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   13",",,7,0900","    0",",,7,0900","    0",",,7,0900","  278",",,7","  211",",,7",,,,,,,,,"  222",",,7,0900","  250",",,7","  244",",,7","  289",",,7","  272",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-09","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   61",",,7,0900","    0",",,7,0900","    0",",,7,0900","  289",",,7","  172",",,7",,,,,,,,,"  178",",,7,0900","  228",",,7","  244",",,7","  311",",,7","  289",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-10","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  306",",,7","  172",",,7",,,,,,,,,"  217",",,7,0900","  233",",,7","  244",",,7","  328",",,7","  306",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-11","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    3",",,7,0900","    0",",,7,0900","    0",",,7,0900","  317",",,7","  194",",,7",,,,,,,,,"  206",",,7,0900","  244",",,7","  250",",,7","  350",",,7","  311",",,7","    1",",,7","    1",",,7",,,,,,,,
"USC00126830","2018-08-12","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  283",",,7","  161",",,7",,,,,,,,,"  167",",,7,0900","  239",",,7","  239",",,7","  333",",,7","  294",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-13","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  294",",,7","  156",",,7",,,,,,,,,"  161",",,7,0900","  233",",,7","  239",",,7","  344",",,7","  294",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-14","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  306",",,7","  156",",,7",,,,,,,,,"  167",",,7,0900","  239",",,7","  239",",,7","  356",",,7","  311",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-15","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  306",",,7","  161",",,7",,,,,,,,,"  211",",,7,0900","  250",",,7","  244",",,7","  356",",,7","  306",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-16","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   61",",,7,0900","    0",",,7,0900","    0",",,7,0900","  250",",,7","  211",",,7",,,,,,,,,"  217",",,7,0900","  244",",,7","  233",",,7","  272",",,7","  261",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-17","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","  127",",,7,0900","    0",",,7,0900","    0",",,7,0900","  300",",,7","  194",",,7",,,,,,,,,"  206",",,7,0900","  239",",,7","  244",",,7","  300",",,7","  283",",,7",,,"    1",",,7",,,,,,,,
"USC00126830","2018-08-18","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   91",",,7,0900","    0",",,7,0900","    0",",,7,0900","  283",",,7","  183",",,7",,,,,,,,,"  194",",,7,0900","  233",",,7","  244",",,7","  317",",,7","  289",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-19","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  278",",,7","  172",",,7",,,,,,,,,"  178",",,7,0900","  222",",,7","  233",",,7","  289",",,7","  267",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-20","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  306",",,7","  172",",,7",,,,,,,,,"  211",",,7,0900","  222",",,7","  233",",,7","  333",",,7","  294",",,7",,,,,,,,,,,,
"USC00126830","2018-08-21","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","  345",",,7,0900","    0",",,7,0900","    0",",,7,0900","  294",",,7","  200",",,7",,,,,,,,,"  211",",,7,0900","  239",",,7","  233",",,7","  294",",,7","  267",",,7","    1",",,7","    1",",,7",,,,,,,,
"USC00126830","2018-08-22","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   71",",,7,0900","    0",",,7,0900","    0",",,7,0900","  267",",,7","  167",",,7",,,,,,,,,"  178",",,7,0900","  211",",,7","  228",",,7","  278",",,7","  256",",,7",,,,,,,,,,,,
"USC00126830","2018-08-23","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  250",",,7","  117",",,7",,,,,,,,,"  128",",,7,0900","  194",",,7","  211",",,7","  267",",,7","  244",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-24","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  272",",,7","  122",",,7",,,,,,,,,"  150",",,7,0900","  194",",,7","  211",",,7","  311",",,7","  272",",,7",,,,,,,,,,,,
"USC00126830","2018-08-25","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   86",",,7,0900","    0",",,7,0900","    0",",,7,0900","  233",",,7","  144",",,7",,,,,,,,,"  206",",,7,0900","  206",",,7","  217",",,7","  256",",,7","  239",",,7",,,"    1",",,7",,,,,,,,
"USC00126830","2018-08-26","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   66",",,7,0900","    0",",,7,0900","    0",",,7,0900","  283",",,7","  194",",,7",,,,,,,,,"  250",",,7,0900","  200",",,7","  217",",,7","  228",",I,7","  239",",,7",,,"    1",",,7",,,,,,,,
"USC00126830","2018-08-27","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  328",",,7","  228",",,7",,,,,,,,,"  233",",,7,0900","  239",",I,7","  233",",,7","  322",",,7","  283",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-08-28","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  328",",,7","  228",",,7",,,,,,,,,"  233",",,7,0900","  250",",,7","  250",",,7","  328",",,7","  300",",,7",,,,,,,,,,,,
"USC00126830","2018-08-29","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","  114",",,7,0900","    0",",,7,0900","    0",",,7,0900","  333",",,7","  200",",,7",,,,,,,,,"  206",",,7,0900","  250",",,7","  250",",,7","  350",",,7","  300",",,7",,,,,,,,,,,,
"USC00126830","2018-08-30","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   13",",,7,0900","    0",",,7,0900","    0",",,7,0900","  267",",,7","  167",",,7",,,,,,,,,"  172",",,7,0900","  222",",,7","  233",",,7","  283",",,7","  272",",,7",,,,,,,,,,,,
"USC00126830","2018-08-31","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  272",",,7","  150",",,7",,,,,,,,,"  156",",,7,0900","  217",",,7","  228",",,7","  322",",,7","  272",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-01","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    3",",,7,0900","    0",",,7,0900","    0",",,7,0900","  317",",,7","  150",",,7",,,,,,,,,"  211",",,7,0900","  217",",,7","  228",",,7","  322",",,7","  283",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-02","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  317",",,7","  206",",,7",,,,,,,,,"  217",",,7,0900","  244",",,7","  244",",,7","  333",",,7","  283",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-03","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  322",",,7","  211",",,7",,,,,,,,,"  222",",,7,0900","  250",",,7","  283",",,7","  361",",,7","  306",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-04","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  339",",,7","  211",",,7",,,,,,,,,"  217",",,7,0900","  267",",,7","  261",",,7","  361",",,7","  311",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-05","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  339",",,7","  211",",,7",,,,,,,,,"  228",",,7,0900","  272",",,7","  272",",,7","  394",",,7","  317",",,7",,,,,,,,,,,,
"USC00126830","2018-09-06","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  344",",,7","  211",",,7",,,,,,,,,"  217",",,7,0900","  272",",,7","  267",",,7","  394",",,7","  322",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-07","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    3",",,7,0900","    0",",,7,0900","    0",",,7,0900","  294",",,7","  211",",,7",,,,,,,,,"  217",",,7,0900","  261",",,7","  256",",,7","  344",",,7","  289",",,7",,,,,,,,,,,,
"USC00126830","2018-09-08","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","  742",",,7,0900","    0",",,7,0900","    0",",,7,0900","  222",",,7","  156",",,7",,,,,,,,,"  161",",,7,0900","  200",",,7","  217",",,7","  267",",,7","  261",",,7",,,,,,,,,,,,
"USC00126830","2018-09-09","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   53",",,7,0900","    0",",,7,0900","    0",",,7,0900","  189",",,7","  144",",,7",,,,,,,,,"  150",",,7,0900","  178",",,7","  172",",,7","  206",",,7","  222",",,7",,,,,,,,,,,,
"USC00126830","2018-09-10","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0","T,,7,0900","    0",",,7,0900","    0",",,7,0900","  189",",,7","  139",",,7",,,,,,,,,"  144",",,7,0900","  172",",,7","  189",",,7","  189",",,7","  194",",,7",,,,,,,,,,,,
"USC00126830","2018-09-11","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  256",",,7","  117",",,7",,,,,,,,,"  122",",,7,0900","  172",",,7","  189",",,7","  244",",,7","  217",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-12","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  272",",,7","  117",",,7",,,,,,,,,"  128",",,7,0900","  189",",,7","  194",",,7","  300",",,7","  250",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-13","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  278",",,7","  117",",,7",,,,,,,,,"  139",",,7,0900","  161",",,7","  183",",,7","  311",",,7","  250",",,7",,,,,,,,,,,,
"USC00126830","2018-09-14","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  294",",,7","  128",",,7",,,,,,,,,"  167",",,7,0900","  189",",,7","  211",",,7","  328",",,7","  267",",,7",,,,,,,,,,,,
"USC00126830","2018-09-15","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  311",",,7","  156",",,7",,,,,,,,,"  167",",,7,0900","  222",",,7","  228",",,7","  339",",,7","  256",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-16","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  317",",,7","  161",",,7",,,,,,,,,"  172",",,7,0900","  217",",,7","  228",",,7","  344",",,7","  256",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-17","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  322",",,7","  172",",,7",,,,,,,,,"  189",",,7,0900","  228",",,7","  233",",,7","  356",",,7","  278",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-18","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  339",",,7","  178",",,7",,,,,,,,,"  183",",,7,0900","  250",",,7","  244",",,7","  350",",,7","  278",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-19","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  339",",,7","  172",",,7",,,,,,,,,"  194",",,7,0900","  239",",,7","  244",",,7","  361",",,7","  283",",,7",,,,,,,,,,,,
"USC00126830","2018-09-20","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  333",",,7","  194",",,7",,,,,,,,,"  206",",,7,0900","  256",",,7","  244",",,7","  356",",,7","  283",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-21","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  350",",,7","  206",",,7",,,,,,,,,"  244",",,7,0900","  256",",,7","  250",",,7","  361",",,7","  289",",,7",,,,,,,,,,,,
"USC00126830","2018-09-22","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","  119",",,7,0900","    0",",,7,0900","    0",",,7,0900","  272",",,7","  133",",,7",,,,,,,,,"  139",",,7,0900","  183",",,7","  206",",,7","  272",",,7","  256",",,7",,,"    1",",,7",,,,,,,,
"USC00126830","2018-09-23","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  194",",,7","   94",",,7",,,,,,,,,"  106",",,7,0900","  156",",,7","  183",",,7","  206",",,7","  211",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-09-24","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  261",",,7","   94",",,7",,,,,,,,,"  156",",,7,0900","  161",",,7","  183",",,7","  294",",,7","  228",",,7",,,,,,,,,,,,
"USC00126830","2018-09-25","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   46",",,7,0900","    0",",,7,0900","    0",",,7,0900","  239",",,7","  150",",,7",,,,,,,,,"  222",",,7,0900","  194",",,7","  194",",,7","  222",",,7","  217",",,7",,,,,,,,,,,,
"USC00126830","2018-09-26","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","  287",",,7,0900","    0",",,7,0900","    0",",,7,0900","  278",",,7","  139",",,7",,,,,,,,,"  144",",,7,0900","  206",",,7","  217",",,7","  278",",,7","  239",",,7",,,"    1",",,7",,,,,,,,
"USC00126830","2018-09-27","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  211",",,7","  111",",,7",,,,,,,,,"  117",",,7,0900","  172",",,7","  194",",,7","  256",",,7","  222",",,7",,,,,,,,,,,,
"USC00126830","2018-09-28","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  206",",,7","   89",",,7",,,,,,,,,"   94",",,7,0900","  150",",,7","  178",",,7","  211",",,7","  200",",,7",,,,,,,,,,,,
