"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00193624","2018-08-22","42.2269","-70.9125","10.7","HINGHAM, MA US","  122",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  161",",,7",,,,,"  222",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-23","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  256",",,7","  178",",,7",,,,,"  206",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-24","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  122",",,7",,,,,"  228",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-25","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  289",",,7","  161",",,7",,,,,"  217",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-26","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  128",",,7",,,,,"  233",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-27","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  328",",,7","  194",",,7",,,,,"  272",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-28","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  367",",,7","  217",",,7",,,,,"  306",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-29","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  367",",,7","  250",",,7",,,,,"  300",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-30","42.2269","-70.9125","10.7","HINGHAM, MA US","    0","T,,7,1900","    0",",,7,1900","    0",",,7,1900","  322",",,7","  228",",,7",,,,,"  228",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-31","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  233",",,7","  167",",,7",,,,,"  167",",,7,1900",,,,,,,,,,,,,,
