"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00291153","2018-08-05","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  356",",,7","  206",",,7",,,,,"  122",",,7,",,,,,,,,,"  233",",,7,0730",,
"USC00291153","2018-08-06","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  344",",,7","  189",",,7",,,,,"  135",",,7,",,,,,,,,,"  189",",,7,0730",,
"USC00291153","2018-08-07","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  339",",,7","  189",",,7",,,,,"  107",",,7,",,,,,,,,,"  211",",,7,0730",,
"USC00291153","2018-08-08","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  367",",,7","  211",",,7",,,,,"  135",",,7,",,,,,,,,,"  228",",,7,0730",,
"USC00291153","2018-08-09","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  361",",,7","  206",",,7",,,,,"   99",",,7,",,,,,,,,,"  206",",,7,0730",,
"USC00291153","2018-08-10","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   38",",,7,0730","    0",",,7","    0",",,7","  322",",,7","  178",",,7",,,,,"   89",",,7,",,,,,,,,,"  178",",,7,0730",,
"USC00291153","2018-08-11","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    8",",,7,0730","    0",",,7","    0",",,7","  278",",,7","  178",",,7",,,,,"   41",",,7,",,,,,,,,,"  206",",,7,0730",,
"USC00291153","2018-08-12","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  178",",,7",,,,,"   76",",,7,",,,,,,,,,"  189",",,7,0730",,
"USC00291153","2018-08-13","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  289",",,7","  172",",,7",,,,,"   66",",,7,",,,,,,,,,"  172",",,7,0730",,
"USC00291153","2018-08-14","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  339",",,7","  172",",,7",,,,,"  107",",,7,",,,,,,,,,"  200",",,7,0730",,
"USC00291153","2018-08-15","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  378",",,7","  200",",,7",,,,,"  104",",,7,",,,,,,,,,"  222",",,7,0730",,
"USC00291153","2018-08-16","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  367",",,7","  217",",,7",,,,,"  109",",,7,",,,,,,,,,"  228",",,7,0730",,
"USC00291153","2018-08-17","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  367",",,7","  211",",,7",,,,,"   99",",,7,",,,,,,,,,"  222",",,7,0730",,
"USC00291153","2018-08-18","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  367",",,7","  217",",,7",,,,,"  102",",,7,",,,,,,,,,"  233",",,7,0730",,
"USC00291153","2018-08-19","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    5",",,7,0730","    0",",,7","    0",",,7","  350",",,7","  200",",,7",,,,,"   66",",,7,",,,,,,,,,"  211",",,7,0730",,
"USC00291153","2018-08-20","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   61",",,7,0730","    0",",,7","    0",",,7","  350",",,7","  183",",,7",,,,,"  112",",,7,",,,,,,,,,"  189",",,7,0730",,
"USC00291153","2018-08-21","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    5",",,7,0730","    0",",,7","    0",",,7","  300",",,7","  189",",,7",,,,,"   66",",,7,",,,,,,,,,"  206",",,7,0730",,
"USC00291153","2018-08-22","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  344",",,7","  189",",,7",,,,,"  107",",,7,",,,,,,,,,"  194",",,7,0730",,
"USC00291153","2018-08-23","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  350",",,7","  194",",,7",,,,,"  114",",,7,",,,,,,,,,"  233",",,7,0730",,
"USC00291153","2018-08-24","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  378",",,7","  233",",,7",,,,,"  127",",,7,",,,,,,,,,"  256",",,7,0730",,
"USC00291153","2018-08-25","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  378",",,7","  222",",,7",,,,,"  124",",,7,",,,,,,,,,"  250",",,7,0730",,
"USC00291153","2018-08-26","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  378",",,7","  233",",,7",,,,,"  102",",,7,",,,,,,,,,"  244",",,7,0730",,
"USC00291153","2018-08-27","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  378",",,7","  211",",,7",,,,,"  104",",,7,",,,,,,,,,"  211",",,7,0730",,
"USC00291153","2018-08-28","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  389",",,7","  211",",,7",,,,,"  127",",,7,",,,,,,,,,"  211",",,7,0730",,
"USC00291153","2018-08-29","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  372",",,7","  211",",,7",,,,,"   94",",,7,",,,,,,,,,"  211",",,7,0730",,
"USC00291153","2018-08-30","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  367",",,7","  206",",,7",,,,,"  109",",,7,",,,,,,,,,"  222",",,7,0730",,
"USC00291153","2018-08-31","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  367",",,7","  206",",,7",,,,,"  104",",,7,",,,,,,,,,"  222",",,7,0730",,
"USC00291153","2018-09-01","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   15",",,7,0730","    0",",,7","    0",",,7","  367",",,7","  217",",,7",,,,,"  130",",,7,",,,,,,,,,"  239",",,7,0730",,
"USC00291153","2018-09-02","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   66",",,7,0730","    0",",,7","    0",",,7","  339",",,7","  183",",,7",,,,,"   79",",,7,",,,,,,,,,"  194",",,7,0730",,
"USC00291153","2018-09-03","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","  114",",,7,0730","    0",",,7","    0",",,7","  311",",,7","  178",",,7",,,,,"   61",",,7,",,,,,,,,,"  200",",,7,0730",,
"USC00291153","2018-09-04","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  311",",,7","  172",",,7",,,,,"   61",",,7,",,,,,,,,,"  178",",,7,0730",,
"USC00291153","2018-09-05","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  300",",,7","  172",",,7",,,,,"   58",",,7,",,,,,,,,,"  200",",,7,0730",,
"USC00291153","2018-09-06","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   20",",,7,0730","    0",",,7","    0",",,7","  311",",,7","  183",",,7",,,,,"   41",",,7,",,,,,,,,,"  183",",,7,0730",,
"USC00291153","2018-09-07","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","  236",",,7,0730","    0",",,7","    0",",,7","  261",",,7","  183",",,7",,,,,"   30",",,7,",,,,,,,,,"  194",",,7,0730",,
"USC00291153","2018-09-08","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    8",",,7,0730","    0",",,7","    0",",,7","  244",",,7","  178",",,7",,,,,"   30",",,7,",,,,,,,,,"  178",",,7,0730",,
"USC00291153","2018-09-09","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  272",",,7","  156",",,7",,,,,"   51",",,7,",,,,,,,,,"  161",",,7,0730",,
"USC00291153","2018-09-10","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  283",",,7","  156",",,7",,,,,"   71",",,7,",,,,,,,,,"  178",",,7,0730",,
"USC00291153","2018-09-11","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  167",",,7",,,,,"   74",",,7,",,,,,,,,,"  167",",,7,0730",,
