"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00048135","2018-06-15","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  211",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  172",",,7","  372",",,7","  239",",,7,0800","   60",",,7",,,,,,,,
"USC00048135","2018-06-16","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  178",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  172",",,7","  372",",,7","  239",",,7,0800","   60",",,7",,,,,,,,
"USC00048135","2018-06-17","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  167",",,7",,,,,,,"   46",",,7,0800",,,,,,,"  161",",,7","  361",",,7","  172",",,7,0800","   64",",,7",,,,,,,,
"USC00048135","2018-06-18","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  272",",,7","  156",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  172",",,7","  372",",,7","  183",",,7,0800","   71",",,7",,,,,,,,
"USC00048135","2018-06-19","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  183",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  178",",,7","  344",",,7","  217",",,7,0800","   39",",,7",,,,,,,,
"USC00048135","2018-06-20","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  194",",,7",,,,,,,"   89",",,7,0800",,,,,,,"  189",",,7","  350",",,7","  222",",,7,0800","   32",",,7",,,,,,,,
"USC00048135","2018-06-21","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  194",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  194",",,7","  372",",,7","  222",",,7,0800","   63",",,7",,,,,,,,
"USC00048135","2018-06-22","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  211",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  200",",,7","  383",",,7","  256",",,7,0800","   47",",,7",,,,,,,,
"USC00048135","2018-06-23","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  222",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  194",",,7","  394",",,7","  244",",,7,0800","   56",",,7",,,,,,,,
"USC00048135","2018-06-24","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  217",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  189",",,7","  394",",,7","  300",",,7,0800","   79",",,7",,,,,,,,
"USC00048135","2018-06-25","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  161",",,7",,,,,,,"   86",",,7,0800",,,,,,,"  206",",,7","  406",",,7","  189",",,7,0800","   61",",,7",,,,,,,,
"USC00048135","2018-06-26","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  189",",,7",,,,,,,"   91",",,7,0800",,,,,,,"  194",",,7","  394",",,7","  222",",,7,0800","   56",",,7",,,,,,,,
"USC00048135","2018-06-27","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  194",",,7",,,,,,,"  112",",,7,0800",,,,,,,"  183",",,7","  372",",,7","  222",",,7,0800","   50",",,7",,,,,,,,
"USC00048135","2018-06-28","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,"  114",",,7,0800",,,,,,,"  172",",,7","  361",",,7",,,"   66",",,7",,,,,,,,
"USC00048135","2018-06-29","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  206",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  183",",,7","  372",",,7","  250",",,7,0800","   37",",,7",,,,,,,,
"USC00048135","2018-06-30","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  200",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  178",",,7","  372",",,7","  250",",,7,0800","   47",",,7",,,,,,,,
"USC00048135","2018-07-01","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  239",",,7",,,,,,,"  122",",,7,0800",,,,,,,"  161",",,7","  383",",,7","  278",",,7,0800","   68",",,7",,,,,,,,
"USC00048135","2018-07-02","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  233",",,7",,,,,,,"   81",",,7,0800",,,,,,,"  211",",,7","  389",",,7","  250",",,7,0800","   53",",,7",,,,,,,,
"USC00048135","2018-07-03","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  211",",,7",,,,,,,"  130",",,7,0800",,,,,,,"  178",",,7","  372",",,7","  217",",,7,0800","   74",",,7",,,,,,,,
"USC00048135","2018-07-04","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  183",",,7",,,,,,,"  107",",,7,0800",,,,,,,"  167",",,7","  356",",,7","  189",",,7,0800","   71",",,7",,,,,,,,
"USC00048135","2018-07-05","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  167",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  172",",,7","  339",",,7","  183",",,7,0800","   64",",,7",,,,,,,,
"USC00048135","2018-07-06","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  183",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  167",",,7","  339",",,7","  239",",,7,0800","   58",",,7",,,,,,,,
"USC00048135","2018-07-07","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  194",",,7",,,,,,,"   89",",,7,0800",,,,,,,"  172",",,7","  339",",,7","  206",",,7,0800","   71",",,7",,,,,,,,
"USC00048135","2018-07-08","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  206",",,7",,,,,,,"   89",",,7,0800",,,,,,,"  178",",,7","  356",",,7","  211",",,7,0800","   40",",,7",,,,,,,,
"USC00048135","2018-07-09","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  200",",,7",,,,,,,"   64",",,7,0800",,,,,,,"  200",",,7","  361",",,7","  217",",,7,0800","    2",",,7",,,,,,,,
"USC00048135","2018-07-10","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  217",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  189",",,7","  378",",,7","  239",",,7,0800","   55",",,7",,,,,,,,
"USC00048135","2018-07-11","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  233",",,7",,,,,,,"   99",",,7,0800",,,,,,,"  189",",,7","  378",",,7","  250",",,7,0800","   34",",,7",,,,,,,,
"USC00048135","2018-07-12","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  222",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  211",",,7","  394",",,7","  250",",,7,0800","   42",",,7",,,,,,,,
"USC00048135","2018-07-13","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  411",",,7","  233",",,7",,,,,,,"  122",",,7,0800",,,,,,,"  211",",,7","  394",",,7","  261",",,7,0800","   58",",,7",,,,,,,,
"USC00048135","2018-07-14","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  228",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  228",",,7","  394",",,7","  250",",,7,0800","   34",",,7",,,,,,,,
"USC00048135","2018-07-15","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  244",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  211",",,7","  394",",,7","  267",",,7,0800","   34",",,7",,,,,,,,
"USC00048135","2018-07-16","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  233",",,7",,,,,,,"   89",",,7,0800",,,,,,,"  206",",,7","  400",",,7","  250",",,7,0800","   51",",,7",,,,,,,,
"USC00048135","2018-07-17","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  239",",,7",,,,,,,"   97",",,7,0800",,,,,,,"  228",",,7","  400",",,7","  261",",,7,0800","   50",",,7",,,,,,,,
"USC00048135","2018-07-18","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  422",",,7","  244",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  228",",,7","  400",",,7","  250",",,7,0800","   48",",,7",,,,,,,,
"USC00048135","2018-07-19","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-07-20","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  417",",,7","  244",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  233",",,7","  400",",,7","  272",",,7,0800","   66",",,7",,,,,,,,
"USC00048135","2018-07-21","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  222",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  211",",,7","  400",",,7","  261",",,7,0800","    5",",,7",,,,,,,,
"USC00048135","2018-07-22","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  233",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  228",",,7","  394",",,7","  250",",,7,0800","   43",",,7",,,,,,,,
"USC00048135","2018-07-23","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  244",",,7",,,,,,,"   71",",,7,0800",,,,,,,"  244",",,7","  400",",,7","  267",",,7,0800","   48",",,7",,,,,,,,
"USC00048135","2018-07-24","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  400",",,7","  250",",,7",,,,,,,"   79",",,7,0800",,,,,,,"  244",",,7","  400",",,7","  267",",,7,0800","   43",",,7",,,,,,,,
"USC00048135","2018-07-25","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  250",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  244",",,7","  400",",,7","  278",",,7,0800","   45",",,7",,,,,,,,
"USC00048135","2018-07-26","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  400",",,7","  278",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  233",",,7","  400",",,7","  300",",,7,0800","   34",",,7",,,,,,,,
"USC00048135","2018-07-27","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-07-28","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-07-29","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-07-30","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-07-31","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-01","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-02","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-03","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-04","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-05","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-06","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  206",",,7",,,,,,,,,,,,,,,"  178",",,7","  394",",,7","  217",",,7,0800",,,,,,,,,,
"USC00048135","2018-08-07","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  206",",,7",,,,,,,"   41",",,7,0800",,,,,,,"  167",",,7","  322",",,7","  256",",,7,0800","   27",",,7",,,,,,,,
"USC00048135","2018-08-08","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  217",",,7",,,,,,,"   66",",,7,0800",,,,,,,"  211",",,7","  339",",,7","  228",",,7,0800","   42",",,7",,,,,,,,
"USC00048135","2018-08-09","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-10","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  222",",,7",,,,,,,,,,,,,,,"  211",",,7","  350",",,7","  233",",,7,0800",,,,,,,,,,
"USC00048135","2018-08-11","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-12","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-13","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  206",",,7",,,,,,,,,,,,,,,"  183",",,7","  344",",,7","  222",",,7,0800",,,,,,,,,,
"USC00048135","2018-08-14","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  206",",,7",,,,,,,,,,,,,,,"  200",",,7","  344",",,7","  211",",,7,0800","   40",",,7",,,,,,,,
"USC00048135","2018-08-15","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  200",",,7",,,,,,,,,,,,,,,"  183",",,7","  339",",,7","  211",",,7,0800","   42",",,7",,,,,,,,
"USC00048135","2018-08-16","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-17","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  206",",,7",,,,,,,,,,,,,,,"  194",",,7","  350",",,7","  222",",,7,0800","   61",",,7",,,,,,,,
"USC00048135","2018-08-18","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  217",",,7",,,,,,,,,,,,,,,"  194",",,7","  350",",,7","  222",",,7,0800","   42",",,7",,,,,,,,
"USC00048135","2018-08-19","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  211",",,7",,,,,,,,,,,,,,,"  200",",,7","  356",",,7","  217",",,7,0800","   47",",,7",,,,,,,,
"USC00048135","2018-08-20","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-21","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  200",",,7",,,,,,,,,,,,,,,"  194",",,7","  350",",,7","  206",",,7,0800","   47",",,7",,,,,,,,
"USC00048135","2018-08-22","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-23","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-24","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  167",",,7",,,,,,,"    0",",,7,0800",,,,,,,"  167",",,7","  344",",,7","  183",",,7,0800","   19",",,7",,,,,,,,
"USC00048135","2018-08-25","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  172",",,7",,,,,,,,,,,,,,,"  178",",,7","  350",",,7","  178",",,7,0800","  126",",,7",,,,,,,,
"USC00048135","2018-08-26","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  178",",,7",,,,,,,,,,,,,,,"  178",",,7","  350",",,7","  183",",,7,0800","   47",",,7",,,,,,,,
"USC00048135","2018-08-27","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  178",",,7",,,,,,,"    0",",,7,0800",,,,,,,"  183",",,7","  339",",,7","  189",",,7,0800","   42",",,7",,,,,,,,
"USC00048135","2018-08-28","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  183",",,7",,,,,,,,,,,,,,,"  167",",,7","  328",",,7","  206",",,7,0800","   37",",,7",,,,,,,,
"USC00048135","2018-08-29","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-30","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048135","2018-08-31","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  144",",,7",,,,,,,"    0",",,7,0800",,,,,,,"  172",",,7","  322",",,7","  200",",,7,0800","   56",",,7",,,,,,,,
"USC00048135","2018-09-01","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  178",",,7",,,,,,,"    0",",,7,0800",,,,,,,"  167",",,7","  328",",,7","  211",",,7,0800","   32",",,7",,,,,,,,
"USC00048135","2018-09-02","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
