"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00093104","2018-06-20","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  422",",,W","  183",",,W","   30",",,W",,," 1814",",,W","  270",",,W","  210",",,W",,,,,"   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-06-21","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  444",",,W","  189",",,W","   44",",,W",,," 1410",",,W","  240",",,W","  240",",,W",,,,,"  112",",,W","  148",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-06-22","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  433",",,W","  178",",,W","   28",",,W",,," 1731",",,W","  220",",,W","  210",",,W",,,,,"   81",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-06-23","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  428",",,W","  200",",,W","   35",",,W",,," 1659",",,W","  180",",,W","  170",",,W",,,,,"   98",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-06-24","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  422",",,W","  200",",,W","   37",",,W",,," 1854",",,W","  220",",,W","  220",",,W",,,,,"   94",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-06-25","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  417",",,W","  228",",,W","   35",",,W",,," 1836",",,W","  220",",,W","  210",",,W",,,,,"   89",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-06-26","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  411",",,W","  217",",,W","   36",",,W",,," 1824",",,W","  200",",,W","  190",",,W",,,,,"   81",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-06-27","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  422",",,W","  217",",,W","   38",",,W",,," 1634",",,W","  240",",,W","  210",",,W",,,,,"  112",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-06-28","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  394",",,W","  233",",,W","   46",",,W",,," 1243",",,W","  220",",,W","  210",",,W",,,,,"  130",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-06-29","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  383",",,W","  178",",,W","   37",",,W",,," 1741",",,W","  200",",,W","  190",",,W",,,,,"   76",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-06-30","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  400",",,W","  183",",,W","   31",",,W",,," 1142",",,W","   90",",,W","  120",",,W",,,,,"   72",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-07-01","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  417",",,W","  222",",,W","   31",",,W",,," 1054",",,W","  160",",,W","  120",",,W",,,,,"   72",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-07-02","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  417",",,W","  222",",,W","   34",",,W",,," 1812",",,W","  190",",,W","  200",",,W",,,,,"  103",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-07-03","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  400",",,W","  239",",,W","   54",",,W",,," 1614",",,W","  220",",,W","  220",",,W",,,,,"  112",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-07-04","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  378",",,W","  217",",,W","   62",",,W",,," 1310",",,W","  200",",,W","  170",",,W",,,,,"  103",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-07-05","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  406",",,W","  189",",,W","   31",",,W",,," 1627",",,W","  210",",,W","  220",",,W",,,,,"   81",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093104","2018-07-06","35.6875","-117.6931","679.7","CHINA LAKE NAF, CA US","    0",",,W,",,,,,"  433",",,W","  194",",,W","   21",",,W",,," 1753",",,W","  280",",,W","  280",",,W",,,,,"   76",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
