"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00200230","2018-08-03","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  300",",,7","  156",",,7",,,,,,,,,"  278",",,7,1800",,,,,,,"  200",",,7",,,"  222",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-04","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  311",",,7","  139",",,7",,,,,,,,,"  289",",,7,1800",,,,,,,"  200",",,7",,,"  228",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-05","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  322",",,7","  172",",,7",,,,,,,,,"  311",",,7,1800",,,,,,,"  211",",,7",,,"  239",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-06","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   20",",,7,1800","    0",",,7,","    0",",,7,","  311",",,7","  217",",,7",,,,,,,,,"  228",",,7,1800",,,"  139",",,7",,,"  222",",,7",,,"  233",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,
"USC00200230","2018-08-07","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","  185",",,7,1800","    0",",,7,","    0",",,7,","  289",",,7","  200",",,7",,,,,,,,,"  261",",,7,1800",,,,,,,"  217",",,7",,,"  233",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-08","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   10",",,7,1800","    0",",,7,","    0",",,7,","  283",",,7","  200",",,7",,,,,,,,,"  272",",,7,1800",,,,,,,"  217",",,7",,,"  233",",,7",,,,,,,,,,,,,,,,,,
"USC00200230","2018-08-09","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   30",",,7,1800","    0",",,7,","    0",",,7,","  294",",,7","  161",",,7",,,,,,,,,"  239",",,7,1800",,,,,,,"  211",",,7",,,"  233",",,7",,,"    1",",,7",,,,,,,,,,,,,,
"USC00200230","2018-08-10","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    3",",,7,1800","    0",",,7,","    0",",,7,","  283",",,7","  172",",,7",,,,,,,,,"  272",",,7,1800",,,,,,,"  217",",,7",,,"  239",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-08-11","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    5",",,7,1800","    0",",,7,","    0",",,7,","  300",",,7","  122",",,7",,,,,,,,,"  244",",,7,1800",,,,,,,"  206",",,7",,,"  233",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,
"USC00200230","2018-08-12","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    5",",,7,1800","    0",",,7,","    0",",,7,","  289",",,7","  161",",,7",,,,,,,,,"  239",",,7,1800",,,,,,,"  206",",,7",,,"  228",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,
