"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00292837","2018-05-28","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  200",",,7","  -72",",Z,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-05-29","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  194",",,7","  -56",",Z,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-05-30","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  217",",,7","  -28",",Z,7",,,,,,,,,"   30",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-05-31","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  239",",,7","  -28",",Z,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,"  200",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-01","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  256",",,7","  -22",",,7",,,,,,,,,"  104",",,7,0800",,,,,,,,,,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-02","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  256",",,7","  -33",",,7",,,,,,,,,"   71",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-03","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  261",",,7","  -67",",,7",,,,,,,,,"   71",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-04","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   38",",,7,0800","    0",",,7","    0",",,7","  189",",,7","   39",",,7",,,,,,,,,"   71",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-05","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","   44",",,7",,,,,,,,,"   51",",,7,0800",,,,,,,,,,,,,"  250",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-06","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","   39",",,7",,,,,,,,,"   86",",,7,0800",,,,,,,,,,,,,"  267",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-07","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","   67",",,7",,,,,,,,,"   94",",,7,0800",,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-08","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  272",",,7","  -11",",,7",,,,,,,,,"  109",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-09","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  267",",,7","  -22",",,7",,,,,,,,,"   99",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-10","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  261",",,7","   78",",,7",,,,,,,,,"   99",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-11","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  256",",,7","   -6",",,7",,,,,,,,,"   99",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-12","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  267",",,7","  -17",",,7",,,,,,,,,"   97",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-13","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","   11",",,7",,,,,,,,,"   76",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-14","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  267",",,7","   39",",,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-15","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  244",",,7","   33",",,7",,,,,,,,,"  107",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-16","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  244",",,7","   61",",,7",,,,,,,,,"   53",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-17","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   76",",,7,0800","    0",",,7","    0",",,7","  144",",,7","   61",",,7",,,,,,,,,"   53",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-18","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   79",",,7,0800","    0",",,7","    0",",,7","  144",",,7","   11",",,7",,,,,,,,,"   53",",,7,0800",,,,,,,,,,,,,"  144",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-19","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  239",",,7","   39",",,7",,,,,,,,,"   97",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-20","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  239",",,7","  -28",",,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-21","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  244",",,7","    0",",,7",,,,,,,,,"   84",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-22","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  239",",,7","  -17",",,7",,,,,,,,,"  109",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-23","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  250",",,7","  -22",",,7",,,,,,,,,"  107",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-24","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  244",",,7","  -44",",,7",,,,,,,,,"  107",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-25","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  222",",,7","  -44",",,7",,,,,,,,,"  104",",,7,0800",,,,,,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-26","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  244",",,7","  -11",",,7",,,,,,,,,"   66",",,7,0800",,,,,,,,,,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-27","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  283",",,7","  -22",",,7",,,,,,,,,"  130",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-28","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","   28",",,7",,,,,,,,,"   94",",,7,0800",,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-29","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  139",",,7",,,,,,,,,"  135",",,7,0800",,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-06-30","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  256",",,7","   22",",,7",,,,,,,,,"   91",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-01","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  244",",,7","    0",",,7",,,,,,,,,"   91",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-02","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  261",",,7",,,,,,,,,,,"   89",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-03","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  100",",,7",,,,,,,,,"   91",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-04","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","   50",",,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-05","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  150",",,7",,,,,,,,,"   76",",,7,0800",,,,,,,,,,,,,"  289",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-06","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   33",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  106",",,7",,,,,,,,,"   71",",,7,0800",,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-07","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   41",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  122",",,7",,,,,,,,,"   74",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-08","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   43",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  111",",,7",,,,,,,,,"   74",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-09","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   43",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  106",",,7",,,,,,,,,"   74",",,7,0800",,,,,,,,,,,,,"  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-10","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   76",",,7,0800","    0",",,7","    0",",,7","  322",",,7","   56",",,7",,,,,,,,,"  124",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-11","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  117",",,7",,,,,,,,,"  163",",,7,0800",,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-12","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  133",",,7",,,,,,,,,"   64",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-13","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   79",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  128",",,7",,,,,,,,,"   48",",,7,0800",,,,,,,,,,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-14","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  128",",,7",,,,,,,,,"   64",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-15","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  133",",,7",,,,,,,,,"   61",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-16","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  133",",,7",,,,,,,,,"   61",",,7,0800",,,,,,,,,,,,,"  272",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-17","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   84",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  156",",,7",,,,,,,,,"   28",",,7,0800",,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-18","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   51",",,7,0800","    0",",,7","    0",",,7","  294",",,7","   61",",,7",,,,,,,,,"   51",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-19","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  128",",,7",,,,,,,,,"   69",",,7,0800",,,,,,,,,,,,,"  250",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-20","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  167",",,7",,,,,,,,,"  107",",,7,0800",,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-21","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  161",",,7",,,,,,,,,"   74",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-22","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  139",",,7",,,,,,,,,"   74",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-23","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    8",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  139",",,7",,,,,,,,,"   74",",,7,0800",,,,,,,,,,,,,"  294",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-24","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   56",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  111",",,7",,,,,,,,,"   76",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-25","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  139",",,7",,,,,,,,,"   69",",,7,0800",,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-26","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    5",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  117",",,7",,,,,,,,,"   71",",,7,0800",,,,,,,,,,,,,"  172",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-27","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","   67",",,7",,,,,,,,,"   91",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-28","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   46",",,7,0800","    0",",,7","    0",",,7","  311",",,7","   83",",,7",,,,,,,,,"   58",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-29","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  111",",,7",,,,,,,,,"   58",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-30","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","   83",",,7",,,,,,,,,"   56",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-07-31","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  106",",,7",,,,,,,,,"   71",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-01","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","   67",",,7",,,,,,,,,"   58",",,7,0800",,,,,,,,,,,,,"  150",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-02","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  106",",,7",,,,,,,,,"   69",",,7,0800",,,,,,,,,,,,,"  161",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-03","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  133",",,7",,,,,,,,,"   91",",,7,0800",,,,,,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-04","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  272",",,7","   61",",,7",,,,,,,,,"   58",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-05","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","   94",",,7",,,,,,,,,"   58",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-06","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    8",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  139",",,7",,,,,,,,,"   56",",,7,0800",,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-07","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","   39",",,7",,,,,,,,,"  117",",,7,0800",,,,,,,,,,,,,"  167",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-08","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","   61",",,7",,,,,,,,,"  102",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-09","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  106",",,7",,,,,,,,,"  109",",,7,0800",,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-10","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   51",",,7,0800","    0",",,7","    0",",,7","  311",",,7","   94",",,7",,,,,,,,,"   58",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-11","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  272",",,7","   67",",,7",,,,,,,,,"   66",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-12","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","   67",",,7",,,,,,,,,"   66",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-13","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   69",",,7,0800","    0",",,7","    0",",,7","  300",",,7","   56",",,7",,,,,,,,,"   66",",,7,0800",,,,,,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-14","36.5927","-106.73","2054.4","EL VADO DAM, NM US","    8",",,7,0800","    0",",,7","    0",",,7","  311",",,7","   39",",,7",,,,,,,,,"   71",",,7,0800",,,,,,,,,,,,,"  161",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-15","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   10",",,7,0800","    0",",,7","    0",",,7","  317",",,7","   94",",,7",,,,,,,,,"   81",",,7,0800",,,,,,,,,,,,,"  122",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-16","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   10",",,7,0800","    0",",,7","    0",",,7","  317",",,7","   94",",,7",,,,,,,,,"   81",",,7,0800",,,,,,,,,,,,,"  122",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00292837","2018-08-17","36.5927","-106.73","2054.4","EL VADO DAM, NM US","   91",",,7,0800","    0",",,7","    0",",,7","  283",",,7","   78",",,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,,,,,"  128",",,7,0800",,,,,,,,,,,,,,,,,,,,
