"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00013810","2018-09-09","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   28",",,W",,,,,"  200",",,W","  172",",,W","   23",",,W",,,,,,,,,,,,,,,"  350",",,W","   10",",,W","   45",",,W","   63",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-09-10","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  206",",,W","  161",",,W","   16",",,W",,,,,,,,,,,,,,,"  290",",,W","  300",",,W","   45",",,W","   63",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-09-11","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  228",",,W","  139",",,W","   16",",,W",,,,,,,,,,,,,,,"   90",",,W","  360",",,W","   45",",,W","   67",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013810","2018-09-12","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  278",",,W","  167",",,W","   19",",,W",,,,,,,,,,,,,,,"   10",",,W","  360",",,W","   45",",,W","   63",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-09-13","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  317",",,W","  178",",,W","    5",",,W",,,,,,,,,,,,,,,"  360",",,W","  350",",,W","   31",",,W","   49",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-09-14","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  339",",,W","  200",",,W","   16",",,W",,,,,,,,,,,,,,,"   30",",,W","   30",",,W","   54",",,W","   67",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-09-15","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  339",",,W","  211",",,W","   24",",,W",,,,,,,,,,,,,,,"   70",",,W","   30",",,W","   63",",,W","   85",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-09-16","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0","T,,W",,,,,"  300",",,W","  233",",,W","   32",",,W",,,,,,,,,,,,,,,"   70",",,W","   70",",,W","   67",",,W","   98",",,W",,,,,,,,,,,,,,,,
"USW00013810","2018-09-17","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","   20",",,W",,,,,"  300",",,W","  228",",,W","   21",",,W",,,,,,,,,,,,,,,"   20",",,W","  330",",,W","   45",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013810","2018-09-18","38.22806","-85.66361","164.6","LOUISVILLE BOWMAN FIELD, KY US","    0",",,W",,,,,"  344",",,W","  206",",,W","   11",",,W",,,,,,,,,,,,,,,"  290",",,W","  270",",,W","   45",",,W","   67",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
