"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00091245","2018-09-04","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  144",",,a","   58",",,a",,,,,,,,,,,"  112","H,,S"
"ASN00091245","2018-09-05","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   12",",,a","  150",",,a","   98",",,a",,,,,,,,,,,"  123","H,,S"
"ASN00091245","2018-09-06","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   20",",,a","  156",",,a","  112",",,a",,,,,,,,,,,"  112","H,,S"
"ASN00091245","2018-09-07","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   28",",,a","  134",",,a","   91",",,a",,,,,,,,,,,"  108","H,,S"
"ASN00091245","2018-09-08","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    4",",,a","  136",",,a","   89",",,a",,,,,,,,,,,"  109","H,,S"
"ASN00091245","2018-09-09","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   68",",,a","  141",",,a","   75",",,a",,,,,,,,,,,"  120","H,,S"
"ASN00091245","2018-09-10","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   10",",,a","  141",",,a","  108",",,a",,,,,,,,,,,"  118","H,,S"
"ASN00091245","2018-09-11","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    4",",,a","  169",",,a","   97",",,a",,,,,,,,,,,"  133","H,,S"
"ASN00091245","2018-09-12","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   14",",,a","  130",",,a","   71",",,a",,,,,,,,,,,"  117","H,,S"
"ASN00091245","2018-09-13","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    4",",,a","  142",",,a","  100",",,a",,,,,,,,,,,"  126","H,,S"
"ASN00091245","2018-09-14","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  157",",,a","  112",",,a",,,,,,,,,,,"  134","H,,S"
"ASN00091245","2018-09-15","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   22",",,a","  107",",,a","   91",",,a",,,,,,,,,,,"   81","H,,S"
"ASN00091245","2018-09-16","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   16",",,a","  121",",,a","   59",",,a",,,,,,,,,,,"  103","H,,S"
"ASN00091245","2018-09-17","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   18",",,a","  138",",,a","   84",",,a",,,,,,,,,,,,
"ASN00091245","2018-09-18","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   18",",,a","  147",",,a","   97",",,a",,,,,,,,,,,"   87","H,,S"
"ASN00091245","2018-09-19","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   18",",,a","  124",",,a","   71",",,a",,,,,,,,,,,"  100","H,,S"
"ASN00091245","2018-09-20","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   18",",,a","  128",",,a","   75",",,a",,,,,,,,,,,"  110","H,,S"
"ASN00091245","2018-09-21","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    6",",,a","  135",",,a","   98",",,a",,,,,,,,,,,"  116","H,,S"
"ASN00091245","2018-09-22","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  129",",,a","  106",",,a",,,,,,,,,,,"  100","H,,S"
"ASN00091245","2018-09-23","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   10",",,a","  117",",,a","   79",",,a",,,,,,,,,,,"   75","H,,S"
"ASN00091245","2018-09-24","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  111",",,a","   40",",,a",,,,,,,,,,,"   76","H,,S"
"ASN00091245","2018-09-25","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  119",",,a","   62",",,a",,,,,,,,,,,"   83","H,,S"
"ASN00091245","2018-09-26","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS",,,"  146",",,a","   46",",,a",,,,,,,,,,,"  112","H,,S"
"ASN00091245","2018-09-27","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  164",",,a","   92",",,a",,,,,,,,,,,"  117","H,,S"
"ASN00091245","2018-09-28","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    4",",,a","  131",",,a","   91",",,a",,,,,,,,,,,"   90","H,,S"
"ASN00091245","2018-09-29","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   10",",,a","  125",",,a","   59",",,a",,,,,,,,,,,"  107","H,,S"
"ASN00091245","2018-09-30","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  137",",,a","   91",",,a",,,,,,,,,,,"  108","H,,S"
"ASN00091245","2018-10-01","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  157",",,a","   94",",,a",,,,,,,,,,,"  121","H,,S"
"ASN00091245","2018-10-02","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  165",",,a","   98",",,a",,,,,,,,,,,"  127","H,,S"
"ASN00091245","2018-10-03","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   14",",,a","  125",",,a","  109",",,a",,,,,,,,,,,"   97","H,,S"
"ASN00091245","2018-10-04","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   10",",,a","  108",",,a","   75",",,a",,,,,,,,,,,"   93","H,,S"
"ASN00091245","2018-10-05","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   20",",,a","  145",",,a","   77",",,a",,,,,,,,,,,"  108","H,,S"
"ASN00091245","2018-10-06","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  159",",,a","   70",",,a",,,,,,,,,,,"  129","H,,S"
"ASN00091245","2018-10-07","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  164",",,a","  115",",,a",,,,,,,,,,,"  132","H,,S"
"ASN00091245","2018-10-08","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  163",",,a","  121",",,a",,,,,,,,,,,"  133","H,,S"
"ASN00091245","2018-10-09","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   14",",,a","  129",",,a","  118",",,a",,,,,,,,,,,"   87","H,,S"
"ASN00091245","2018-10-10","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  134",",,a","   43",",,a",,,,,,,,,,,"   94","H,,S"
"ASN00091245","2018-10-11","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  138",",,a","   62",",,a",,,,,,,,,,,"  112","H,,S"
"ASN00091245","2018-10-12","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  152",",,a","   87",",,a",,,,,,,,,,,"  124","H,,S"
"ASN00091245","2018-10-13","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  164",",,a","  111",",,a",,,,,,,,,,,"  141","H,,S"
"ASN00091245","2018-10-14","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  178",",,a","  129",",,a",,,,,,,,,,,"  147","H,,S"
"ASN00091245","2018-10-15","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  189",",,a","  135",",,a",,,,,,,,,,,"  154","H,,S"
"ASN00091245","2018-10-16","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  152",",,a","  145",",,a",,,,,,,,,,,"  142","H,,S"
"ASN00091245","2018-10-17","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   46",",,a","  181",",,a","  135",",,a",,,,,,,,,,,"  144","H,,S"
"ASN00091245","2018-10-18","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   12",",,a","  165",",,a","  128",",,a",,,,,,,,,,,"  134","H,,S"
"ASN00091245","2018-10-19","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   12",",,a","  181",",,a","  125",",,a",,,,,,,,,,,"  141","H,,S"
"ASN00091245","2018-10-20","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   30",",,a","  151",",,a","  107",",,a",,,,,,,,,,,"  124","H,,S"
"ASN00091245","2018-10-21","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  157",",,a","  102",",,a",,,,,,,,,,,"  124","H,,S"
"ASN00091245","2018-10-22","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   10",",,a","  182",",,a","   96",",,a",,,,,,,,,,,"  145","H,,S"
"ASN00091245","2018-10-23","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  147",",,a","  116",",,a",,,,,,,,,,,"  107","H,,S"
"ASN00091245","2018-10-24","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    4",",,a","  139",",,a","   77",",,a",,,,,,,,,,,"  103","H,,S"
"ASN00091245","2018-10-25","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  145",",,a","   64",",,a",,,,,,,,,,,"  121","H,,S"
"ASN00091245","2018-10-26","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  148",",,a","  101",",,a",,,,,,,,,,,"  123","H,,S"
"ASN00091245","2018-10-27","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  140",",,a","  110",",,a",,,,,,,,,,,"   97","H,,S"
"ASN00091245","2018-10-28","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  147",",,a","   64",",,a",,,,,,,,,,,"  109","H,,S"
"ASN00091245","2018-10-29","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  158",",,a","   93",",,a",,,,,,,,,,,"  118","H,,S"
"ASN00091245","2018-10-30","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  144",",,a","   85",",,a",,,,,,,,,,,"  123","H,,S"
"ASN00091245","2018-10-31","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  149",",,a","   98",",,a",,,,,,,,,,,"  114","H,,S"
"ASN00091245","2018-11-01","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  201",",,a","   77",",,a",,,,,,,,,,,"  158","H,,S"
"ASN00091245","2018-11-02","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   16",",,a","  154",",,a","  128",",,a",,,,,,,,,,,"  124","H,,S"
"ASN00091245","2018-11-03","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   30",",,a","  143",",,a","   94",",,a",,,,,,,,,,,"  118","H,,S"
"ASN00091245","2018-11-04","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   14",",,a","  146",",,a","  101",",,a",,,,,,,,,,,"  127","H,,S"
"ASN00091245","2018-11-05","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   70",",,a","  159",",,a","  113",",,a",,,,,,,,,,,"  137","H,,S"
"ASN00091245","2018-11-06","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  143",",,a","  124",",,a",,,,,,,,,,,"  117","H,,S"
"ASN00091245","2018-11-07","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   40",",,a","  132",",,a","   89",",,a",,,,,,,,,,,"  104","H,,S"
"ASN00091245","2018-11-08","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   16",",,a","  135",",,a","   78",",,a",,,,,,,,,,,"  113","H,,S"
"ASN00091245","2018-11-09","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   36",",,a","  153",",,a","   92",",,a",,,,,,,,,,,"  127","H,,S"
"ASN00091245","2018-11-10","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    6",",,a","  154",",,a","  107",",,a",,,,,,,,,,,"  124","H,,S"
"ASN00091245","2018-11-11","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  165",",,a","  103",",,a",,,,,,,,,,,"  128","H,,S"
"ASN00091245","2018-11-12","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  173",",,a","   97",",,a",,,,,,,,,,,"  149","H,,S"
"ASN00091245","2018-11-13","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  193",",,a","  136",",,a",,,,,,,,,,,"  141","H,,S"
"ASN00091245","2018-11-14","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    6",",,a","  167",",,a","  111",",,a",,,,,,,,,,,"  127","H,,S"
"ASN00091245","2018-11-15","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  145",",,a","  107",",,a",,,,,,,,,,,"  111","H,,S"
"ASN00091245","2018-11-16","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  160",",,a","   72",",,a",,,,,,,,,,,"  124","H,,S"
"ASN00091245","2018-11-17","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  161",",,a","   97",",,a",,,,,,,,,,,,
"ASN00091245","2018-11-18","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  193",",,a","   82",",,a",,,,,,,,,,,,
"ASN00091245","2018-11-19","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  190",",,a","  136",",,a",,,,,,,,,,,,
"ASN00091245","2018-11-20","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  164",",,a","  146",",,a",,,,,,,,,,,,
"ASN00091245","2018-11-21","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  146",",,a","  106",",,a",,,,,,,,,,,,
"ASN00091245","2018-11-22","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   80",",,a","  127",",,a","   91",",,a",,,,,,,,,,,,
"ASN00091245","2018-11-23","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   48",",,a","  145",",,a","   99",",,a",,,,,,,,,,,"  130","H,,S"
"ASN00091245","2018-11-24","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  156",",,a","  119",",,a",,,,,,,,,,,"  136","H,,S"
"ASN00091245","2018-11-25","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  183",",,a","  115",",,a",,,,,,,,,,,"  138","H,,S"
"ASN00091245","2018-11-26","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  166",",,a","  115",",,a",,,,,,,,,,,"  141","H,,S"
"ASN00091245","2018-11-27","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  185",",,a","  122",",,a",,,,,,,,,,,"  146","H,,S"
"ASN00091245","2018-11-28","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  163",",,a","  125",",,a",,,,,,,,,,,"  141","H,,S"
"ASN00091245","2018-11-29","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  170",",,a","  128",",,a",,,,,,,,,,,"  139","H,,S"
"ASN00091245","2018-11-30","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  161",",,a","  121",",,a",,,,,,,,,,,"  133","H,,S"
"ASN00091245","2018-12-01","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   10",",,a","  193",",,a","  108",",,a",,,,,,,,,,,"  144","H,,S"
"ASN00091245","2018-12-02","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","  152",",,a","  147",",,a","  101",",,a",,,,,,,,,,,"  130","H,,S"
"ASN00091245","2018-12-03","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   44",",,a","  148",",,a","  105",",,a",,,,,,,,,,,"  126","H,,S"
"ASN00091245","2018-12-04","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   30",",,a","  170",",,a","  113",",,a",,,,,,,,,,,"  138","H,,S"
"ASN00091245","2018-12-05","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    2",",,a","  200",",,a","  115",",,a",,,,,,,,,,,"  155","H,,S"
"ASN00091245","2018-12-06","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  204",",,a","  137",",,a",,,,,,,,,,,"  178","H,,S"
"ASN00091245","2018-12-07","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  266",",,a","  156",",,a",,,,,,,,,,,"  197","H,,S"
"ASN00091245","2018-12-08","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","   20",",,a","  166",",,a","  150",",,a",,,,,,,,,,,"  139","H,,S"
"ASN00091245","2018-12-09","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  219",",,a","  121",",,a",,,,,,,,,,,"  154","H,,S"
"ASN00091245","2018-12-10","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  178",",,a","  124",",,a",,,,,,,,,,,"  143","H,,S"
"ASN00091245","2018-12-11","-40.6828","144.69","94.0","CAPE GRIM BAPS, AS","    0",",,a","  200",",,a","  115",",,a",,,,,,,,,,,"  166","H,,S"
