"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00156624","2018-08-10","37.53351","-83.34887","227.1","QUICKSAND, KY US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7",,,,,,,"  206",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-11","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  244",",,7","  189",",,7",,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-08-12","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  289",",,7","  189",",,7",,,,,"  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-08-13","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  278",",,7","  178",",,7","    3",",,7","    8",",,7","  183",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-14","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  172",",,7",,,,,"  172",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-15","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  172",",,7",,,,,"  178",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-16","37.53351","-83.34887","227.1","QUICKSAND, KY US","   38",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  172",",,7",,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-08-17","37.53351","-83.34887","227.1","QUICKSAND, KY US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  183",",,7",,,,,"  200",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-18","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  278",",,7","  200",",,7",,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-08-19","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  261",",,7","  206",",,7",,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-08-20","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  278",",,7","  194",",,7","    3",",,7","  386",",,7","  200",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-21","37.53351","-83.34887","227.1","QUICKSAND, KY US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  200",",,7",,,,,"  217",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-22","37.53351","-83.34887","227.1","QUICKSAND, KY US","   89",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  206",",,7",,,,,"  206",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-23","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  128",",,7",,,,,"  128",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-24","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  111",",,7",,,,,"  117",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-25","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  267",",,7","  111",",,7",,,,,"  161",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-08-26","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  261",",,7","  161",",,7",,,,,"  178",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-08-27","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  300",",,7","  178",",,7","    3",",,7","    0",",,7","  194",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-28","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  194",",,7",,,,,"  194",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-29","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  189",",,7",,,,,"  189",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-30","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  189",",,7",,,,,"  217",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-08-31","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  211",",,7",,,,,"  211",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-01","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  311",",,7","  189",",,7",,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-02","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  289",",,7","  189",",,7",,,,,"  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-03","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  317",",,7","  194",",,7",,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-04","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  317",",,7","  194",",,7","    4",",,7","  102",",,7","  194",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-05","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  194",",,7",,,,,"  211",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-06","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  211",",,7",,,,,"  217",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-07","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  206",",,7",,,,,"  206",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-08","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  294",",,7","  189",",,7",,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-09","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  289",",,7","  189",",,7",,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-10","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  289",",,7","  172",",,7","    3",",,7","  592",",,7","  172",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-11","37.53351","-83.34887","227.1","QUICKSAND, KY US","   76",",,7,0800","    0",",,7,0800","    0",",,7,0800","  200",",,7","  161",",,7",,,,,"  161",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-12","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  206",",,7","  161",",,7",,,,,"  178",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-13","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  178",",,7",,,,,"  183",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-14","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  306",",,7","  183",",,7",,,,,"  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-15","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  306",",,7","  189",",,7",,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-16","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  289",",,7","  189",",,7",,,,,"  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-17","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  244",",,7","  200",",,7","    4",",,7","  173",",,7","  200",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-18","37.53351","-83.34887","227.1","QUICKSAND, KY US","   51",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","  189",",,7",,,,,"  194",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-19","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  178",",,7",,,,,"  178",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-20","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  178",",,7",,,,,"  189",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-21","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  183",",,7",,,,,"  189",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-09-22","37.53351","-83.34887","227.1","QUICKSAND, KY US","   76",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  161",",,7",,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-23","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  206",",,7","  167",",,7",,,,,"  167",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-24","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  194",",,7","  167",",,7","    2",",,7","  472",",,7","  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-25","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  217",",,7","  122",",,7",,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-26","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  267",",,7","  183",",,7","    2",",,7","  185",",,7","  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-27","37.53351","-83.34887","227.1","QUICKSAND, KY US","   79",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","   44",",,7",,,,,"  150",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-28","37.53351","-83.34887","227.1","QUICKSAND, KY US","  391",",,7,0800","    0",",,7,0800","    0",",,7,0800","  167",",,7","  106",",,7",,,,,"  133",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-29","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  200",",,7","  133",",,7",,,,,"  133",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-09-30","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  228",",,7","  111",",,7",,,,,"  117",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-10-01","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  267",",,7","  117",",,7","    3",",,7","    3",",,7","  144",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-02","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  139",",,7",,,,,"  183",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-03","37.53351","-83.34887","227.1","QUICKSAND, KY US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7",,,,,,,"  161",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-04","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7",,,,,,,"  167",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-05","37.53351","-83.34887","227.1","QUICKSAND, KY US","  307",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  161",",,7",,,,,"  206",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-06","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  283",",,7",,,,,,,"  178",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-10-07","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  294",",,7",,,,,,,"  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-10-08","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  294",",,7",,,"    3",",,7","  145",",,7","  183",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-09","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7",,,,,,,"  183",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-10","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  167",",,7",,,,,"  172",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-10-11","37.53351","-83.34887","227.1","QUICKSAND, KY US","  109",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  167",",,7",,,,,"  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-10-12","37.53351","-83.34887","227.1","QUICKSAND, KY US","   38",",,7,0800","    0",",,7,0800","    0",",,7,0800","  206",",,7","   44",",,7",,,,,"   61",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-13","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  156",",,7","   44",",,7",,,,,"   61",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-10-14","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  106",",,7","   61",",,7",,,,,"   78",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-10-15","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  150",",,7","   78",",,7","    3",",,7","  231",",,7","  144",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-10-16","37.53351","-83.34887","227.1","QUICKSAND, KY US","  130",",,7,0800","    0",",,7,0800","    0",",,7,0800","  189",",,7","   56",",,7",,,,,"   83",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-10-17","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  106",",,7",,,,,,,"   56",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-18","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  178",",,7","   -6",",,7",,,,,"   28",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-19","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  128",",,7","   11",",,7",,,,,"   11",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-10-20","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  194",",,7","   11",",,7",,,,,"  111",",,7,0800",,,,,,,,,,,,,,,,,,,,
