"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00226894","2018-06-13","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  283",",,H","  200",",,H",,,,,"  228",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-14","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  322",",,H","  217",",,H",,,,,"  228",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-15","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  317",",,H","  206",",,H",,,,,"  233",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-16","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  328",",,H","  228",",,H",,,,,"  239",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-17","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US",,,,,,,"  333",",,H","  211",",,H",,,,,"  239",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-18","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","  127",",,H,0800",,,,,"  317",",,H","  217",",,H",,,,,"  233",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-19","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  322",",,H","  228",",,H",,,,,"  261",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-20","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  328",",,H","  239",",,H",,,,,"  250",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-21","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  311",",,H","  233",",,H",,,,,"  250",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-22","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   18",",,H,0800",,,,,"  294",",,H","  211",",,H",,,,,"  250",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-23","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  328",",,H","  233",",,H",,,,,"  233",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-24","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  339",",,H","  233",",,H",,,,,"  267",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-25","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  339",",,H","  228",",,H",,,,,"  256",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-26","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  356",",,H","  228",",,H",,,,,"  267",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-27","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  350",",,H","  239",",,H",,,,,"  272",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-28","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   38",",,H,0800",,,,,"  344",",,H","  217",",,H",,,,,"  228",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-06","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","  335",",,H,0800",,,,,"  350",",,H","  211",",,H",,,,,"  228",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-07","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  322",",,H","  217",",,H",,,,,"  222",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-08","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  311",",,H","  222",",,H",,,,,"  239",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-09","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  322",",,H","  233",",,H",,,,,"  250",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-10","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  317",",,H","  228",",,H",,,,,"  250",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-11","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  311",",,H","  228",",,H",,,,,"  244",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-12","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  350",",,H","  233",",,H",,,,,"  256",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-07-13","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  333",",,H","  228",",,H",,,,,"  250",",,H,0800",,,,,,,,,,,,,,,,
