"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00015652","2018-06-16","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    4",",L,a",,,,,"   31",",L,a",,
"ASN00015652","2018-06-17","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-18","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    3",",,a",,,,,"  215",",,a"
"ASN00015652","2018-06-19","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    3",",,a",,,,,"   25",",,a",,
"ASN00015652","2018-06-20","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-21","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-22","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    4",",,a",,,,,"  215",",,a"
"ASN00015652","2018-06-23","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    4",",,a",,,,,"   15",",,a",,
"ASN00015652","2018-06-24","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-06-25","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    3",",,a",,,,,"  185",",,a"
"ASN00015652","2018-06-26","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  183",",,a",,,,,"    3",",,a",,,,,"   29",",,a",,
"ASN00015652","2018-06-27","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  195",",,a","   29",",,a",,,,,,,,,,,,
"ASN00015652","2018-06-28","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  220",",,a","   26",",,a",,,,,,,,,,,,
"ASN00015652","2018-06-29","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  220",",,a","  -32",",,a",,,,,,,,,,,,
"ASN00015652","2018-06-30","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"   65",",,a",,,,,,,,,,,,
"ASN00015652","2018-07-01","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-07-02","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    3",",,a",,,,,"  254",",,a"
"ASN00015652","2018-07-03","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  280",",,a",,,,,"    3",",,a",,,,,"   68",",,a",,
"ASN00015652","2018-07-04","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"    1",",,a",,,,,,,,,,,,
"ASN00015652","2018-07-05","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  290",",,a"
"ASN00015652","2018-07-06","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    2",",,a",,,,,"    9",",,a",,
"ASN00015652","2018-07-07","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-07-08","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-07-09","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    4",",,a",,,,,"  190",",,a"
"ASN00015652","2018-07-10","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  195",",,a",,,,,"    4",",,a",,,,,"   43",",,a",,
"ASN00015652","2018-07-11","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  215",",,a","   55",",,a",,,,,,,,,,,,
"ASN00015652","2018-07-12","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"   65",",,a",,,,,,,,,,,,
"ASN00015652","2018-07-13","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  220",",,a"
"ASN00015652","2018-07-14","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  226",",,a",,,,,"    2",",,a",,,,,"   55",",,a",,
"ASN00015652","2018-07-15","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-07-16","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  249",",,a"
"ASN00015652","2018-07-17","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    3",",,a",,,,,"   -5",",,a",,
"ASN00015652","2018-07-18","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  265",",,a"
"ASN00015652","2018-07-19","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    2",",,a",,,,,"   10",",,a",,
"ASN00015652","2018-07-20","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-07-21","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    3",",,a",,,,,"  270",",,a"
"ASN00015652","2018-07-22","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    3",",,a",,,,,"   45",",,a",,
"ASN00015652","2018-07-23","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  285",",,a"
"ASN00015652","2018-07-24","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  260",",,a",,,,,"    2",",,a",,,,,"  119",",,a",,
"ASN00015652","2018-07-25","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  270",",,a","   60",",,a",,,,,,,,,,,,
"ASN00015652","2018-07-26","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  295",",,a","   65",",,a",,,,,,,,,,,,
"ASN00015652","2018-07-27","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  212",",,a","   40",",,a",,,,,,,,,,,,
"ASN00015652","2018-07-28","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"   46",",,a",,,,,,,,,,,,
"ASN00015652","2018-07-29","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  212",",,a"
"ASN00015652","2018-07-30","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  261",",,a",,,,,"    2",",,a",,,,,"   46",",,a",,
"ASN00015652","2018-07-31","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"   50",",,a",,,,,,,,,,,,
"ASN00015652","2018-08-01","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  200",",,a"
"ASN00015652","2018-08-02","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  240",",,a",,,,,"    2",",,a",,,,,"  100",",,a",,
"ASN00015652","2018-08-03","-24.2914","131.5488","614.0","WATARRKA, AS","   90",",,a",,,"  -25",",,a",,,,,,,,,,,,
"ASN00015652","2018-08-04","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-08-05","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-08-06","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    4",",,a",,,,,"  175",",,a"
"ASN00015652","2018-08-07","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    4",",,a",,,,,"  -25",",,a",,
"ASN00015652","2018-08-08","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-08-09","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-08-10","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-08-11","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    5",",,a",,,,,"  280",",,a"
"ASN00015652","2018-08-12","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  190",",,a",,,,,"    5",",,a",,,,,"  -25",",,a",,
"ASN00015652","2018-08-13","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  210",",,a","   65",",,a",,,,,,,,,,,,
"ASN00015652","2018-08-14","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  260",",,a","   71",",,a",,,,,,,,,,,,
"ASN00015652","2018-08-15","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  250",",,a","    0",",,a",,,,,,,,,,,,
"ASN00015652","2018-08-16","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  275",",,a","  150",",,a",,,,,,,,,,,,
"ASN00015652","2018-08-17","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  295",",,a","  200",",,a",,,,,,,,,,,,
"ASN00015652","2018-08-18","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  255",",,a",,,,,,,,,,,,,,
"ASN00015652","2018-08-19","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    2",",,a",,,,,"  100",",,a",,
"ASN00015652","2018-08-20","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-08-21","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    3",",,a",,,,,"  255",",,a"
"ASN00015652","2018-08-22","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    3",",,a",,,,,"   60",",,a",,
"ASN00015652","2018-08-23","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-08-24","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-08-25","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    4",",,a",,,,,"  280",",,a"
"ASN00015652","2018-08-26","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    4",",,a",,,,,"  -10",",,a",,
"ASN00015652","2018-08-27","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  282",",,a"
"ASN00015652","2018-08-28","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  301",",,a",,,,,"    2",",,a",,,,,"   95",",,a",,
