"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00091306","2018-10-22","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  184",",,a","   71",",,a",,,,,,,,,,,,,"  133","H,,S"
"ASN00091306","2018-10-23","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   22",",,a","  178",",,a","   98",",,a",,,,,,,,,,,,,"   74","H,,S"
"ASN00091306","2018-10-24","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    6",",,a","  166",",,a","   -9",",,a",,,,,,,,,,,,,"   93","H,,S"
"ASN00091306","2018-10-25","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  157",",,a","   34",",,a",,,,,,,,,,,,,"  100","H,,S"
"ASN00091306","2018-10-26","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  167",",,a","   52",",,a",,,,,,,,,,,,,"  109","H,,S"
"ASN00091306","2018-10-27","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  184",",,a","   71",",,a",,,,,,,,,,,,,"   76","H,,S"
"ASN00091306","2018-10-28","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a","  166",",,a","  -13",",,a",,,,,,,,,,,,,"   90","H,,S"
"ASN00091306","2018-10-29","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  191",",,a","   17",",,a",,,,,,,,,,,,,"  118","H,,S"
"ASN00091306","2018-10-30","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  198",",,a","   66",",,a",,,,,,,,,,,,,"  126","H,,S"
"ASN00091306","2018-10-31","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  201",",,a","   30",",,a",,,,,,,,,,,,,"  114","H,,S"
"ASN00091306","2018-11-01","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  200",",,a","    2",",,a",,,,,,,,,,,,,"  166","H,,S"
"ASN00091306","2018-11-02","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","  104",",,a",,,"  114",",,a",,,,,,,,,,,,,"  117","H,,S"
