"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00201896","2018-05-14","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  194",",,7","   72",",,7",,,,,,,,,"   89",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-15","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  222",",,7","   89",",,7",,,,,,,,,"  100",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-16","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  183",",,7","   61",",,7",,,,,,,,,"  111",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-17","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  239",",,7","   67",",,7",,,,,,,,,"  100",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-18","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  172",",,7","   72",",,7",,,,,,,,,"   78",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-19","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   48",",,7,0630","    0",",,7,0630","    0",",,7,0630","  200",",,7","   78",",,7",,,,,,,,,"   83",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-20","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   36",",,7,0630","    0",",,7,0630","    0",",,7,0630","  117",",,7","   39",",,7",,,,,,,,,"   50",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-21","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  150",",,7","   39",",,7",,,,,,,,,"  122",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-22","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  183",",,7","   78",",,7",,,,,,,,,"  117",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-23","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  206",",,7","   78",",,7",,,,,,,,,"  133",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-24","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  222",",,7","  106",",,7",,,,,,,,,"  183",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-25","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   38",",,7,0630","    0",",,7,0630","    0",",,7,0630","  239",",,7","  133",",,7",,,,,,,,,"  156",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-26","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  256",",,7","  144",",,7",,,,,,,,,"  178",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-27","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  250",",,7","  128",",,7",,,,,,,,,"  183",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-28","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  261",",,7","  139",",,7",,,,,,,,,"  156",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-29","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  267",",,7","  133",",,7",,,,,,,,,"  161",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-30","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  272",",,7","  156",",,7",,,,,,,,,"  172",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-31","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","  137",",,7,0630","    0",",,7,0630","    0",",,7,0630","  294",",,7","  167",",,7",,,,,,,,,"  200",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-01","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    8",",,7,0630","    0",",,7,0630","    0",",,7,0630","  217",",,7","   89",",,7",,,,,,,,,"   94",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-02","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  133",",,7","   78",",,7",,,,,,,,,"   89",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-03","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  183",",,7","   83",",,7",,,,,,,,,"  111",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-04","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   74",",,7,0630","    0",",,7,0630","    0",",,7,0630","  156",",,7","   89",",,7",,,,,,,,,"  100",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-05","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  150",",,7","   67",",,7",,,,,,,,,"   72",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-06-06","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  144",",,7","   50",",,7",,,,,,,,,"   67",",,7,0630",,,,,,,,,,,,,,
