"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00004787","2018-07-16","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   15",",,W,2400","    0",",,W","    0",",,W","  306",",,W","  206",",,W","   21",",,W",,,,,,,,,,,,,"  210",",,W",,,"   40",",,W",,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-17","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   94",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  150",",,W","   37",",,W",,,,,,,,,,,,,"  320",",,W","  330",",,W","   81",",,W","  116",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-18","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400",,,,,"  244",",,W","  122",",,W","   24",",,W",,,,,,,,,,,,,"  310",",,W","  310",",,W","   54",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-19","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400",,,,,"  261",",,W","  111",",,W","   20",",,W",,,,,,,,,,,,,"  220",",,W","  260",",,W","   40",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-20","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400",,,,,"  272",",,W","  150",",,W","   41",",,W",,,,,,,,,,,,,"  130",",,W","  110",",,W","   81",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-21","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   23",",,W,2400",,,,,"  233",",,W","  144",",,W","   48",",,W",,,,,,,,,,,,,"  110",",,W","  120",",,W","   81",",,W","  125",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-22","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  277",",,W,2400","    0",",,W","    0",",,W","  222",",,W","  139",",,W","   32",",,W",,,,,,,,,,,,,"  130",",,W","  130",",,W","   67",",,W","   98",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-23","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  244",",,W","  183",",,W","   38",",,W",,,,,,,,,,,,,"  120",",,W","  130",",,W","   72",",,W","  103",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-24","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   10",",,W,2400","    0",",,W","    0",",,W","  244",",,W","  200",",,W","   35",",,W",,,,,,,,,,,,,"  130",",,W","  140",",,W","   58",",,W","   85",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-25","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  140",",,W,2400","    0",",,W","    0",",,W","  267",",,W","  172",",,W","   14",",,W",,,,,,,,,,,,,"  330",",,W","  330",",,W","   72",",,W","   89",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00004787","2018-07-26","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  261",",,W","  161",",,W","   30",",,W",,,,,,,,,,,,,"  220",",,W","  240",",,W","   72",",,W","   98",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-27","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  198",",,W,2400",,,,,"  244",",,W","  161",",,W","   18",",,W",,,,,,,,,,,,,"  340",",,W","  340",",,W","   72",",,W","   94",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-28","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400",,,,,"  233",",,W","  133",",,W","   24",",,W",,,,,,,,,,,,,"  270",",,W","  260",",,W","   76",",,W","   89",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-29","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  244",",,W","  122",",,W","   11",",,W",,,,,,,,,,,,,"  250",",,W","  260",",,W","   40",",,W","   54",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-30","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   33",",,W,2400","    0",",,W","    0",",,W","  211",",,W","  144",",,W","   27",",,W",,,,,,,,,,,,,"  130",",,W","  120",",,W","   54",",,W","   67",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-07-31","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   13",",,W,2400","    0",",,W","    0",",,W","  217",",,W","  156",",,W","   31",",,W",,,,,,,,,,,,,"  110",",,W","  110",",,W","   72",",,W","  103",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-01","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  178",",,W,2400","    0",",,W","    0",",,W","  256",",,W","  183",",,W","   27",",,W",,,,,,,,,,,,,"  220",",,W","  230",",,W","   58",",,W","   85",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-02","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  244",",,W","  178",",,W","   13",",,W",,,,,,,,,,,,,"  160",",,W","  140",",,W","   36",",,W","   54",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00004787","2018-08-03","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   23",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  178",",,W","    5",",,W",,,,,,,,,,,,,"  260",",,W","  120",",,W","   27",",,W","   36",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-04","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  167",",,W","   16",",,W",,,,,,,,,,,,,"  240",",,W","  240",",,W","   54",",,W","   67",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-05","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   23",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  167",",,W","   20",",,W",,,,,,,,,,,,,"  250",",,W","  250",",,W","   89",",,W","  116",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00004787","2018-08-06","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  294",",,W","  178",",,W","   19",",,W",,,,,,,,,,,,,"  240",",,W","  220",",,W","   67",",,W","   89",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-07","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0","T,,W,2400","    0",",,W","    0",",,W","  283",",,W","  200",",,W","   27",",,W",,,,,,,,,,,,,"  260",",,W","  260",",,W","   63",",,W","   89",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-08","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   30",",,W,2400","    0",",,W","    0",",,W","  256",",,W","  183",",,W","   33",",,W",,,,,,,,,,,,,"  240",",,W","  210",",,W","   58",",,W","   81",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-09","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  267",",,W","  178",",,W","   26",",,W",,,,,,,,,,,,,"  270",",,W","  290",",,W","   63",",,W","   81",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-10","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    5",",,W,2400",,,,,"  272",",,W","  161",",,W","   17",",,W",,,,,,,,,,,,,"  230",",,W","  210",",,W","   54",",,W","   72",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-11","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  157",",,W,2400",,,,,"  261",",,W","  167",",,W","   28",",,W",,,,,,,,,,,,,"   20",",,W","   20",",,W","   89",",,W","  107",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-12","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  267",",,W","  139",",,W","   19",",,W",,,,,,,,,,,,,"   90",",,W","   20",",,W","   40",",,W","   63",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-13","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   61",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  167",",,W","   19",",,W",,,,,,,,,,,,,"   30",",,W","   30",",,W","   67",",,W","   76",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00004787","2018-08-14","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   43",",,W,2400","    0",",,W","    0",",,W","  228",",,W","  167",",,W","   29",",,W",,,,,,,,,,,,,"  240",",,W","  240",",,W","   54",",,W","   67",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-15","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  150",",,W","   22",",,W",,,,,,,,,,,,,"  250",",,W","  240",",,W","   63",",,W","   81",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00004787","2018-08-16","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   36",",,W,2400","    0",",,W","    0",",,W","  272",",,W","  172",",,W","   18",",,W",,,,,,,,,,,,,"  260",",,W","  270",",,W","   81",",,W","  116",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00004787","2018-08-17","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  107",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  189",",,W","   31",",,W",,,,,,,,,,,,,"  240",",,W","  250",",,W","   81",",,W","  107",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-18","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   10",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  144",",,W","   39",",,W",,,,,,,,,,,,,"  350",",,W","  350",",,W","   81",",,W","  107",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-19","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  233",",,W","  133",",,W","   17",",,W",,,,,,,,,,,,,"   60",",,W","   60",",,W","   54",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-20","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  228",",,W","  172",",,W","   35",",,W",,,,,,,,,,,,,"  110",",,W","  130",",,W","   63",",,W","   85",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-21","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  564",",,W,2400","    0",",,W","    0",",,W","  233",",,W","  189",",,W","   40",",,W",,,,,,,,,,,,,"  230",",,W","  130",",,W","   72",",,W","   94",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-22","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    5",",,W,2400","    0",",,W","    0",",,W","  228",",,W","  122",",,W","   48",",,W",,,,,,,,,,,,,"  280",",,W","  280",",,W","  107",",,W","  157",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00004787","2018-08-23","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400",,,,,"  228",",,W","   94",",,W","   30",",,W",,,,,,,,,,,,,"  300",",,W","  290",",,W","   72",",,W","  103",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-24","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400",,,,,"  244",",,W","   94",",,W","   21",",,W",,,,,,,,,,,,,"  160",",,W","  120",",,W","   45",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-25","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  244",",,W","  144",",,W","   26",",,W",,,,,,,,,,,,,"  220",",,W","  210",",,W","   58",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-26","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   10",",,W,2400","    0",",,W","    0",",,W","  239",",,W","  172",",,W","   28",",,W",,,,,,,,,,,,,"  260",",,W","  230",",,W","   54",",,W","   67",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00004787","2018-08-27","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    3",",,W,2400","    0",",,W","    0",",,W","  289",",,W","  217",",,W","   26",",,W",,,,,,,,,,,,,"  230",",,W","  220",",,W","   54",",,W","   76",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00004787","2018-08-28","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  206",",,W","   38",",,W",,,,,,,,,,,,,"  240",",,W","  250",",,W","   89",",,W","  112",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-29","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  160",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  189",",,W","   41",",,W",,,,,,,,,,,,,"  310",",,W","  340",",,W","  112",",,W","  157",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-30","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  256",",,W","  183",",,W","   23",",,W",,,,,,,,,,,,,"  340",",,W","  270",",,W","   45",",,W","   58",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-08-31","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  272",",,W","  161",",,W","   26",",,W",,,,,,,,,,,,,"  140",",,W","  120",",,W","   54",",,W","   81",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-01","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  104",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  189",",,W","   29",",,W",,,,,,,,,,,,,"  130",",,W","  130",",,W","   54",",,W","   76",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-02","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  283",",,W","  200",",,W","   20",",,W",,,,,,,,,,,,,"  250",",,W","  250",",,W","   58",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-03","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  112",",,W,2400","    0",",,W","    0",",,W","  294",",,W","  183",",,W","   18",",,W",,,,,,,,,,,,,"   10",",,W","   20",",,W","   76",",,W","   94",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-04","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  172",",,W","    9",",,W",,,,,,,,,,,,,"  210",",,W","  230",",,W","   36",",,W","   49",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-05","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  189",",,W","   21",",,W",,,,,,,,,,,,,"  230",",,W","  230",",,W","   67",",,W","   81",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-06","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  216",",,W,2400","    0",",,W","    0",",,W","  272",",,W","  194",",,W","   20",",,W",,,,,,,,,,,,,"  290",",,W","  280",",,W","  103",",,W","  143",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00004787","2018-09-07","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  183",",,W","   24",",,W",,,,,,,,,,,,,"   40",",,W","   40",",,W","   45",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-08","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  147",",,W,2400","    0",",,W","    0",",,W","  183",",,W","  117",",,W","   35",",,W",,,,,,,,,,,,,"   70",",,W","  100",",,W","   58",",,W","   81",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-09","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  483",",,W,2400","    0",",,W","    0",",,W","  117",",,W","  100",",,W","   55",",,W",,,,,,,,,,,,,"  100",",,W","   90",",,W","   81",",,W","  125",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-10","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","  378",",,W,2400","    0",",,W","    0",",,W","  150",",,W","  111",",,W","   52",",,W",,,,,,,,,,,,,"  120",",,W","  100",",,W","   94",",,W","  134",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-11","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  189",",,W","  133",",,W","   16",",,W",,,,,,,,,,,,,"  230",",,W","  230",",,W","   45",",,W","   67",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-12","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400",,,,,"  222",",,W","  161",",,W","   24",",,W",,,,,,,,,,,,,"  100",",,W","  100",",,W","   54",",,W","   67",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-13","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","   10",",,W,2400","    0",",,W","    0",",,W","  267",",,W","  189",",,W","   30",",,W",,,,,,,,,,,,,"  130",",,W","  130",",,W","   45",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-14","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400","    0",",,W","    0",",,W","  244",",,W","  189",",,W","   30",",,W",,,,,,,,,,,,,"  120",",,W","  130",",,W","   58",",,W","   76",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004787","2018-09-15","41.17947","-78.89326","550.2","DUBOIS JEFFERSON CO AIRPORT, PA US","    0",",,W,2400",,,,,"  244",",,W","  172",",,W","   22",",,W",,,,,,,,,,,,,"  110",",,W","  110",",,W","   54",",,W","   67",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
