"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","SN01","SN01_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN03","SN03_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN33","SN33_ATTRIBUTES","SN51","SN51_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SN53","SN53_ATTRIBUTES","SX01","SX01_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX03","SX03_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX33","SX33_ATTRIBUTES","SX51","SX51_ATTRIBUTES","SX52","SX52_ATTRIBUTES","SX53","SX53_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00130200","2018-05-27","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  361",",,7","  189",",,7",,,,,"   74",",,7,1600",,,,,,,,,,,,,"  361",",,7,1600",,,,,,,,,,,"  183",",,7","  211",",,7","  239",",,7",,,,,,,,,,,,,"  406",",,7","  300",",,7","  261",",,7",,,,,,,,,,
"USC00130200","2018-05-28","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  361",",,7","  222",",,7",,,,,"  112",",,7,1600",,,,,,,,,,,,,"  294",",,7,1600",,,,,,,,,,,"  206",",,7","  239",",,7","  244",",,7",,,,,,,,,,,,,"  389",",,7","  317",",,7","  272",",,7",,,,,,,,,,
"USC00130200","2018-05-29","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  339",",,7","  200",",,7",,,,,"   79",",,7,1600",,,,,,,,,,,,,"  333",",,7,1600",,,,,,,,,,,"  194",",,7","  228",",,7","  239",",,7",,,,,,,,,,,,,"  394",",,7","  311",",,7","  267",",,7",,,,,,,,,,
"USC00130200","2018-05-30","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","  104",",,7,1600","    0",",,7,1600","    0",",,7,1600","  339",",,7","  178",",,7",,,,,"   86",",,7,1600",,,,,,,,,,,,,"  267",",,7,1600",,,,,,,,,,,"  178",",,7","  211",",,7","  239",",,7",,,,,,,,,,,,,"  389",",,7","  311",",,7","  267",",,7",,,,,,,,,,
"USC00130200","2018-05-31","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","  183",",,7",,,,,"   71",",,7,1600",,,,,,,,,,,,,"  317",",,7,1600",,,,,,,,,,,"  172",",,7","  211",",,7","  228",",,7",,,,,,,,,,,,,"  389",",,7","  289",",,7","  239",",,7",,,,,,,,,,
"USC00130200","2018-06-01","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  333",",,7","  194",",,7",,,,,"  102",",,7,1600",,,,,,,,,,,,,"  328",",,7,1600",,,,,,,,,,,"  183",",,7","  222",",,7","  239",",,7",,,,,,,,,,,,,"  417",",,7","  289",",,7","  256",",,7",,,,,,,,,,
"USC00130200","2018-06-02","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","  196",",,7,1600","    0",",,7,1600","    0",",,7,1600","  339",",,7","  167",",,7",,,,,"  124",",,7,1600",,,,,,,,,,,,,"  239",",,7,1600",,,,,,,,,,,"  178",",,7","  217",",,7","  239",",,7",,,,,,,,,,,,,"  389",",,7","  306",",,7","  272",",,7",,,,,,,,,,
"USC00130200","2018-06-03","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  256",",,7","  128",",,7",,,,,"  119",",,7,1600",,,,,,,,,,,,,"  250",",,7,1600",,,,,,,,,,,"  128",",,7","  167",",,7","  211",",,7",,,,,,,,,,,,,"  289",",,7","  256",",,7","  244",",,7",,,,,,,,,,
"USC00130200","2018-06-04","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  283",",,7","  117",",,7",,,,,"   91",",,7,1600",,,,,,,,,,,,,"  278",",,7,1600",,,,,,,,,,,"  117",",,7","  167",",,7","  206",",,7",,,,,,,,,,,,,"  317",",,7","  250",",,7","  228",",,7",,,,,,,,,,
"USC00130200","2018-06-05","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  311",",,7","  144",",,7",,,,,"   97",",,7,1600",,,,,,,,,,,,,"  311",",,7,1600",,,,,,,,,,,"  156",",,7","  194",",,7","  217",",,7",,,,,,,,,,,,,"  344",",,7","  267",",,7","  228",",,7",,,,,,,,,,
"USC00130200","2018-06-06","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","  189",",,7",,,,,"   38",",,7,1600",,,,,,,,,,,,,"  311",",,7,1600",,,,,,,,,,,"  189",",,7","  217",",,7","  228",",,7",,,,,,,,,,,,,"  356",",,7","  283",",,7","  244",",,7",,,,,,,,,,
"USC00130200","2018-06-07","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","  246",",,7,1600","    0",",,7,1600","    0",",,7,1600","  311",",,7","  172",",,7",,,,,"  196",",,7,1600",,,,,,,,,,,,,"  278",",,7,1600",,,,,,,,,,,"  172",",,7","  200",",,7","  222",",,7",,,,,,,,,,,,,"  317",",,7","  278",",,7","  239",",,7",,,,,,,,,,
"USC00130200","2018-06-08","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0","T,,7,1600","    0",",,7,1600","    0",",,7,1600","  289",",,7","  200",",,7",,,,,"   41",",,7,1600",,,,,,,,,,,,,"  289",",,7,1600",,,,,,,,,,,"  194",",,7","  222",",,7","  228",",,7",,,,,,,,,,,,,"  322",",,7","  267",",,7","  239",",,7",,,,,,,,,,
"USC00130200","2018-06-09","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  311",",,7","  211",",,7",,,,,"   84",",,7,1600",,,,,,,,,,,,,"  300",",,7,1600",,,,,,,,,,,"  200",",,7","  233",",,7","  233",",,7",,,,,,,,,,,,,"  361",",,7","  272",",,7","  256",",,7",,,,,,,,,,
"USC00130200","2018-06-10","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","   48",",,7,1600","    0",",,7,1600","    0",",,7,1600","  306",",,7","  189",",,7",,,,,"   43",",,7,1600",,,,,,,,,,,,,"  239",",,7,1600",,,,,,,,,,,"  200",",,7","  222",",,7","  233",",,7",,,,,,,,,,,,,"  344",",,7","  294",",,7","  261",",,7",,,,,,,,,,
"USC00130200","2018-06-11","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","   69",",,7,1600","    0",",,7,1600","    0",",,7,1600","  239",",,7","  172",",,7",,,,,"   30",",,7,1600",,,,,,,,,,,,,"  239",",,7,1600",,,,,,,,,,,"  172",",,7","  206",",,7","  217",",,7",,,,,,,,,,,,,"  239",",,7","  244",",,7","  233",",,7",,,,,,,,,,
"USC00130200","2018-06-12","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","  191",",,7,1600","    0",",,7,1600","    0",",,7,1600","  278",",,7","  183",",,7",,,,,"  102",",,7,1600",,,,,,,,,,,,,"  272",",,7,1600",,,,,,,,,,,"  178",",,7","  211",",,7","  211",",,7",,,,,,,,,,,,,"  322",",,7","  239",",,7","  228",",,7",,,,,,,,,,
"USC00130200","2018-06-13","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  283",",,7","  150",",,7",,,,,"   48",",,7,1600",,,,,,,,,,,,,"  256",",,7,1600",,,,,,,,,,,"  150",",,7","  211",",,7","  222",",,7",,,,,,,,,,,,,"  367",",,7","  272",",,7","  239",",,7",,,,,,,,,,
"USC00130200","2018-06-14","42.0208","-93.7741","335.0","AMES 8 WSW, IA US"," 1074",",,7,1600","    0",",,7,1600","    0",",,7,1600","  267",",,7","  150",",,7",,,,,"    0",",,7,1600",,,,,,,,,,,,,"  233",",,7,1600",,,,,,,,,,,"  144",",,7","  194",",,7","  222",",,7",,,,,,,,,,,,,"  367",",,7","  289",",,7","  261",",,7",,,,,,,,,,
"USC00130200","2018-06-15","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","  194",",,7",,,,,"   71",",,7,1600",,,,,,,,,,,,,"  317",",,7,1600",,,,,,,,,,,"  178",",,7","  217",",,7","  211",",,7",,,,,,,,,,,,,"  322",",,7","  244",",,7","  228",",,7",,,,,,,,,,
"USC00130200","2018-06-16","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  317",",,7","  217",",,7",,,,,"   91",",,7,1600",,,,,,,,,,,,,"  317",",,7,1600",,,,,,,,,,,,,"  228",",,7","  211",",,7",,,,,,,,,,,,,"  272",",,7","  244",",,7",,,,,,,,,,,,
"USC00130200","2018-06-17","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  228",",,7",,,,,"  140",",,7,1600",,,,,,,,,,,,,"  311",",,7,1600",,,,,,,,,,,"  206",",,7","  233",",,7","  233",",,7",,,,,,,,,,,,,"  328",",,7","  306",",,7","  289",",,7",,,,,,,,,,
"USC00130200","2018-06-18","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  233",",,7",,,,,"   43",",,7,1600",,,,,,,,,,,,,"  328",",,7,1600",,,,,,,,,,,"  211",",,7","  244",",,7","  267",",I,7",,,,,,,,,,,,,"  350",",,7","  289",",,7","  283",",,7",,,,,,,,,,
"USC00130200","2018-06-19","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","  533",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  200",",,7",,,,,"    0",",,7,1600",,,,,,,,,,,,,"  244",",,7,1600",,,,,,,,,,,"  200",",,7","  239",",,7","  233",",,7",,,,,,,,,,,,,"  339",",,7","  289",",,7","  256",",I,7",,,,,,,,,,
"USC00130200","2018-06-20","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","   71",",,7,1600","    0",",,7,1600","    0",",,7,1600","  261",",,7","  194",",,7",,,,,"   51",",,7,1600",,,,,,,,,,,,,"  228",",,7,1600",,,,,,,,,,,"  200",",,7","  228",",,7","  233",",,7",,,,,,,,,,,,,"  300",",,7","  267",",,7","  239",",,7",,,,,,,,,,
"USC00130200","2018-06-21","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","   81",",,7,1600","    0",",,7,1600","    0",",,7,1600","  239",",,7","  172",",,7",,,,,"   64",",,7,1600",,,,,,,,,,,,,"  200",",,7,1600",,,,,,,,,,,"  178",",,7","  211",",,7","  228",",,7",,,,,,,,,,,,,"  311",",,7","  250",",,7","  244",",,7",,,,,,,,,,
"USC00130200","2018-06-22","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    3",",,7,1600","    0",",,7,1600","    0",",,7,1600","  222",",,7","  144",",,7",,,,,"   23",",,7,1600",,,,,,,,,,,,,"  211",",,7,1600",,,,,,,,,,,"  156",",,7","  189",",,7","  211",",,7",,,,,,,,,,,,,"  250",",,7","  250",",,7","  239",",,7",,,,,,,,,,
"USC00130200","2018-06-23","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  256",",,7","  150",",,7",,,,,"   53",",,7,1600",,,,,,,,,,,,,"  250",",,7,1600",,,,,,,,,,,"  150",",,7","  200",",,7","  189",",,7",,,,,,,,,,,,,"  328",",,7","  256",",,7","  228",",,7",,,,,,,,,,
"USC00130200","2018-06-24","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    5",",,7,1600","    0",",,7,1600","    0",",,7,1600","  256",",,7","  172",",,7",,,,,"   36",",,7,1600",,,,,,,,,,,,,"  256",",,7,1600",,,,,,,,,,,"  167",",,7","  206",",,7","  178",",,7",,,,,,,,,,,,,"  294",",,7","  261",",,7","  228",",,7",,,,,,,,,,
"USC00130200","2018-06-25","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","   15",",,7,1600","    0",",,7,1600","    0",",,7,1600","  261",",,7","  178",",,7",,,,,"   48",",,7,1600",,,,,,,,,,,,,"  222",",,7,1600",,,,,,,,,,,"  178",",,7","  211",",,7","  178",",,7",,,,,,,,,,,,,"  289",",,7","  278",",,7","  228",",,7",,,,,,,,,,
"USC00130200","2018-06-26","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","  284",",,7,1600","    0",",,7,1600","    0",",,7,1600","  233",",,7","  161",",,7",,,,,"   51",",,7,1600",,,,,,,,,,,,,"  233",",,7,1600",,,,,,,,,,,"  156",",,7","  189",",,7","  211",",,7",,,,,,,,,,,,,"  267",",,7","  217",",,7","  222",",,7",,,,,,,,,,
"USC00130200","2018-06-27","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    3",",,7,1600","    0",",,7,1600","    0",",,7,1600","  272",",,7","  172",",,7",,,,,"   38",",,7,1600",,,,,,,,,,,,,"  267",",,7,1600",,,,,,,,,,,"  167",",,7","  194",",,7","  211",",,7",,,,,,,,,,,,,"  328",",,7","  239",",,7","  228",",,7",,,,,,,,,,
"USC00130200","2018-06-28","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  283",",,7","  194",",,7",,,,,"   43",",,7,1600",,,,,,,,,,,,,"  278",",,7,1600",,,,,,,,,,,"  183",",,7","  217",",,7","  228",",,7",,,,,,,,,,,,,"  322",",,7","  256",",,7","  239",",,7",,,,,,,,,,
"USC00130200","2018-06-29","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","  211",",,7",,,,,"   76",",,7,1600",,,,,,,,,,,,,"  322",",,7,1600",,,,,,,,,,,"  189",",,7","  244",",,7","  239",",,7",,,,,,,,,,,,,"  322",",,7","  250",",,7","  250",",,7",,,,,,,,,,
"USC00130200","2018-06-30","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  233",",,7",,,,,"   66",",,7,1600",,,,,,,,,,,,,"  311",",,7,1600",,,,,,,,,,,"  211",",,7","  239",",,7","  233",",,7",,,,,,,,,,,,,"  350",",,7","  278",",,7","  256",",,7",,,,,,,,,,
"USC00130200","2018-07-01","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","  495",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  200",",,7",,,,,"  140",",,7,1600",,,,,,,,,,,,,"  267",",,7,1600",,,,,,,,,,,"  200",",,7","  228",",,7","  233",",,7",,,,,,,,,,,,,"  328",",,7","  256",",,7","  261",",,7",,,,,,,,,,
"USC00130200","2018-07-02","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  161",",,7",,,,,"   33",",,7,1600",,,,,,,,,,,,,"  278",",,7,1600",,,,,,,,,,,"  167",",,7","  200",",,7","  233",",,7",,,,,,,,,,,,,"  317",",,7","  261",",,7","  250",",,7",,,,,,,,,,
"USC00130200","2018-07-03","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  317",",,7","  183",",,7",,,,,"   76",",,7,1600",,,,,,,,,,,,,"  311",",,7,1600",,,,,,,,,,,"  178",",,7","  211",",,7","  222",",,7",,,,,,,,,,,,,"  328",",,7","  278",",,7","  250",",,7",,,,,,,,,,
"USC00130200","2018-07-04","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  228",",,7",,,,,"   89",",,7,1600",,,,,,,,,,,,,"  261",",,7,1600",,,,,,,,,,,"  211",",,7","  239",",,7","  222",",,7",,,,,,,,,,,,,"  350",",,7","  294",",,7","  256",",,7",,,,,,,,,,
"USC00130200","2018-07-05","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","  434",",,7,1600","    0",",,7,1600","    0",",,7,1600","  278",",,7","  200",",,7",,,,,"  160",",,7,1600",,,,,,,,,,,,,"  278",",,7,1600",,,,,,,,,,,"  200",",,7","  239",",,7","  244",",,7",,,,,,,,,,,,,"  300",",,7","  289",",,7","  272",",,7",,,,,,,,,,
"USC00130200","2018-07-06","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  278",",,7","  161",",,7",,,,,"   43",",,7,1600",,,,,,,,,,,,,"  267",",,7,1600",,,,,,,,,,,"  161",",,7","  200",",,7","  172",",,7",,,,,,,,,,,,,"  328",",,7","  289",",,7","  256",",,7",,,,,,,,,,
"USC00130200","2018-07-07","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  267",",,7","  161",",,7",,,,,"   97",",,7,1600",,,,,,,,,,,,,"  261",",,7,1600",,,,,,,,,,,"  161",",,7","  211",",,7","  217",",,7",,,,,,,,,,,,,"  328",",,7","  306",",,7","  261",",,7",,,,,,,,,,
"USC00130200","2018-07-08","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  283",",,7","  156",",,7",,,,,"   81",",,7,1600",,,,,,,,,,,,,"  283",",,7,1600",,,,,,,,,,,"  156",",,7","  194",",,7","  228",",,7",,,,,,,,,,,,,"  322",",,7","  294",",,7","  256",",,7",,,,,,,,,,
"USC00130200","2018-07-09","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  317",",,7","  167",",,7",,,,,"   94",",,7,1600",,,,,,,,,,,,,"  317",",,7,1600",,,,,,,,,,,"  156",",,7","  200",",,7","  217",",,7",,,,,,,,,,,,,"  333",",,7","  294",",,7","  256",",,7",,,,,,,,,,
"USC00130200","2018-07-10","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","  222",",,7",,,,,"   81",",,7,1600",,,,,,,,,,,,,"  300",",,7,1600",,,,,,,,,,,"  211",",,7","  239",",,7","  211",",,7",,,,,,,,,,,,,"  328",",,7","  356",",,7","  283",",,7",,,,,,,,,,
"USC00130200","2018-07-11","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  206",",,7",,,,,"   64",",,7,1600",,,,,,,,,,,,,"  322",",,7,1600",,,,,,,,,,,"  200",",,7","  233",",,7","  244",",,7",,,,,,,,,,,,,"  356",",,7","  317",",,7","  267",",,7",,,,,,,,,,
"USC00130200","2018-07-12","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  333",",,7","  217",",,7",,,,,"   86",",,7,1600",,,,,,,,,,,,,"  333",",,7,1600",,,,,,,,,,,"  189",",,7","  228",",,7","  233",",,7",,,,,,,,,,,,,"  350",",,7","  322",",,7","  278",",,7",,,,,,,,,,
"USC00130200","2018-07-13","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","   23",",,7,1600","    0",",,7,1600","    0",",,7,1600","  339",",,7","  228",",,7",,,,,"   79",",,7,1600",,,,,,,,,,,,,"  228",",,7,1600",,,,,,,,,,,"  194",",,7","  228",",,7","  244",",,7",,,,,,,,,,,,,"  361",",,7","  322",",,7","  278",",,7",,,,,,,,,,
"USC00130200","2018-07-14","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","   15",",,7,1600","    0",",,7,1600","    0",",,7,1600","  278",",,7","  217",",,7",,,,,"   20",",,7,1600",,,,,,,,,,,,,"  267",",,7,1600",,,,,,,,,,,"  217",",,7","  239",",,7","  256",",,7",,,,,,,,,,,,,"  344",",,7","  294",",,7","  272",",,7",,,,,,,,,,
"USC00130200","2018-07-15","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  300",",,7","  206",",,7",,,,,"   86",",,7,1600",,,,,,,,,,,,,"  294",",,7,1600",,,,,,,,,,,"  200",",,7","  233",",,7","  256",",,7",,,,,,,,,,,,,"  361",",,7","  283",",,7","  278",",,7",,,,,,,,,,
"USC00130200","2018-07-16","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  300",",,7","  189",",,7",,,,,"   58",",,7,1600",,,,,,,,,,,,,"  272",",,7,1600",,,,,,,,,,,"  194",",,7","  233",",,7","  256",",,7",,,,,,,,,,,,,"  361",",,7","  294",",,7","  278",",,7",,,,,,,,,,
"USC00130200","2018-07-17","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  289",",,7","  183",",,7",,,,,"   38",",,7,1600",,,,,,,,,,,,,"  289",",,7,1600",,,,,,,,,,,"  178",",,7","  217",",,7","  239",",,7",,,,,,,,,,,,,"  378",",,7","  317",",,7","  278",",,7",,,,,,,,,,
