"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES"
"FMC00914325","2018-07-28","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  678",",,7",,,,,"  306",",,7","  189",",,7",,,,,,,"  244",",,7",,
"FMC00914325","2018-07-29","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  244",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-07-30","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  322",",,7","  233",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-07-31","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  173",",,7",,,,,"  322",",,7","  222",",,7",,,,,,,"  283",",,7",,
"FMC00914325","2018-08-01","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  233",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-08-02","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   13",",,7",,,,,"  317",",,7","  244",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-08-03","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   41",",,7",,,,,"  306",",,7","  200",",,7",,,,,,,"  228",",,7",,
"FMC00914325","2018-08-04","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  170",",,7",,,,,"  306",",,7","  206",",,7",,,,,,,"  250",",,7",,
"FMC00914325","2018-08-05","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    3",",,7",,,,,"  311",",,7","  239",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-08-06","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   10",",,7",,,,,"  300",",,7","  228",",,7",,,,,,,"  244",",,7",,
"FMC00914325","2018-08-07","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   61",",,7",,,,,"  294",",,7","  183",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-08-08","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   51",",,7",,,,,"  294",",,7","  200",",,7",,,,,,,"  233",",,7",,
"FMC00914325","2018-08-09","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   43",",,7",,,,,"  294",",,7","  211",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-08-10","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    5",",,7",,,,,"  300",",,7","  183",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-08-11","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    8",",,7",,,,,"  306",",,7","  217",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-08-12","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  306",",,7","  222",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-08-13","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    8",",,7",,,,,"  300",",,7","  211",",,7",,,,,,,"  250",",,7",,
"FMC00914325","2018-08-14","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   18",",,7",,,,,"  294",",,7","  178",",,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-08-15","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  257",",,7",,,,,"  300",",,7","  211",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-08-16","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  163",",,7",,,,,"  294",",,7","  211",",,7",,,,,,,"  233",",,7",,
"FMC00914325","2018-08-17","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   10",",,7",,,,,"  311",",,7","  233",",,7",,,,,,,"  272",",,7",,
"FMC00914325","2018-08-18","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  311",",,7","  239",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-08-19","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  322",",,7","  228",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-08-20","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   99",",,7",,,,,"  322",",,7","  217",",,7",,,,,,,"  272",",,7",,
"FMC00914325","2018-08-21","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   79",",,7",,,,,"  322",",,7","  211",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-08-22","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   46",",,7",,,,,"  306",",,7","  217",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-08-23","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   46",",,7",,,,,"  306",",,7","  228",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-08-24","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    3",",,7",,,,,"  322",",,7","  233",",,7",,,,,,,"  283",",,7",,
"FMC00914325","2018-08-25","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  239",",,7",,,,,,,"  272",",,7",,
"FMC00914325","2018-08-26","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  306",",,7","  250",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-08-27","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  311",",,7","  233",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-08-28","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   64",",,7",,,,,"  311",",,7","  222",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-08-29","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  109",",,7",,,,,"  294",",,7","  211",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-08-30","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    5",",,7",,,,,"  311",",,7","  228",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-08-31","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   81",",,7",,,,,"  311",",,7","  211",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-09-01","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  163",",,7",,,,,"  294",",,7","  211",",,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-09-02","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  300",",,7","  239",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-09-03","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  384",",,7",,,,,"  294",",,7","  217",",,7",,,,,,,"  244",",,7",,
"FMC00914325","2018-09-04","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  264",",,7",,,,,"  300",",,7","  211",",,7",,,,,,,"  250",",,7",,
"FMC00914325","2018-09-05","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  306",",,7","  250",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-09-06","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   38",",,7",,,,,"  294",",,7","  217",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-09-07","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  130",",,7",,,,,"  294",",,7","  211",",,7",,,,,,,"  250",",,7",,
"FMC00914325","2018-09-08","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  175",",,7",,,,,"  272",",,7","  194",",,7",,,,,,,"  222",",,7",,
"FMC00914325","2018-09-09","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   53",",,7",,,,,"  300",",,7","  211",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-09-10","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   64",",,7",,,,,"  300",",,7","  222",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-09-11","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    8",",,7",,,,,"  311",",,7","  233",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-09-12","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   89",",,7",,,,,"  306",",,7","  211",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-09-13","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    5",",,7",,,,,"  311",",,7","  233",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-09-14","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  244",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-09-15","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   18",",,7",,,,,"  306",",,7","  233",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-09-16","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  419",",,7",,,,,"  294",",,7","  206",",,7",,,,,,,"  228",",,7",,
"FMC00914325","2018-09-17","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    5",",,7",,,,,"  294",",,7","  217",",,7",,,,,,,"  250",",,7",,
"FMC00914325","2018-09-18","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  493",",,7",,,,,"  306",",,7","  211",",,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-09-19","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  333",",,7","  228",",,7",,,,,,,"  306",",,7",,
"FMC00914325","2018-09-20","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   10",",,7",,,,,"  322",",,7","  233",",,7",,,,,,,"  272",",,7",,
"FMC00914325","2018-09-21","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   43",",,7",,,,,"  322",",,7","  211",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-09-22","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    8",",,7",,,,,"  294",",,7","  228",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-09-23","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  300",",,7","  211",",,7",,,,,,,"  250",",,7",,
"FMC00914325","2018-09-24","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    3",",,7",,,,,"  300",",,7","  211",",,7",,,,,,,"  294",",,7",,
"FMC00914325","2018-09-25","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  300",",,7",,,,,"  294",",,7","  183",",,7",,,,,,,"  233",",,7",,
"FMC00914325","2018-09-26","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   94",",,7",,,,,"  289",",,7","  178",",,7",,,,,,,"  228",",,7",,
"FMC00914325","2018-09-27","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  262",",,7",,,,,"  289",",,7","  211",",,7",,,,,,,"  233",",,7",,
"FMC00914325","2018-09-28","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  191",",,7",,,,,"  294",",,7","  206",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-09-29","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    3",",,7",,,,,"  300",",,7","  228",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-09-30","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  306",",,7","  244",",,7",,,,,,,"  272",",,7",,
"FMC00914325","2018-10-01","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   15",",,7",,,,,"  306",",,7","  233",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-10-02","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   30",",,7",,,,,"  317",",,7","  233",",,7",,,,,,,"  272",",,7",,
"FMC00914325","2018-10-03","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  306",",,7","  233",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-10-04","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   48",",,7",,,,,"  317",",,7","  217",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-10-05","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    3",",,7",,,,,"  306",",,7","  233",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-10-06","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  104",",,7",,,,,"  311",",,7","  217",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-10-07","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  958",",,7",,,,,"  317",",,7","  211",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-10-08","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  114",",,7",,,,,"  306",",,7","  211",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-10-09","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  322",",,7","  239",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-10-10","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  239",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-10-11","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   13",",,7",,,,,"  317",",,7","  233",",,7",,,,,,,"  283",",,7",,
"FMC00914325","2018-10-12","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   13",",,7",,,,,"  322",",,7","  228",",,7",,,,,,,"  289",",,7",,
"FMC00914325","2018-10-13","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  322",",,7","  233",",,7",,,,,,,"  311",",,7",,
"FMC00914325","2018-10-14","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  322",",,7","  244",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-10-15","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  305",",,7",,,,,"  306",",,7","  211",",,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-10-16","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  233",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-10-17","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   10",",,7",,,,,"  311",",,7","  228",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-10-18","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   13",",,7",,,,,"  311",",,7","  211",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-10-19","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  306",",,7","  233",",,7",,,,,,,,,,
"FMC00914325","2018-10-20","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  218",",,7",,,,,"  300",",,7","  200",",,7",,,,,,,"  244",",,7",,
"FMC00914325","2018-10-21","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  244",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-10-22","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  686",",,7",,,,,"  294",",,7","  222",",,7",,,,,,,"  244",",,7",,
"FMC00914325","2018-10-23","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   86",",,7",,,,,"  317",",,7","  228",",,7",,,,,,,"  272",",,7",,
"FMC00914325","2018-10-24","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  264",",,7",,,,,"  294",",,7","  211",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-10-25","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  330",",,7",,,,,"  294",",,7","  211",",,7",,,,,,,"  244",",,7",,
"FMC00914325","2018-10-26","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   84",",,7",,,,,"  294",",,7","  211",",,7",,,,,,,"  250",",,7",,
"FMC00914325","2018-10-27","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    3",",,7",,,,,"  306",",,7","  211",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-10-28","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  250",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-10-29","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  322",",,7","  233",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-10-30","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  328",",,7","  239",",,7",,,,,,,"  294",",,7",,
"FMC00914325","2018-10-31","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  328",",,7","  239",",,7",,,,,,,"  294",",,7",,
"FMC00914325","2018-11-01","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  635",",,7",,,,,"  328",",,7","  211",",,7",,,,,,,"  294",",,7",,
"FMC00914325","2018-11-02","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   13",",,7",,,,,"  328",",,7","  250",",,7",,,,,,,"  283",",,7",,
"FMC00914325","2018-11-03","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  102",",,7",,,,,"  328",",,7","  211",",,7",,,,,,,"  283",",,7",,
"FMC00914325","2018-11-04","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  217",",,7",,,,,,,"  272",",,7",,
"FMC00914325","2018-11-06","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   30",",,7",,,,,"  311",",,7","  239",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-11-07","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  157",",,7",,,,,"  294",",,7","  211",",,7",,,,,,,"  294",",,7",,
"FMC00914325","2018-11-08","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  178",",,7",,,,,"  322",",,7","  244",",,7",,,,,,,"  294",",,7",,
"FMC00914325","2018-11-09","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  381",",,7",,,,,"  317",",,7","  250",",,7",,,,,,,"  289",",,7",,
"FMC00914325","2018-11-10","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   36",",,7",,,,,"  317",",,7","  211",",,7",,,,,,,"  294",",,7",,
"FMC00914325","2018-11-11","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   25",",,7",,,,,"  300",",,7","  222",",,7",,,,,,,"  244",",,7",,
"FMC00914325","2018-11-12","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   99",",,7",,,,,"  300",",,7","  156",",O,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-11-13","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  317",",,7","  211",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-11-14","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  109",",,7",,,,,"  322",",,7","  211",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-11-15","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    3",",,7",,,,,"  306",",,7","  239",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-11-16","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    3",",,7",,,,,"  322",",,7","  228",",,7",,,,,,,"  289",",,7",,
"FMC00914325","2018-11-17","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   25",",,7",,,,,"  306",",,7","  222",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-11-18","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  267",",,7",,,,,"  306",",,7","  211",",,7",,,,,,,"  250",",,7",,
"FMC00914325","2018-11-19","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  419",",,7",,,,,"  294",",,7","  178",",,7",,,,,,,"  244",",,7",,
"FMC00914325","2018-11-20","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM"," 1031",",,7",,,,,"  294",",,7","  167",",,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-11-21","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   38",",,7",,,,,"  306",",,7","  167",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-11-22","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  216",",,7",,,,,"  306",",,7","  206",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-11-23","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  762",",,7",,,,,"  300",",,7","  211",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-11-24","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   53",",,7",,,,,"  306",",,7","  211",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-11-25","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  124",",,7",,,,,"  294",",,7","  167",",,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-11-26","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   36",",,7",,,,,"  300",",,7","  206",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-11-27","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  213",",,7",,,,,"  306",",,7","  222",",,7",,,,,,,"  261",",,7",,
"FMC00914325","2018-11-28","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  279",",,7",,,,,"  294",",,7","  167",",,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-11-29","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   25",",,7",,,,,"  306",",,7","  217",",,7",,,,,,,"  256",",,7",,
"FMC00914325","2018-11-30","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  322",",,7","  178",",,7",,,,,,,"  283",",,7",,
"FMC00914325","2018-12-01","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","   10",",,7",,,,,"  306",",,7","  200",",,7",,,,,,,"  239",",,7",,
"FMC00914325","2018-12-02","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  114",",,7",,,,,"  322",",,7","  222",",,7",,,,,,,"  267",",,7",,
"FMC00914325","2018-12-03","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","  114",",,7",,,,,"  322",",,7","  228",",,7",,,,,,,"  294",",,7",,
"FMC00914325","2018-12-04","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  328",",,7","  228",",,7",,,,,,,"  278",",,7",,
"FMC00914325","2018-12-05","1.08333","154.8","2.7","KAPINGAMARANGI, FM FM","    0",",,7",,,,,"  328",",,7","  233",",,7",,,,,,,"  289",",,7",,
