"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00023232","2018-08-03","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  133",",,W",,,,,"   17",",,W",,,,,,,,,,,,,"  225","H,,S",,,,,"  230",",,W","  210",",,W",,,,,,,,,"   45",",,W","   72",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-04","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  367",",,W","  144",",,W",,,,,"   27",",,W",,,,,,,,,,,,,"  254","H,,S",,,,,"  230",",,W","  230",",,W",,,,,,,,,"   98",",,W","  125",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-05","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  328",",,W","  156",",,W",,,,,"   18",",,W",,,,,,,,,,,,,"  229","H,,S",,,,,"  220",",,W","  230",",,W",,,,,,,,,"   54",",,W","   58",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-06","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  339",",,W","  139",",,W",,,,,"   17",",,W",,,,,,,,,,,,,"  236","H,,S",,,,,"  210",",,W","  210",",,W",,,,,,,,,"   45",",,W","   63",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-07","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  317",",,W","  161",",,W",,,,,"   20",",,W",,,,,,,,,,,,,"  234","H,,S",,,,,"  200",",,W","  250",",,W",,,,,,,,,"   40",",,W","   58",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-08","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  333",",,W","  139",",,W",,,,,"   15",",,W",,,,,,,,,,,,,"  222","H,,S",,,,,"  200",",,W","  210",",,W",,,,,,,,,"   36",",,W","   58",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-09","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  378",",,W","  139",",,W",,,,,"   13",",,W",,,,,,,,,,,,,"  247","H,,S",,,,,"  210",",,W","  210",",,W",,,,,,,,,"   36",",,W","   54",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-10","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  378",",,W","  161",",,W",,,,,"   16",",,W",,,,,,,,,,,,,"  266","H,,S",,,,,"  200",",,W","  200",",,W",,,,,,,,,"   45",",,W","   63",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-11","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  361",",,W","  194",",,W",,,,,"   31",",,W",,,,,,,,,,,,,"  270","H,,S",,,,,"  210",",,W","  210",",,W",,,,,,,,,"   72",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023232","2018-08-12","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","    0",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  178",",,W",,,,,"   31",",,W",,,,,,,,,,,,,"  251","H,,S",,,,,"  190",",,W","  190",",,W",,,,,,,,,"   63",",,W","   89",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
