"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00141612","2018-07-17","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  222",",,7",,,,,,,"   58",",,7",,,,,,,,,,,"  239",",,7,0800","   24",",,7"
"USC00141612","2018-07-18","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  200",",,7",,,,,,,"   38",",,7",,,,,,,,,,,"  239",",,7,0800","   29",",,7"
"USC00141612","2018-07-19","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  228",",,7",,,,,,,"   38",",,7",,,,,,,,,,,"  267",",,7,0800","   35",",,7"
"USC00141612","2018-07-20","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  383",",,7","  206",",,7",,,,,,,"   58",",,7",,,,,,,,,,,"  233",",,7,0800","   48",",,7"
"USC00141612","2018-07-21","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  189",",,7",,,,,,,"   48",",,7",,,,,,,,,,,"  244",",,7,0800","   35",",,7"
"USC00141612","2018-07-22","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  183",",,7",,,,,,,"   94",",,7",,,,,,,,,,,"  211",",,7,0800","   63",",,7"
"USC00141612","2018-07-23","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  172",",,7",,,,,,,"   84",",,7",,,,,,,,,,,"  206",",,7,0800","   45",",,7"
"USC00141612","2018-07-24","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  172",",,7",,,,,,,"   71",",,7",,,,,,,,,,,"  217",",,7,0800","   31",",,7"
"USC00141612","2018-07-25","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  161",",,7",,,,,,,"   86",",,7",,,,,,,,,,,"  228",",,7,0800","   51",",,7"
"USC00141612","2018-07-26","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  156",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  217",",,7,0800","   37",",,7"
"USC00141612","2018-07-27","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  156",",,7",,,,,,,"   15",",,7",,,,,,,,,,,"  206",",,7,0800","   23",",,7"
"USC00141612","2018-07-28","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  156",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  217",",,7,0800","   29",",,7"
"USC00141612","2018-07-29","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   28",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  189",",,7",,,,,,,"   51",",,7",,,,,,,,,,,"  200",",,7,0800","   43",",,7"
"USC00141612","2018-07-30","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  172",",,7",,,,,,,"   46",",,7",,,,,,,,,,,"  178",",,7,0800",,
"USC00141612","2018-07-31","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  139",",,7",,,,,,,"   46",",,7",,,,,,,,,,,"  183",",,7,0800","   31",",,7"
"USC00141612","2018-08-01","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  139",",,7",,,,,,,"    0",",,7",,,,,,,,,,,"  211",",,7,0800","   43",",,7"
"USC00141612","2018-08-02","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  183",",,7",,,,,,,"   69",",,7",,,,,,,,,,,"  228",",,7,0800","   45",",,7"
"USC00141612","2018-08-03","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  183",",,7",,,,,,,"   89",",,7",,,,,,,,,,,"  228",",,7,0800","   61",",,7"
"USC00141612","2018-08-04","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  217",",,7",,,,,,,"  152",",,7",,,,,,,,,,,"  256",",,7,0800","   87",",,7"
"USC00141612","2018-08-05","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  211",",,7",,,,,,,"   66",",,7",,,,,,,,,,,"  250",",,7,0800","   84",",,7"
"USC00141612","2018-08-06","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  228",",,7",,,,,,,"   91",",,7",,,,,,,,,,,"  233",",,7,0800","   72",",,7"
"USC00141612","2018-08-07","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","  208",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  194",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  194",",,7,0800","   64",",,7"
"USC00141612","2018-08-08","38.9407","-95.3396","298.7","CLINTON LAKE, KS US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00141612","2018-08-09","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  194",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  211",",,7,0800","   26",",,7"
"USC00141612","2018-08-10","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   23",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  189",",,7",,,,,,,"   43",",,7",,,,,,,,,,,"  194",",,7,0800","   35",",,7"
"USC00141612","2018-08-11","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  172",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  328",",,7,0800","   48",",,7"
"USC00141612","2018-08-12","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  183",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  306",",,7,0800","   29",",,7"
"USC00141612","2018-08-13","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  211",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  222",",,7,0800","   23",",,7"
"USC00141612","2018-08-14","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   97",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  211",",,7",,,,,,,"   25",",,7",,,,,,,,,,,"  211",",,7,0800","   43",",,7"
"USC00141612","2018-08-15","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   25",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  206",",,7",,,,,,,"   38",",,7",,,,,,,,,,,"  217",",,7,0800","   48",",,7"
"USC00141612","2018-08-16","38.9407","-95.3396","298.7","CLINTON LAKE, KS US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00141612","2018-08-17","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   91",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  200",",,7",,,,,,,"   74",",,7",,,,,,,,,,,"  222",",,7,0800","   37",",,7"
"USC00141612","2018-08-18","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  189",",,7",,,,,,,"   74",",,7",,,,,,,,,,,"  233",",,7,0800","   47",",,7"
"USC00141612","2018-08-19","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  217",",,7",,,,,,,"   58",",,7",,,,,,,,,,,"  222",",,7,0800","   26",",,7"
"USC00141612","2018-08-20","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","  277",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  178",",,7",,,,,,,"   33",",,7",,,,,,,,,,,"  189",",,7,0800","   48",",,7"
"USC00141612","2018-08-21","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   23",",,7,0800","    0",",,7,0800","    0",",,7,0800","  217",",,7","  167",",,7",,,,,,,"   38",",,7",,,,,,,,,,,"  178",",,7,0800","  109",",,7"
"USC00141612","2018-08-22","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  161",",,7",,,,,,,"   58",",,7",,,,,,,,,,,"  172",",,7,0800","   50",",,7"
"USC00141612","2018-08-23","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   25",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  161",",,7",,,,,,,"   38",",,7",,,,,,,,,,,"  161",",,7,0800","   19",",,7"
"USC00141612","2018-08-24","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","  191",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","  161",",,7",,,,,,,"   25",",,7",,,,,,,,,,,"  228",",,7,0800","   58",",,7"
"USC00141612","2018-08-25","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  228",",,7",,,,,,,"   51",",,7",,,,,,,,,,,"  261",",,7,0800","   48",",,7"
"USC00141612","2018-08-26","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  228",",,7",,,,,,,"   71",",,7",,,,,,,,,,,"  244",",,7,0800","   53",",,7"
"USC00141612","2018-08-27","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  233",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  250",",,7,0800","  108",",,7"
"USC00141612","2018-08-28","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  239",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  250",",,7,0800","  122",",,7"
"USC00141612","2018-08-29","38.9407","-95.3396","298.7","CLINTON LAKE, KS US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00141612","2018-08-30","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","  351",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  194",",,7",,,,,,,"  267",",,7",,,,,,,,,,,"  194",",,7,0800","   35",",,7"
"USC00141612","2018-08-31","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  189",",,7",,,,,,,"   15",",,7",,,,,,,,,,,"  211",",,7,0800","   53",",,7"
"USC00141612","2018-09-01","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  211",",,7",,,,,,,"   76",",,7",,,,,,,,,,,"  244",",,7,0800","   89",",,7"
"USC00141612","2018-09-02","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  217",",,7",,,,,,,"   56",",,7",,,,,,,,,,,"  222",",,7,0800","   72",",,7"
"USC00141612","2018-09-03","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  217",",,7",,,,,,,"   53",",,7",,,,,,,,,,,"  233",",,7,0800","   47",",,7"
"USC00141612","2018-09-04","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   23",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  222",",,7",,,,,,,"   51",",,7",,,,,,,,,,,"  233",",,7,0800","   61",",,7"
"USC00141612","2018-09-05","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   46",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  222",",,7",,,,,,,"   13",",,7",,,,,,,,,,,"  222",",,7,0800","   68",",,7"
"USC00141612","2018-09-06","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","  137",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  194",",,7",,,,,,,"   18",",,7",,,,,,,,,,,"  200",",,7,0800","   24",",,7"
"USC00141612","2018-09-07","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   23",",,7,0800","    0",",,7,0800","    0",",,7,0800","  233",",,7","  194",",,7",,,,,,,"    8",",,7",,,,,,,,,,,"  200",",,7,0800","   45",",,7"
"USC00141612","2018-09-08","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   46",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","  161",",,7",,,,,,,"   10",",,7",,,,,,,,,,,"  167",",,7,0800","   69",",,7"
"USC00141612","2018-09-09","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  222",",,7","  122",",,7",,,,,,,"   18",",,7",,,,,,,,,,,"  144",",,7,0800","   29",",,7"
"USC00141612","2018-09-10","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  128",",,7",,,,,,,"   43",",,7",,,,,,,,,,,"  139",",,7,0800","   16",",,7"
"USC00141612","2018-09-11","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  122",",,7",,,,,,,,,,,,,,,,,,,"  167",",,7,0800",,
"USC00141612","2018-09-12","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  144",",,7",,,,,,,"   33",",,7",,,,,,,,,,,"  189",",,7,0800","   32",",,7"
"USC00141612","2018-09-13","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  156",",,7",,,,,,,"   56",",,7",,,,,,,,,,,"  200",",,7,0800","   42",",,7"
"USC00141612","2018-09-14","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  189",",,7",,,,,,,"   13",",,7",,,,,,,,,,,"  217",",,7,0800","   39",",,7"
"USC00141612","2018-09-15","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  189",",,7",,,,,,,"   58",",,7",,,,,,,,,,,"  233",",,7,0800","   27",",,7"
"USC00141612","2018-09-16","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  183",",,7",,,,,,,"   51",",,7",,,,,,,,,"  256",",,7","  206",",,7,0800",,
"USC00141612","2018-09-17","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  183",",,7",,,,,,,"   46",",,7",,,,,,,,,,,,,"   29",",,7"
"USC00141612","2018-09-18","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  211",",,7",,,,,,,"   46",",,7",,,,,,,,,,,"  239",",,7,0800","   29",",,7"
"USC00141612","2018-09-19","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  206",",,7",,,,,,,"   66",",,7",,,,,,,,,,,"  228",",,7,0800","   34",",,7"
"USC00141612","2018-09-20","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  222",",,7",,,,,,,"   66",",,7",,,,,,,,,,,"  239",",,7,0800","   66",",,7"
"USC00141612","2018-09-21","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   51",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  167",",,7",,,,,,,"   64",",,7",,,,,,,,,,,"  183",",,7,0800","   92",",,7"
"USC00141612","2018-09-22","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  183",",,7","   83",",,7",,,,,,,"   46",",,7",,,,,,,,,,,"   94",",,7,0800",,
"USC00141612","2018-09-23","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  222",",,7","   94",",,7",,,,,,,"   20",",,7",,,,,,,,,,,"   94",",,7,0800",,
"USC00141612","2018-09-24","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","   94",",,7",,,,,,,"   69",",,7",,,,,,,,,,,"  183",",,7,0800","   29",",,7"
"USC00141612","2018-09-25","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   41",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  183",",,7",,,,,,,"   41",",,7",,,,,,,,,,,"  189",",,7,0800","   37",",,7"
"USC00141612","2018-09-26","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  189",",,7","   61",",,7",,,,,,,"   38",",,7",,,,,,,,,,,"   83",",,7,0800","   61",",,7"
"USC00141612","2018-09-27","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  194",",,7","   67",",,7",,,,,,,"   36",",,7",,,,,,,,,,,"  106",",,7,0800","   37",",,7"
"USC00141612","2018-09-28","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  217",",,7","   56",",,7",,,,,,,"   38",",,7",,,,,,,,,"  222",",,7","   94",",,7,0800",,
"USC00141612","2018-09-29","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","  104",",,7,0800","    0",",,7,0800","    0",",,7,0800","  144",",,7","   78",",,7",,,,,,,"   36",",,7",,,,,,,,,"  222",",,7","   83",",,7,0800",,
"USC00141612","2018-09-30","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  206",",,7","   83",",,7",,,,,,,"   18",",,7",,,,,,,,,"  222",",,7","  200",",,7,0800",,
"USC00141612","2018-10-01","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  233",",,7","  178",",,7",,,,,,,"    0",",,7",,,,,,,,,,,"  189",",,7,0800","   39",",,7"
"USC00141612","2018-10-02","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  139",",,7",,,,,,,"   30",",,7",,,,,,,,,,,"  156",",,7,0800","   51",",,7"
"USC00141612","2018-10-03","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  156",",,7",,,,,,,"   58",",,7",,,,,,,,,,,"  222",",,7,0800","   84",",,7"
"USC00141612","2018-10-04","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","   10",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  100",",,7",,,,,,,"   56",",,7",,,,,,,,,,,"  100",",,7,0800",,
"USC00141612","2018-10-05","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  161",",,7","  100",",,7",,,,,,,"   51",",,7",,,,,,,,,,,"  117",",,7,0800","   50",",,7"
"USC00141612","2018-10-06","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","  292",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","   94",",,7",,,,,,,"   13",",,7",,,,,,,,,,,"  106",",,7,0800","   71",",,7"
"USC00141612","2018-10-07","38.9407","-95.3396","298.7","CLINTON LAKE, KS US","  323",",,7,0800","    0",",,7,0800","    0",",,7,0800","  117",",,7","   94",",,7",,,,,,,"   41",",,7",,,,,,,,,,,"  111",",,7,0800",,
