"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00023031","2018-08-19","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  139",",,S",,,,,,,,,"  104","H,,S"
"ASN00023031","2018-08-20","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  136",",,S","   53",",,S",,,,,,,"  110","H,,S"
"ASN00023031","2018-08-21","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,,,,,,,,,"  103","H,,S"
"ASN00023031","2018-08-22","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  214",",,S","   52",",,S",,,,,,,"  163","H,,S"
"ASN00023031","2018-08-23","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  211",",,S","  119",",,S",,,,,,,"  166","H,,S"
"ASN00023031","2018-08-24","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  210",",,S",,,,,,,,,"  137","H,,S"
"ASN00023031","2018-08-25","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  163",",,S",,,,,,,,,"  108","H,,S"
"ASN00023031","2018-08-26","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  150",",,S","   45",",,S",,,,,,,"  115","H,,S"
"ASN00023031","2018-08-27","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   72",",,S",,,,,,,"  118","H,,S"
"ASN00023031","2018-08-28","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   77",",,S",,,,,,,"  163","H,,S"
"ASN00023031","2018-08-29","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    5",",,S",,,"  263",",,S","  131",",,S",,,,,,,"  221","H,,S"
"ASN00023031","2018-08-30","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   61",",,S",,,"  230",",,S",,,,,,,,,"  132","H,,S"
"ASN00023031","2018-08-31","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   71",",,S",,,"  154",",,S",,,,,,,,,"  128","H,,S"
"ASN00023031","2018-09-01","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    5",",,S",,,"  153",",,S",,,,,,,,,"  116","H,,S"
"ASN00023031","2018-09-02","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  148",",,S",,,,,,,,,"   97","H,,S"
"ASN00023031","2018-09-03","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  152",",,S",,,,,,,,,"   97","H,,S"
"ASN00023031","2018-09-04","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  178",",,S","   29",",,S",,,,,,,"  121","H,,S"
"ASN00023031","2018-09-05","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    5",",,S",,,"  212",",,S","   59",",,S",,,,,,,"  161","H,,S"
"ASN00023031","2018-09-06","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  176",",,S",,,,,,,,,"  109","H,,S"
"ASN00023031","2018-09-07","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  149",",,S","   42",",,S",,,,,,,"  111","H,,S"
"ASN00023031","2018-09-08","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  178",",,S","   71",",,S",,,,,,,"  129","H,,S"
"ASN00023031","2018-09-09","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  191",",,S","   77",",,S",,,,,,,"  131","H,,S"
"ASN00023031","2018-09-10","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   76",",,S",,,,,,,"  188","H,,S"
"ASN00023031","2018-09-11","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    3",",,S",,,,,,,,,,,,,"  150","H,,S"
"ASN00023031","2018-09-12","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  160",",,S",,,,,,,,,"  116","H,,S"
"ASN00023031","2018-09-13","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS",,,,,,,"   67",",,S",,,,,,,"  138","H,,S"
"ASN00023031","2018-09-14","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   41",",,S",,,"  260",",,S",,,,,,,,,"  173","H,,S"
"ASN00023031","2018-09-15","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  156",",,S",,,,,,,,,"  107","H,,S"
"ASN00023031","2018-09-16","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS",,,,,,,,,,,,,,,"  103","H,,S"
"ASN00023031","2018-09-17","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS",,,,,,,,,,,,,,,"  163","H,,S"
"ASN00023031","2018-09-18","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   30",",,S",,,,,,,,,,,,,"  114","H,,S"
"ASN00023031","2018-09-19","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   43",",,S",,,"  150",",,S",,,,,,,,,"  121","H,,S"
"ASN00023031","2018-09-20","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  159",",,S","   90",",,S",,,,,,,"  136","H,,S"
"ASN00023031","2018-09-21","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  190",",,S",,,,,,,,,"  131","H,,S"
"ASN00023031","2018-09-22","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  203",",,S","   73",",,S",,,,,,,"  144","H,,S"
"ASN00023031","2018-09-23","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS",,,,,"  199",",,S",,,,,,,,,"  132","H,,S"
"ASN00023031","2018-09-24","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,,,,,,,,,"   87","H,,S"
"ASN00023031","2018-09-25","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   47",",,S",,,,,,,"  127","H,,S"
"ASN00023031","2018-09-26","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  245",",,S","   70",",,S",,,,,,,"  176","H,,S"
"ASN00023031","2018-09-27","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  175",",,S","  115",",,S",,,,,,,"  141","H,,S"
"ASN00023031","2018-09-28","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  165",",,S",,,,,,,,,"  109","H,,S"
"ASN00023031","2018-09-29","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,,,,,,,,,"  108","H,,S"
"ASN00023031","2018-09-30","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  231",",,S","   43",",,S",,,,,,,"  180","H,,S"
"ASN00023031","2018-10-01","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,,,,,,,,,"  191","H,,S"
"ASN00023031","2018-10-02","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   41",",,S",,,"  295",",,S","  137",",,S",,,,,,,"  199","H,,S"
"ASN00023031","2018-10-03","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  199",",,S",,,,,,,,,"  144","H,,S"
"ASN00023031","2018-10-04","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  170",",,S",,,,,,,,,"  126","H,,S"
"ASN00023031","2018-10-05","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  181",",,S",,,,,,,,,"  129","H,,S"
"ASN00023031","2018-10-06","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    3",",,S",,,"  227",",,S","   83",",,S",,,,,,,"  176","H,,S"
"ASN00023031","2018-10-07","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    3",",,S",,,"  286",",,S","  129",",,S",,,,,,,"  236","H,,S"
"ASN00023031","2018-10-08","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,,,,,,,,,"  178","H,,S"
"ASN00023031","2018-10-09","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  162",",,S",,,,,,,,,"  136","H,,S"
"ASN00023031","2018-10-10","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  187",",,S",,,,,,,,,"  134","H,,S"
"ASN00023031","2018-10-11","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  221",",,S","   85",",,S",,,,,,,"  170","H,,S"
"ASN00023031","2018-10-12","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  265",",,S","  139",",,S",,,,,,,"  206","H,,S"
"ASN00023031","2018-10-13","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  295",",,S","  136",",,S",,,,,,,"  253","H,,S"
"ASN00023031","2018-10-14","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   46",",,S",,,"  293",",,S",,,,,,,,,"  236","H,,S"
"ASN00023031","2018-10-15","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    3",",,S",,,"  273",",,S",,,,,,,,,"  184","H,,S"
"ASN00023031","2018-10-16","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   30",",,S",,,"  177",",,S",,,,,,,,,"  140","H,,S"
"ASN00023031","2018-10-17","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  152",",,S",,,,,,,,,"  133","H,,S"
"ASN00023031","2018-10-18","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,,,,,,,,,"  172","H,,S"
"ASN00023031","2018-10-19","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"  128",",,S",,,,,,,"  182","H,,S"
"ASN00023031","2018-10-20","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  177",",,S",,,,,,,,,"  131","H,,S"
"ASN00023031","2018-10-21","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   78",",,S",,,,,,,"  187","H,,S"
"ASN00023031","2018-10-22","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS",,,,,,,,,,,,,,,"  184","H,,S"
"ASN00023031","2018-10-23","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  180",",,S",,,,,,,,,"  131","H,,S"
"ASN00023031","2018-10-24","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   75",",,S",,,,,,,"  146","H,,S"
"ASN00023031","2018-10-25","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS",,,,,"  214",",,S","   84",",,S",,,,,,,"  152","H,,S"
"ASN00023031","2018-10-26","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,,,,,,,,,"  153","H,,S"
"ASN00023031","2018-10-27","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  236",",,S","   88",",,S",,,,,,,"  177","H,,S"
"ASN00023031","2018-10-28","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  207",",,S",,,,,,,,,"  149","H,,S"
"ASN00023031","2018-10-29","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  194",",,S",,,,,,,,,"  143","H,,S"
"ASN00023031","2018-10-30","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  246",",,S","   79",",,S",,,,,,,"  189","H,,S"
"ASN00023031","2018-10-31","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  332",",,S","  119",",,S",,,,,,,"  271","H,,S"
"ASN00023031","2018-11-01","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    5",",,S",,,,,,,,,,,,,"  265","H,,S"
"ASN00023031","2018-11-02","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    3",",,S",,,"  255",",,S",,,,,,,,,"  181","H,,S"
"ASN00023031","2018-11-03","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,,,,,,,,,"  159","H,,S"
"ASN00023031","2018-11-04","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","   51",",,S",,,"  266",",,S","  121",",,S",,,,,,,"  207","H,,S"
"ASN00023031","2018-11-05","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    5",",,S",,,"  250",",,S",,,,,,,,,"  203","H,,S"
"ASN00023031","2018-11-06","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    5",",,S",,,"  204",",,S",,,,,,,,,"  156","H,,S"
"ASN00023031","2018-11-07","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    3",",,S",,,"  172",",,S",,,,,,,,,"  136","H,,S"
"ASN00023031","2018-11-08","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  187",",,S","   84",",,S",,,,,,,"  142","H,,S"
"ASN00023031","2018-11-09","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  228",",,S","   93",",,S",,,,,,,"  164","H,,S"
"ASN00023031","2018-11-10","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"   94",",,S",,,,,,,"  177","H,,S"
"ASN00023031","2018-11-11","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,,,"  100",",,S",,,,,,,"  247","H,,S"
"ASN00023031","2018-11-12","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  338",",,S",,,,,,,,,"  251","H,,S"
"ASN00023031","2018-11-13","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  256",",,S",,,,,,,,,"  177","H,,S"
"ASN00023031","2018-11-14","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  205",",,S",,,,,,,,,"  161","H,,S"
"ASN00023031","2018-11-15","-34.9697","138.6331","115.0","ADELAIDE WAITE INSTITUTE, AS","    0",",,S",,,"  231",",,S",,,,,,,,,"  162","H,,S"
