"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00003868","2018-08-01","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  283",",,W","  144",",,W","    5",",,W",,,,,,,,,"  280",",,W","  320",",,W","   31",",,W","   40",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00003868","2018-08-02","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  294",",,W","  139",",,W","   20",",,W",,,,,,,,,"  200",",,W","  200",",,W","   58",",,W","   72",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00003868","2018-08-03","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","   38",",,W",,,,,"  311",",,W","  178",",,W","   21",",,W",,,,,,,,,"  220",",,W","  220",",,W","   58",",,W","   76",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00003868","2018-08-04","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  322",",,W","  183",",,W","   21",",,W",,,,,,,,,"  210",",,W","  210",",,W","   63",",,W","   76",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-05","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  328",",,W","  189",",,W","   24",",,W",,,,,,,,,"  200",",,W","  200",",,W","   67",",,W","   85",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-06","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  328",",,W","  206",",,W","   36",",,W",,,,,,,,,"  200",",,W","  180",",,W","   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-07","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","  455",",,W",,,,,"  283",",,W","  211",",,W","   34",",,W",,,,,,,,,"  250",",,W","  230",",,W","   94",",,W","  116",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00003868","2018-08-08","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","   15",",,W",,,,,"  300",",,W","  200",",,W","   23",",,W",,,,,,,,,"  260",",,W","  240",",,W","   67",",,W","   85",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-09","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  300",",,W","  167",",,W","   13",",,W",,,,,,,,,"  220",",,W","  210",",,W","   58",",,W","   72",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00003868","2018-08-10","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  311",",,W","  200",",,W","   17",",,W",,,,,,,,,"  220",",,W","  220",",,W","   58",",,W","   76",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-11","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  283",",,W","  189",",,W","   16",",,W",,,,,,,,,"   20",",,W","  350",",,W","   54",",,W","   67",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00003868","2018-08-12","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  306",",,W","  156",",,W","   11",",,W",,,,,,,,,"  360",",,W","   60",",,W","   40",",,W","   54",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00003868","2018-08-13","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  306",",,W","  150",",,W","    6",",,W",,,,,,,,,"   90",",,W","   60",",,W","   36",",,W","   63",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-14","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  306",",,W","  167",",,W","   16",",,W",,,,,,,,,"  190",",,W","  200",",,W","   45",",,W","   67",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00003868","2018-08-15","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","   36",",,W",,,,,"  244",",,W","  211",",,W","   30",",,W",,,,,,,,,"  160",",,W","  160",",,W","   63",",,W","   81",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,
"USW00003868","2018-08-16","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","   25",",,W",,,,,"  300",",,W","  211",",,W","   28",",,W",,,,,,,,,"  190",",,W","  200",",,W","   67",",,W","   89",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00003868","2018-08-17","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","  264",",,W",,,,,"  261",",,W","  200",",,W","   19",",,W",,,,,,,,,"  250",",,W","  240",",,W","   67",",,W","   89",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00003868","2018-08-18","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  289",",,W","  194",",,W","   19",",,W",,,,,,,,,"   30",",,W","  360",",,W","   45",",,W","   63",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,
"USW00003868","2018-08-19","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  300",",,W","  178",",,W","   12",",,W",,,,,,,,,"  130",",,W","  130",",,W","   40",",,W","   49",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00003868","2018-08-20","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","  173",",,W",,,,,"  294",",,W","  211",",,W","   34",",,W",,,,,,,,,"  200",",,W","  140",",,W","   81",",,W","  116",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00003868","2018-08-21","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","  119",",,W",,,,,"  267",",,W","  194",",,W","   37",",,W",,,,,,,,,"  330",",,W","  320",",,W","   72",",,W","  112",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
"USW00003868","2018-08-22","39.45194","-87.30889","175.3","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","    0",",,W",,,,,"  250",",,W","  139",",,W","   26",",,W",,,,,,,,,"   20",",,W","   10",",,W","   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,
