"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00014756","2018-08-22","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","   13",",,W,",,,,,"  244",",,W","  167",",,W",,,,,"   48",",,W",,,,,,,,," 1637",",,W",,,,,,,"  230",",,W","  220",",,W",,,,,,,"   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-23","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  233",",,W","  144",",,W",,,,,"   44",",,W",,,,,,,,," 0827",",,W",,,,,,,"  350",",,W","  350",",,W",,,,,,,"   89",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-24","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  244",",,W","  128",",,W",,,,,"   27",",,W",,,,,,,,," 1323",",,W",,,,,,,"  210",",,W","  210",",,W",,,,,,,"   54",",,W","   58",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-25","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  239",",,W","  139",",,W",,,,,"   27",",,W",,,,,,,,," 1249",",,W",,,,,,,"  140",",,W","  150",",,W",,,,,,,"   54",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-26","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  250",",,W","  167",",,W",,,,,"   33",",,W",,,,,,,,," 1317",",,W",,,,,,,"  230",",,W","  220",",,W",,,,,,,"   58",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-27","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  289",",,W","  194",",,W",,,,,"   43",",,W",,,,,,,,," 0616",",,W",,,,,,,"  230",",,W","  250",",,W",,,,,,,"   67",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-28","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  283",",,W","  206",",,W",,,,,"   50",",,W",,,,,,,,," 1309",",,W",,,,,,,"  240",",,W","  240",",,W",,,,,,,"   89",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-29","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  294",",,W","  217",",,W",,,,,"   51",",,W",,,,,,,,," 1530",",,W",,,,,,,"  230",",,W","  230",",,W",,,,,,,"   81",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-30","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  322",",,W","  200",",,W",,,,,"   56",",,W",,,,,,,,," 1940",",,W",,,,,,,"   40",",,W","   30",",,W",,,,,,,"   98",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-31","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  239",",,W","  144",",,W",,,,,"   58",",,W",,,,,,,,," 1113",",,W",,,,,,,"   40",",,W","   30",",,W",,,,,,,"   98",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
