"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00292848","2018-05-13","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  217",",,7",,,,,,,"  198",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  288",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-14","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  161",",,7",,,,,,,"  157",",,7,0800",,,,,,,,,,,"  200",",,7,0800","  151",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-15","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  161",",,7",,,,,,,"  173",",,7,0800",,,,,,,,,,,"  194",",,7,0800","  146",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-16","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  167",",,7",,,,,,,"  178",",,7,0800",,,,,,,,,,,"  200",",,7,0800","  192",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-17","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  167",",,7",,,,,,,"  229",",,7,0800",,,,,,,,,,,"  183",",,7,0800","  188",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-18","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  156",",,7",,,,,,,"  152",",,7,0800",,,,,,,,,,,"  183",",,7,0800","  175",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-19","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  156",",,7",,,,,,,"  152",",,7,0800",,,,,,,,,,,"  183",",,7,0800","  175",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-20","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  156",",,7",,,,,,,"  152",",,7,0800",,,,,,,,,,,"  183",",,7,0800","  175",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-21","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  183",",,7",,,,,,,"  193",",,7,0800",,,,,,,,,,,"  228",",,7,0800","  211",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-22","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  156",",,7",,,,,,,"  193",",,7,0800",,,,,,,,,,,"  178",",,7,0800","  211",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-23","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  156",",,7",,,,,,,"  193",",,7,0800",,,,,,,,,,,"  178",",,7,0800","  209",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-24","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  156",",,7",,,,,,,"  175",",,7,0800",,,,,,,,,,,"  189",",,7,0800","  177",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-25","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  156",",,7",,,,,,,"  175",",,7,0800",,,,,,,,,,,"  178",",,7,0800","  177",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-26","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  178",",,7",,,,,,,"  175",",,7,0800",,,,,,,,,,,"  200",",,7,0800","  177",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-27","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  172",",,7",,,,,,,"  173",",,7,0800",,,,,,,,,,,"  194",",,7,0800","  175",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-28","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  156",",,7",,,,,,,"  173",",,7,0800",,,,,,,,,,,"  189",",,7,0800","  175",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-29","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  172",",,7",,,,,,,"  185",",,7,0800",,,,,,,,,,,"  222",",,7,0800","  161",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-30","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  211",",,7",,,,,,,"  185",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  163",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-05-31","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  183",",,7",,,,,,,"  198",",,7,0800",,,,,,,,,,,"  211",",,7,0800","  166",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-01","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  189",",,7",,,,,,,"  168",",,7,0800",,,,,,,,,,,"  211",",,7,0800","  177",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-02","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  189",",,7",,,,,,,"  170",",,7,0800",,,,,,,,,,,,,"  179",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-03","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  228",",,7",,,,,,,"  170",",,7,0800",,,,,,,,,,,"  256",",,7,0800","  179",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-04","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  178",",,7",,,,,,,"  178",",,7,0800",,,,,,,,,,,"  200",",,7,0800","  154",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-05","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  194",",,7",,,,,,,"  203",",,7,0800",,,,,,,,,,,,,"  216",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-06","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  228",",,7",,,,,,,"  152",",,7,0800",,,,,,,,,,,"  272",",,7,0800","  127",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-07","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  211",",,7",,,,,,,"  173",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  114",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-08","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  222",",,7",,,,,,,"  175",",,7,0800",,,,,,,,,,,,,"  163",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-09","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  256",",,7",,,,,,,"  175",",,7,0800",,,,,,,,,,,"  267",",,7,0800","  163",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-10","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  244",",,7",,,,,,,"  173",",,7,0800",,,,,,,,,,,"  267",",,7,0800","  163",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-11","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  239",",,7",,,,,,,"  208",",,7,0800",,,,,,,,,,,"  267",",,7,0800","  119",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-12","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  200",",,7",,,,,,,"  183",",,7,0800",,,,,,,,,,,"  244",",,7,0800","  167",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-13","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","   30",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  200",",,7",,,,,,,"  137",",,7,0800",,,,,,,,,,,"  222",",,7,0800","  167",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-14","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  211",",,7",,,,,,,"  168",",,7,0800",,,,,,,,,,,,,"  158",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-15","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","  122",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  233",",,7",,,,,,,"  213",",,7,0800",,,,,,,,,,,"  256",",,7,0800","  175",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-16","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  172",",,7",,,,,,,"   71",",,7,0800",,,,,,,,,,,,,"  175",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-17","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  172",",,7",,,,,,,"   71",",,7,0800",,,,,,,,,,,,,"  175",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-18","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  189",",,7",,,,,,,"  198",",,7,0800",,,,,,,,,,,"  222",",,7,0800","  164",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-19","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  200",",,7",,,,,,,"  173",",,7,0800",,,,,,,,,,,"  233",",,7,0800","  167",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-20","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  222",",,7",,,,,,,"  157",",,7,0800",,,,,,,,,,,"  267",",,7,0800","  119",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-21","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  206",",,7",,,,,,,"  178",",,7,0800",,,,,,,,,,,"  233",",,7,0800","  126",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-22","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  411",",,7","  233",",,7",,,,,,,"  196",",,7,0800",,,,,,,,,,,"  267",",,7,0800","  166",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-23","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  239",",,7",,,,,,,"  196",",,7,0800",,,,,,,,,,,,,"  164",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-24","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  400",",,7","  250",",,7",,,,,,,"  193",",,7,0800",,,,,,,,,,,,,"  164",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-25","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  239",",,7",,,,,,,"  193",",,7,0800",,,,,,,,,,,"  278",",,7,0800","  153",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-26","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  411",",,7","  233",",,7",,,,,,,"  178",",,7,0800",,,,,,,,,,,"  289",",,7,0800","  124",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-27","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  239",",,7",,,,,,,"  178",",,7,0800",,,,,,,,,,,"  272",",,7,0800","  124",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-28","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  244",",,7",,,,,,,"  140",",,7,0800",,,,,,,,,,,"  278",",,7,0800","  156",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-29","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  361",",,7","  267",",,7",,,,,,,"  165",",,7,0800",,,,,,,,,,,"  289",",,7,0800","  156",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-06-30","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    5",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  211",",,7",,,,,,,"  168",",,7,0800",,,,,,,,,,,,,"  156",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-01","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  211",",,7",,,,,,,"  163",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  158",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-02","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  222",",,7",,,,,,,"  229",",,7,0800",,,,,,,,,,,"  244",",,7,0800","  211",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-03","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  244",",,7",,,,,,,"  165",",,7,0800",,,,,,,,,,,"  256",",,7,0800","  245",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-04","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  239",",,7",,,,,,,"  165",",,7,0800",,,,,,,,,,,"  267",",,7,0800","   55",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-05","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  356",",,7","  256",",,7",,,,,,,"  157",",,7,0800",,,,,,,,,,,"  267",",,7,0800","  103",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-06","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  217",",,7",,,,,,,"  140",",,7,0800",,,,,,,,,,,"  244",",,7,0800","  153",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-07","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  200",",,7",,,,,,,"  140",",,7,0800",,,,,,,,,,,"  222",",,7,0800","  151",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-08","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  200",",,7",,,,,,,"  137",",,7,0800",,,,,,,,,,,"  222",",,7,0800","  151",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-09","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","   10",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  200",",,7",,,,,,,"   36",",,7,0800",,,,,,,,,,,"  233",",,7,0800","  113",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-10","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  189",",,7",,,,,,,"   91",",,7,0800",,,,,,,,,,,"  211",",,7,0800","  101",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-11","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","  127",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  211",",,7",,,,,,,"  102",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  163",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-12","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  189",",,7",,,,,,,"   94",",,7,0800",,,,,,,,,,,"  206",",,7,0800","  106",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-13","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  189",",,7",,,,,,,"   94",",,7,0800",,,,,,,,,,,"  211",",,7,0800","  106",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-14","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  206",",,7",,,,,,,"   94",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  106",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-15","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","  373",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  211",",,7",,,,,,,"  102",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  105",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-16","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  200",",,7",,,,,,,"   91",",,7,0800",,,,,,,,,,,"  222",",,7,0800","  113",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-17","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  206",",,7",,,,,,,"  132",",,7,0800",,,,,,,,,,,"  228",",,7,0800","  101",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-18","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  222",",,7",,,,,,,"   53",",,7,0800",,,,,,,,,,,"  256",",,7,0800","  117",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-19","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  256",",,7",,,,,,,"   53",",,7,0800",,,,,,,,,,,"  283",",,7,0800","  116",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-20","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  244",",,7",,,,,,,"   53",",,7,0800",,,,,,,,,,,"  278",",,7,0800","  116",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-21","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  244",",,7",,,,,,,"   53",",,7,0800",,,,,,,,,,,"  278",",,7,0800","  116",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-22","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  411",",,7","  267",",,7",,,,,,,"   51",",,7,0800",,,,,,,,,,,"  289",",,7,0800","  116",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-23","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  267",",,7",,,,,,,"  234",",,7,0800",,,,,,,,,,,"  311",",,7,0800","  233",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-24","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  383",",,7","  239",",,7",,,,,,,"  124",",,7,0800",,,,,,,,,,,"  261",",,7,0800","  134",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-25","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  244",",,7",,,,,,,"  122",",,7,0800",,,,,,,,,,,"  267",",,7,0800","  134",",,7",,,,,,,,,,,,,,,,,,,,
"USC00292848","2018-07-26","33.146","-107.1843","1393.2","ELEPHANT BUTTE DAM, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  378",",,7","  250",",,7",,,,,,,"   69",",,7,0800",,,,,,,,,,,"  267",",,7,0800","  119",",,7",,,,,,,,,,,,,,,,,,,,
