"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","FRTH","FRTH_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00013872","2018-05-16","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  572",",,7,2400","    0",",,7,2400","    0",",,7,2400","  217",",,7","  172",",,7","   13",",,7",,,,,,,,,,,,,"  189",",,7,2400",,,,,"   67",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-17","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  310",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  178",",,7","   18",",,7",,,,,,,,,,,,,"  183",",,7,2400",,,,,"   85",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-18","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  455",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  172",",,7","   27",",,7",,,,,,,,,,,,,"  172",",,7,2400",,,,,"  116",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-19","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  145",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  172",",,7","   36",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"  130",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-20","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  172",",,7","   13",",,7",,,,,,,,,,,,,"  183",",,7,2400",,,,,"   80",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-21","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  167",",,7","   18",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"  107",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-22","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    5",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  172",",,7","   27",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"   98",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-23","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  172",",,7","   18",",,7",,,,,,,,,,,,,"  206",",,7,2400",,,,,"   80",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-24","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  172",",,7",,,,,,,,,,,,,,,"  211",",,7,2400",,,,,"  103",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-25","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  194",",,7","   36",",,7",,,,,,,,,,,,,"  206",",,7,2400",,,,,"  139",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-26","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   56",",,7,2400","    0",",,7,2400","    0",",,7,2400","  250",",,7","  194",",,7","   18",",,7",,,,,,,,,,,,,"  194",",,7,2400",,,,,"   72",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-27","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  178",",,7","   18",",,7",,,,,,,,,,,,,"  211",",,7,2400",,,,,"   98",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-28","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  112",",,7,2400","    0",",,7,2400","    0",",,7,2400","  217",",,7","  189",",,7","   22",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"  107",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-29","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  262",",,7,2400","    0",",,7,2400","    0",",,7,2400","  239",",,7","  194",",,7","   36",",,7",,,,,,,,,,,,,"  206",",,7,2400",,,,,"  112",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-30","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  102",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  200",",,7","   40",",,7",,,,,,,,,,,,,"  206",",,7,2400",,,,,"  125",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-05-31","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   38",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  178",",,7","   18",",,7",,,,,,,,,,,,,"  183",",,7,2400",,,,,"  152",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-01","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  161",",,7","   22",",,7",,,,,,,,,,,,,"  206",",,7,2400",,,,,"  103",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-02","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  183",",,7","   27",",,7",,,,,,,,,,,,,"  211",",,7,2400",,,,,"  103",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-03","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  178",",,7","   22",",,7",,,,,,,,,,,,,"  211",",,7,2400",,,,,"   94",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-04","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  150",",,7","   36",",,7",,,,,,,,,,,,,"  172",",,7,2400",,,,,"  143",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-05","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  128",",,7","   13",",,7",,,,,,,,,,,,,"  183",",,7,2400",,,,,"   76",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-06","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  122",",,7","   22",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"  107",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-07","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  150",",,7","   13",",,7",,,,,,,,,,,,,"  211",",,7,2400",,,,,"   58",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-08","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  172",",,7","   18",",,7",,,,,,,,,,,,,"  211",",,7,2400",,,,,"   85",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-09","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  172",",,7","   13",",,7",,,,,,,,,,,,,"  206",",,7,2400",,,,,"   67",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-10","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  172",",,7","   13",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"  116",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-11","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    3",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  178",",,7","   18",",,7",,,,,,,,,,,,,"  206",",,7,2400",,,,,"  125",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-12","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  250",",,7","  178",",,7","   31",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"  125",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-13","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   58",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  178",",,7","   18",",,7",,,,,,,,,,,,,"  211",",,7,2400",,,,,"  107",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-14","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  189",",,7","   18",",,7",,,,,,,,,,,,,"  217",",,7,2400",,,,,"   85",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-15","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  172",",,7","   13",",,7",,,,,,,,,,,,,"  217",",,7,2400",,,,,"   72",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-16","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  172",",,7","   13",",,7",,,,,,,,,,,,,"  217",",,7,2400",,,,,"   80",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-17","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   79",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  183",",,7","   13",",,7",,,,,,,,,,,,,"  217",",,7,2400",,,,,"   76",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-18","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  172",",,7","   13",",,7",,,,,,,,,,,,,"  228",",,7,2400",,,,,"   80",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-19","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  194",",,7","   18",",,7",,,,,,,,,,,,,"  222",",,7,2400",,,,,"   89",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-20","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  194",",,7","   18",",,7",,,,,,,,,,,,,"  239",",,7,2400",,,,,"   80",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-21","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    8",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  206",",,7","   18",",,7",,,,,,,,,,,,,"  206",",,7,2400",,,,,"   76",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-22","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  183",",,7","   18",",,7",,,,,,,,,,,,,"  211",",,7,2400",,,,,"   98",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-23","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  183",",,7","   18",",,7",,,,,,,,,,,,,"  228",",,7,2400",,,,,"   89",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-24","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  226",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  183",",,7","   18",",,7",,,,,,,,,,,,,"  194",",,7,2400",,,,,"  148",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-25","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  272",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  167",",,7","    9",",,7",,,,,,,,,,,,,"  194",",,7,2400",,,,,"  161",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-26","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  394",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  183",",,7","   18",",,7",,,,,,,,,,,,,"  183",",,7,2400",,,,,"   89",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-27","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  178",",,7","   13",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"  107",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-28","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   64",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  183",",,7","   18",",,7",,,,,,,,,,,,,"  206",",,7,2400",,,,,"  112",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-29","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  189",",,7","   13",",,7",,,,,,,,,,,,,"  222",",,7,2400",,,,,"   72",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-06-30","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  183",",,7","   18",",,7",,,,,,,,,,,,,"  250",",,7,2400",,,,,"   85",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-01","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   76",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  211",",,7","   22",",,7",,,,,,,,,,,,,"  217",",,7,2400",,,,,"  188",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-02","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7",,,"   18",",,7",,,,,,,,,,,,,"  244",",,7,2400",,,,,"   94",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-03","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  200",",,7","   13",",,7",,,,,,,,,,,,,"  250",",,7,2400",,,,,"   72",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-04","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  206",",,7","   22",",,7",,,,,,,,,,,,,"  250",",,7,2400",,,,,"  107",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-05","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  217",",,7","   18",",,7",,,,,,,,,,,,,"  222",",,7,2400",,,,,"   89",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-06","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   30",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  194",",,7","   13",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"   94",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-07","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  130",",,7,2400","    0",",,7,2400","    0",",,7,2400","  228",",,7","  194",",,7","   22",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"  103",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-08","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  161",",,7","   22",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"   89",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-09","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  144",",,7","   18",",,7",,,,,,,,,,,,,"  206",",,7,2400",,,,,"   98",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-10","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  167",",,7","   18",",,7",,,,,,,,,,,,,"  233",",,7,2400",,,,,"   80",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-11","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  189",",,7","   18",",,7",,,,,,,,,,,,,"  239",",,7,2400",,,,,"   76",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-12","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   41",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  206",",,7","   13",",,7",,,,,,,,,,,,,"  222",",,7,2400",,,,,"   94",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-13","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  211",",,7","   22",",,7",,,,,,,,,,,,,"  233",",,7,2400",,,,,"   89",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-14","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   20",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  206",",,7","   27",",,7",,,,,,,,,,,,,"  233",",,7,2400",,,,,"   94",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-15","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   15",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  189",",,7","   13",",,7",,,,,,,,,,,,,"  217",",,7,2400",,,,,"   89",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-16","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   76",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  200",",,7","   13",",,7",,,,,,,,,,,,,"  217",",,7,2400",,,,,"   85",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-17","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  206",",,7","   18",",,7",,,,,,,,,,,,,"  233",",,7,2400",,,,,"  121",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-18","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  200",",,7","   18",",,7",,,,,,,,,,,,,"  211",",,7,2400",,,,,"   98",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-19","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  178",",,7","   22",",,7",,,,,,,,,,,,,"  200",",,7,2400",,,,,"  107",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-20","35.5954","-82.5568","682.1","ASHEVILLE, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  194",",,7","   27",",,7",,,,,,,,,,,,,"  222",",,7,2400",,,,,"   94",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-21","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  165",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  161",",,7","   18",",,7",,,,,,,,,,,,,"  194",",,7,2400",,,,,"  152",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-22","35.5954","-82.5568","682.1","ASHEVILLE, NC US","  109",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  178",",,7","    9",",,7",,,,,,,,,,,,,"  189",",,7,2400",,,,,"   85",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USW00013872","2018-07-23","35.5954","-82.5568","682.1","ASHEVILLE, NC US","   20",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  178",",,7","   18",",,7",,,,,,,,,,,,,"  194",",,7,2400",,,,,"   94",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,
