"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"RQC00665908","2018-06-16","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  183",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-06-17","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  289",",,7","  178",",,7","    2",",,7","    8",",,7","  200",",,7",,,,,,,,
"RQC00665908","2018-06-18","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  294",",,7","  183",",,7",,,,,"  206",",,7",,,,,,,,
"RQC00665908","2018-06-19","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   71",",,7",,,,,"  272",",,7","  189",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-06-20","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   30",",,7",,,,,"  272",",,7","  183",",,7",,,,,"  194",",,7",,,,,,,,
"RQC00665908","2018-06-21","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   41",",,7",,,,,"  256",",,7","  178",",,7",,,,,"  206",",,7",,,,,,,,
"RQC00665908","2018-06-22","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   10",",,7",,,,,"  261",",,7","  183",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-06-23","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  160",",,7",,,,,"  244",",,7","  172",",,7",,,,,"  183",",,7",,,,,,,,
"RQC00665908","2018-06-24","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  267",",,7","  183",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-06-25","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  267",",,7","  178",",,7","    2",",,7","   56",",,7","  222",",,7",,,,,,,,
"RQC00665908","2018-06-26","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  261",",,7","  189",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-06-27","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  261",",,7","  189",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-06-28","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   13",",,7",,,,,"  267",",,7","  183",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-06-29","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  163",",,7",,,,,"  261",",,7","  194",",,7",,,,,"  211",",,7",,,,,,,,
"RQC00665908","2018-06-30","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  289",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-01","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  272",",,7","  183",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-02","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  278",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-03","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  200",",,7","    4",",,7","   25",",,7","  222",",,7",,,,,,,,
"RQC00665908","2018-07-04","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  272",",,7","  183",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-07-05","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  289",",,7","  189",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-07-06","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  261",",,7","  189",",,7",,,,,"  211",",,7",,,,,,,,
"RQC00665908","2018-07-07","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  267",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-08","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  272",",,7","  194",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-09","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  283",",,7","  189",",,7","    3",",,7","   25",",,7","  211",",,7",,,,,,,,
"RQC00665908","2018-07-10","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  163",",,7",,,,,"  211",",,7","  183",",,7",,,,,"  194",",,7",,,,,,,,
"RQC00665908","2018-07-11","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  256",",,7","  172",",,7",,,,,"  194",",,7",,,,,,,,
"RQC00665908","2018-07-12","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  267",",,7","  189",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-07-13","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  272",",,7","  200",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-14","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  272",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-15","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  183",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-16","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  272",",,7","  189",",,7","    4",",,7","  508",",,7","  228",",,7",,,,,,,,
"RQC00665908","2018-07-17","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   36",",,7",,,,,"  233",",,7","  200",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-07-18","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   18",",,7",,,,,"  239",",,7","  211",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-07-19","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  256",",,7","  194",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-07-20","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   25",",,7",,,,,"  278",",,7","  206",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-07-21","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  283",",,7","  183",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-22","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  283",",,7","  189",",,7",,,,,"  206",",,7",,,,,,,,
"RQC00665908","2018-07-23","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   23",",,7",,,,,"  267",",,7","  194",",,7",,,,,"  211",",,7",,,,,,,,
"RQC00665908","2018-07-24","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  261",",,7","  194",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-07-25","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  272",",,7","  200",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-07-26","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  278",",,7","  194",",,7",,,,,"  200",",,7",,,,,,,,
"RQC00665908","2018-07-27","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   15",",,7",,,,,"  283",",,7","  200",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-07-28","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  194",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-29","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  272",",,7","  200",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-07-30","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  283",",,7","  200",",,7","    3",",,7","  102",",,7","  211",",,7",,,,,,,,
"RQC00665908","2018-07-31","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    5",",,7",,,,,"  267",",,7","  194",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-08-01","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  261",",,7","  189",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-08-02","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","  399",",,7",,,,,"  256",",,7","  183",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-08-03","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   30",",,7",,,,,"  267",",,7","  183",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-08-04","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  256",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-08-05","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  267",",,7","  189",",,7","    2",",,7","  249",",,7","  222",",,7",,,,,,,,
"RQC00665908","2018-08-06","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   61",",,7",,,,,"  250",",,7","  183",",,7",,,,,"  233",",,7",,,,,,,,
"RQC00665908","2018-08-07","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   10",",,7",,,,,"  267",",,7","  194",",,7",,,,,"  217",",,7",,,,,,,,
