"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN12","SN12_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX12","SX12_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00128723","2017-08-26","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,,,"  133",",,7,0800",,,,,,,"  300",",,7","  233",",,7",,,,,"  311",",,7","  244",",I,7",,,,,,,,,,,,,,
"USC00128723","2017-08-27","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  133",",,7",,,,,,,,,,,,,,,,,,,,,"  200",",,7,0800",,,,,,,"  300",",,7","  250",",,7",,,,,"  306",",,7","  261",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-28","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   13",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  194",",,7",,,,,,,,,,,,,,,,,,,,,"  228",",,7,0800",,,,,,,"  222",",,7","  239",",,7",,,,,"  306",",,7","  306",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-29","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  178",",,7",,,,,,,,,,,,,,,,,,,,,"  206",",,7,0800",,,,,,,"  283",",,7","  261",",,7",,,,,"  311",",,7","  300",",,7","    1",",,7",,,,,,,,,,,,
"USC00128723","2017-08-30","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  189",",,7",,,,,,,,,,,,,,,,,,,,,"  217",",,7,0800",,,,,,,"  222",",,7","  233",",,7",,,,,"  283",",,7","  261",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-31","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  172",",,7",,,,,,,,,,,,,,,,,,,,,"  200",",,7,0800",,,,,,,"  278",",,7","  244",",,7",,,,,"  294",",,7","  261",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-01","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,"  161",",,7,0800",,,,,,,"  267",",,7","  250",",,7",,,,,"  278",",,7","  261",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-05","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US",,,"    0",",,7,0800","    0",",,7,0800","  372",",,7","  161",",,7",,,"    4",",,7",,,,,,,"    0",",,7",,,,,,,,,"  167",",,7,0800",,,,,,,"  278",",,7","  256",",,7",,,,,"  289",",,7","  272",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-06","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  139",",,7",,,,,,,,,,,,,,,,,,,,,"  144",",,7,0800",,,,,,,"  261",",I,7","  244",",I,7",,,,,"  272",",,7","  250",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-07","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  217",",,7","  144",",,7",,,,,,,,,,,,,,,,,,,,,"  200",",,7,0800",,,,,,,"  206",",,7","  217",",,7",,,,,"  217",",I,7","  228",",I,7",,,,,,,,,,,,,,
"USC00128723","2017-09-08","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,,"  117",",,7,0800",,,,,,,"  222",",,7","  222",",,7",,,,,"  233",",,7","  228",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-10","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,,"  217",",,7,0800",,,,,,,"  256",",,7","  233",",,7",,,,,"  261",",,7","  239",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-11","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  183",",,7",,,,,,,,,,,,,,,,,,,,,"  244",",,7,0800",,,,,,,"  183",",,7","  183",",,7",,,,,"  250",",,7","  244",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-12","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  161",",,7",,,,,,,,,,,,,,,,,,,,,"  161",",,7,0800",,,,,,,"  239",",I,7","  228",",,7",,,,,"  250",",,7","  239",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-13","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  161",",,7",,,,,,,,,,,,,,,,,,,,,"  189",",,7,0800",,,,,,,"  200",",,7","  211",",,7",,,,,"  222",",I,7","  239",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-14","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    8",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  178",",,7",,,,,,,,,,,,,,,,,,,,,"  183",",,7,0800",,,,,,,"  211",",,7","  211",",,7",,,,,"  222",",I,7","  239",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-15","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,,,"  189",",,7,0800",,,,,,,"  250",",I,7","  239",",,7",,,,,"  261",",,7","  250",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-17","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US",,,"    0",",,7,0800","    0",",,7,0800","  333",",,7","  250",",,7",,,"    2",",,7",,,,,,,"    0",",,7",,,,,,,,,"  256",",,7,0800",,,,,,,"  267",",,7","  244",",,7",,,,,"  278",",,7","  256",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-18","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    8",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  183",",,7",,,,,,,,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,"  222",",,7","  233",",,7",,,,,"  267",",,7","  256",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-19","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   51",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  222",",,7",,,,,,,,,,,,,,,,,,,,,"  228",",,7,0800",,,,,,,"  261",",,7","  250",",,7",,,,,"  278",",,7","  261",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-20","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  228",",,7",,,,,,,,,,,,,,,,,,,,,"  250",",,7,0800",,,,,,,"  211",",,7","  239",",,7",,,,,"  267",",,7","  267",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-22","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,,"  244",",,7,0800",,,,,,,"  300",",,7","  267",",,7",,,,,"  311",",,7","  272",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-23","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  244",",,7",,,,,,,,,,,,,,,,,,,,,"  267",",,7,0800",,,,,,,"  294",",,7","  261",",,7",,,,,"  306",",,7","  272",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-24","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  256",",,7",,,,,,,,,,,,,,,,,,,,,"  261",",,7,0800",,,,,,,"  289",",,7","  261",",,7",,,,,"  300",",,7","  267",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-25","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","   94",",,7",,,,,,,,,,,,,,,,,,,,,"  250",",,7,0800",,,,,,,"  278",",,7","  233",",,7",,,,,"  289",",,7","  267",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-27","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","   94",",,7",,,,,,,,,,,,,,,,,,,,,"  228",",,7,0800",,,,,,,"  233",",,7","  239",",,7",,,,,"  267",",,7","  267",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-28","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,,"  161",",,7,0800",,,,,,,"  267",",,7","  256",",,7",,,,,"  289",",,7","  267",",,7",,,,,,,,,,,,,,
"USC00128723","2017-09-29","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,,,"  194",",,7,0800",,,,,,,"  256",",,7","  267",",,7",,,,,"  267",",,7","  278",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-01","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","   56",",,7",,,,,,,,,,,,,,,,,,,,,"  217",",,7,0800",,,,,,,"  244",",,7","  261",",I,7",,,,,"  256",",,7","  267",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-02","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","   72",",,7",,,,,,,,,,,,,,,,,,,,,"  189",",,7,0800",,,,,,,"  189",",,7","  206",",,7",,,,,"  239",",,7","  244",",I,7",,,,,,,,,,,,,,
"USC00128723","2017-10-03","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  172",",,7",,,,,,,,,,,,,,,,,,,,,"  261",",,7,0800",,,,,,,"  239",",,7","  233",",,7",,,,,"  250",",,7","  244",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-04","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   69",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  150",",,7",,,,,,,,,,,,,,,,,,,,,"  200",",,7,0800",,,,,,,"  206",",,7","  217",",,7",,,,,"  244",",,7","  244",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-06","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US",,,"    0",",,7,0800","    0",",,7,0800","  283",",,7",,,,,"    2",",,7",,,,,,,"  320",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,"  233",",,7","  228",",,7",,,,,"  250",",,7","  244",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-07","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  206",",,7",,,,,,,,,,,,,,,,,,,,,"  244",",,7,0800",,,,,,,"  222",",,7","  228",",,7",,,,,"  233",",,7","  239",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-09","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US",,,"    0",",,7,0800","    0",",,7,0800","  306",",,7","   44",",,7",,,"    2",",,7",,,,,,,"  117",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,"  189",",,7","  211",",,7",,,,,"  233",",,7","  244",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-10","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","  399",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,,,"  178",",,7,0800",,,,,,,"  239",",I,7","  233",",I,7",,,,,"  244",",,7","  239",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-11","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   15",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,,,"  139",",,7,0800",,,,,,,"  178",",,7","  211",",,7",,,,,"  217",",I,7","  222",",I,7",,,,,,,,,,,,,,
"USC00128723","2017-10-12","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  117",",,7",,,,,,,,,,,,,,,,,,,,,"  178",",,7,0800",,,,,,,"  211",",,7","  217",",,7",,,,,"  222",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-13","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  217",",,7","  117",",,7",,,,,,,,,,,,,,,,,,,,,"  156",",,7,0800",,,,,,,"  206",",,7","  211",",I,7",,,,,"  217",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-14","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,,"  211",",,7,0800",,,,,,,"  206",",,7","  183",",,7",,,,,"  217",",,7","  200",",I,7",,,,,,,,,,,,,,
"USC00128723","2017-10-15","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   71",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  122",",,7",,,,,,,,,,,,,,,,,,,,,"  133",",,7,0800",,,,,,,"  217",",I,7","  206",",,7",,,,,"  228",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-16","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  183",",,7","  -56",",,7",,,,,,,,,,,,,,,,,,,,,"  106",",,7,0800",,,,,,,"  128",",,7","  178",",,7",,,,,"  200",",I,7","  211",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-18","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US",,,"    0",",,7,0800","    0",",,7,0800","  183",",,7","  -56",",,7",,,"    2",",,7",,,,,,,"    0",",,7",,,,,,,,,"  106",",,7,0800",,,,,,,"  128",",,7","  178",",,7",,,,,"  200",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-19","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  189",",,7","  -33",",,7",,,,,,,,,,,,,,,,,,,,,"  106",",,7,0800",,,,,,,"  111",",,7","  206",",,7",,,,,"  206",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-20","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","   44",",,7",,,,,,,,,,,,,,,,,,,,,"  206",",,7,0800",,,,,,,"  189",",,7","  194",",,7",,,,,"  206",",,7","  211",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-21","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,"  161",",,7",,,,,,,,,,,,,,,,,,,,,"  178",",,7,0800",,,,,,,"  183",",,7","  183",",,7",,,,,"  194",",,7","  189",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-22","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","  111",",,7",,,,,,,,,,,,,,,,,,,,,"  178",",,7,0800",,,,,,,"  183",",,7","  189",",,7",,,,,"  194",",,7","  194",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-23","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   99",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,,"  150",",,7,0800",,,,,,,"  172",",,7","  183",",,7",,,,,,,"  206",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-24","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","  127",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","   72",",,7",,,,,,,,,,,,,,,,,,,,,"   89",",,7,0800",,,,,,,"  111",",,7","  211",",I,7",,,,,"  206",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-25","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","   89",",,7","   39",",,7",,,,,,,,,,,,,,,,,,,,,"   50",",,7,0800",,,,,,,"  100",",,7","  144",",,7",,,,,"  133",",,7","  172",",I,7",,,,,,,,,,,,,,
"USC00128723","2017-10-26","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   13",",,7,0800","    0",",,7,0800","    0",",,7,0800","  133",",,7","  -67",",,7",,,,,,,,,,,,,,,,,,,,,"  128",",,7,0800",,,,,,,"  128",",,7","  122",",,7",,,,,"  133",",,7","  139",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-27","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   20",",,7,0800","    0",",,7,0800","    0",",,7,0800","  194",",,7","   39",",,7",,,,,,,,,,,,,,,,,,,,,"   56",",,7,0800",,,,,,,"  128",",,7","  144",",,7",,,,,"  139",",,7","  150",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-29","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US",,,"    0",",,7,0800","    0",",,7,0800",,,"   28",",,7",,,"    2",",,7",,,,,,,"   23",",,7",,,,,,,,,"   44",",,7,0800",,,,,,,"  128",",I,7","  139",",I,7",,,,,"  144",",,7","  150",",,7",,,,,,,,,,,,,,
"USC00128723","2017-10-30","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,"  -72",",,7",,,,,,,,,,,,,,,,,,,,,"   67",",,7,0800",,,,,,,"   78",",,7","  117",",,7",,,,,"  106",",I,7","  128",",I,7",,,,,,,,,,,,,,
"USC00128723","2017-10-31","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   97",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,"  -17",",,7",,,,,,,,,,,,,,,,,,,,,"    0",",,7,0800",,,,,,,"   94",",,7","  122",",,7",,,,,"  106",",,7","  128",",,7",,,,,,,,,,,,,,
"USC00128723","2017-11-01","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,"   33",",,7,0800",,,,,,,"   67",",,7","  106",",,7",,,,,"   89",",,7","  117",",,7",,,,,,,,,,,,,,
"USC00128723","2017-11-04","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,"    3",",,7",,,,,,,"   94",",,7",,,,,,,,,"  100",",,7,0800",,,,,,,"  139",",,7","  144",",,7",,,,,"  150",",,7","  156",",,7","    1",",,7",,,,,,,,,,,,
"USC00128723","2017-11-06","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US",,,"    0",",,7,0800","    0",",,7,0800","  222",",,7","   78",",,7",,,"    2",",,7",,,,,,,"  109",",,7",,,,,,,,,"   94",",,7,0800",,,,,,,"  128",",,7","  150",",,7",,,,,"  156",",,7","  161",",,7",,,,,,,,,,,,,,
"USC00128723","2017-11-07","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","   56",",,7",,,,,,,,,,,,,,,,,,,,,"   72",",,7,0800",,,,,,,"  150",",I,7","  150",",I,7",,,,,"  161",",,7","  156",",,7",,,,,,,,,,,,,,
"USC00128723","2017-11-08","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  128",",,7",,,,,,,,,,,,,,,,,,,,,,,"   61",",,7,0800",,,,,,,"   78",",,7","  117",",,7",,,,,"  139",",I,7","  133",",I,7",,,,,,,,,,,,,,
