"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00292700","2016-05-08","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  144",",,7","  -72",",,7",,,,,,,,,,,,,,,,,,,,,,,"  -44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-09","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  133",",,7","  -44",",,7",,,,,,,,,,,,,,,,,,,,,,,"    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-10","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  172",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,"   67",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-11","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  178",",,7","   -6",",,7",,,,,,,,,,,,,,,,,,,,,,,"   39",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-12","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  161",",,7","  -72",",,7",,,,,,,,,,,,,,,,,,,,,,,"  -67",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-13","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  200",",,7","  -67",",,7",,,,,,,,,,,,,,,,,,,,,,,"  -44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-14","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  228",",,7","  -50",",,7",,,,,,,,,,,,,,,,,,,,,,,"   33",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-15","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   15",",,7,0700","    0",",,7","    0",",,7,0700","  228",",,7","   28",",,7",,,,,,,,,,,,,,,,,,,,,,,"   78",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-16","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   56",",,7,0700","    0",",,7","    0",",,7,0700","  167",",,7","   11",",,7",,,,,,,,,,,,,,,,,,,,,,,"   22",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-17","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   18",",,7,0700","    0",",,7","    0",",,7,0700","  139",",,7","  -17",",,7",,,,,,,,,,,,,,,,,,,,,,,"   39",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-18","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   30",",,7,0700","    0",",,7","    0",",,7,0700","  100",",,7","   11",",,7",,,,,,,,,,,,,,,,,,,,,,,"   17",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-19","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   58",",,7,0700","    0",",,7","    0",",,7,0700","  117",",,7","    6",",,7",,,,,,,,,,,,,,,,,,,,,,,"   11",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-20","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  206",",,7","  -56",",,7",,,,,,,,,,,,,,,,,,,,,,,"  -44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-21","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  211",",,7","  -67",",,7",,,,,,,,,,,,,,,,,,,,,,,"  -44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-22","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  222",",,7","  -44",",,7",,,,,,,,,,,,,,,,,,,,,,,"  -39",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-23","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  200",",,7","  -39",",,7",,,,,,,,,,,,,,,,,,,,,,,"    6",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-24","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  222",",,7","  -44",",,7",,,,,,,,,,,,,,,,,,,,,,,"  -22",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-25","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  206",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,,,,"   11",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-26","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  200",",,7","  -33",",,7",,,,,,,,,,,,,,,,,,,,,,,"  156",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-27","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  178",",,7","   -6",",,7",,,,,,,,,,,,,,,,,,,,,,,"   72",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-28","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  161",",,7","  -61",",,7",,,,,,,,,,,,,,,,,,,,,,,"   56",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-29","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  183",",,7","  -17",",,7",,,,,,,,,,,,,,,,,,,,,,,"   44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-30","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  217",",,7","   -6",",,7",,,,,,,,,,,,,,,,,,,,,,,"   39",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-05-31","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  222",",,7","   11",",,7",,,,,,,,,,,,,,,,,,,,,,,"   72",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-01","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    8",",,7,0700","    0",",,7","    0",",,7,0700","  189",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,,,,"   67",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-02","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   38",",,7,0700","    0",",,7","    0",",,7,0700","  178",",,7","   17",",,7",,,,,,,,,,,,,,,,,,,,,,,"   22",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-03","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  200",",,7","   11",",,7",,,,,,,,,,,,,,,,,,,,,,,"   44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-04","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  256",",,7","    6",",,7",,,,,,,,,,,,,,,,,,,,,,,"   89",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-05","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  256",",,7","    6",",,7",,,,,,,,,,,,,,,,,,,,,,,"  111",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-06","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  261",",,7","   28",",,7",,,,,,,,,,,,,,,,,,,,,,,"   61",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-07","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    3",",,7,0700","    0",",,7","    0",",,7,0700","  256",",,7","   33",",,7",,,,,,,,,,,,,,,,,,,,,,,"   67",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-08","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700",,,,,"  267",",,7","   22",",,7",,,,,,,,,,,,,,,,,,,,,,,"   67",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-09","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700",,,,,"  250",",,7","   28",",,7",,,,,,,,,,,,,,,,,,,,,,,"   72",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-10","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    8",",,7,0700",,,,,"  267",",,7","   22",",,7",,,,,,,,,,,,,,,,,,,,,,,"   83",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-11","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    8",",,7,0700",,,,,"  272",",,7","   17",",,7",,,,,,,,,,,,,,,,,,,,,,,"  128",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-12","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700",,,,,"  261",",,7","   17",",,7",,,,,,,,,,,,,,,,,,,,,,,"   61",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-13","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700",,,,,"  267",",,7","   28",",,7",,,,,,,,,,,,,,,,,,,,,,,"   72",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-14","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700",,,,,"  267",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,"   61",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-15","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700",,,,,"  256",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,,,,"   61",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-06-16","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700",,,,,"  267",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,,,,"   44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-01","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-02","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-03","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-04","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-05","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-06","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-07","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-08","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-09","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-10","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-11","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-12","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-13","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-14","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-15","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-16","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-17","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-18","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-19","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-20","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-21","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-22","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  311",",,7","   89",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,"  128",",,7","  128",",,7","  156",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-23","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  311",",,7","   89",",,7",,,,,,,,,"   46",",,7,0700",,,,,,,,,"  144",",I,7","  144",",,7","  122",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-24","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    3",",,7,0700","    0",",,7","    0",",,7,0700","  311",",,7","   78",",,7",,,,,,,,,"   46",",,7,0700",,,,,,,,,"  133",",I,7","  133",",,7","  106",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-25","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   46",",,7,0700","    0",",,7","    0",",,7,0700","  311",",,7","   67",",,7",,,,,,,,,"    0",",,7,0700",,,,,,,,,"  117",",,7","  117",",I,7","   78",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-26","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","  201",",,7,0700","    0",",,7","    0",",,7,0700","  311",",,7","   56",",,7",,,,,,,,," -142",",X,7,0700",,,,,,,,,"  111",",,7","  111",",,7","   78",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-27","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  267",",,7","   56",",,7",,,,,,,,,"   48",",,7,0700",,,,,,,,,"  106",",,7","  122",",,7","   83",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-28","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    3",",,7,0700","    0",",,7","    0",",,7,0700","  272",",,7","   78",",,7",,,,,,,,,"   43",",,7,0700",,,,,,,,,"  128",",,7","  128",",,7","   78",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-29","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  300",",,7","   61",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,"  111",",,7","  261",",,7","   72",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-30","36.5575","-105.2627","2523.7","EAGLE NEST, NM US",,,"    0",",,7","    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-07-31","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    5",",,7,0700","    0",",,7","    0",",,7,0700","  311",",,7","   33",",,7",,,,,,,,,"   84",",,7,0700",,,,,,,,,"   78",",,7","  261",",,7","  128",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-08-01","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   33",",,7,0700","    0",",,7","    0",",,7,0700","  289",",,7","   33",",,7",,,,,,,,,"   13",",,7,0700",,,,,,,,,"   89",",,7","  261",",,7","  133",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-08-02","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   38",",,7,0700","    0",",,7","    0",",,7,0700","  289",",,7","   33",",,7",,,,,,,,,"   13",",,7,0700",,,,,,,,,"   89",",,7","  261",",,7","  117",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-08-03","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","    0",",,7,0700","    0",",,7","    0",",,7,0700","  233",",,7","  106",",,7",,,,,,,,,"   43",",,7,0700",,,,,,,,,"   89",",,7","  261",",,7","  128",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-08-04","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   10",",,7,0700","    0",",,7","    0",",,7,0700","  239",",,7","   67",",,7",,,,,,,,,"   36",",,7,0700",,,,,,,,,"   89",",,7","  261",",,7","   89",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-08-05","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","  117",",,7,0700","    0",",,7","    0",",,7,0700","  261",",,7","   78",",,7",,,,,,,,,"  -99",",X,7,0700",,,,,,,,,"  122",",,7","  233",",,7","   83",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00292700","2016-08-06","36.5575","-105.2627","2523.7","EAGLE NEST, NM US","   43",",,7,0700","    0",",,7","    0",",,7,0700","  194",",,7","   83",",,7",,,,,,,,,"  -20",",X,7,0700",,,,,,,,,"  122",",,7","  200",",,7","  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
