"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00150397","2018-07-27","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0","T,,7,1800",,,,,"  294",",,7","  128",",,7",,,,,,,,,"  272",",,7,1800",,,"  272",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-28","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  272",",,7","  111",",,7",,,,,,,,,"  261",",,7,1800",,,"  261",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-29","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  289",",,7","  150",",,7",,,,,,,,,"  267",",,7,1800",,,"  261",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-30","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   15",",,7,1800",,,,,"  289",",,7","  178",",,7",,,,,,,,,"  244",",,7,1800",,,"  261",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-31","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   69",",,7,1800",,,,,"  278",",,7","  161",",,7",,,,,,,,,"  239",",,7,1800",,,"  267",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-01","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  371",",,7,1800",,,,,"  244",",,7","  194",",,7",,,,,,,,,"  228",",,7,1800",,,"  256",",,7",,,"  289",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-02","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  278",",,7","  183",",,7",,,,,,,,,"  250",",,7,1800",,,"  256",",,7",,,"  289",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-03","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-04","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-05","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  328",",,7","   94",",S,7",,,,,,,,,"  250",",,7,1800",,,"  256",",,7",,,"  317",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-08-06","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  322",",,7","  206",",,7",,,,,,,,,"  306",",,7,1800",,,"  278",",,7",,,"  317",",,7",,,,,,,,,,,,,,,,,,
