"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023162","2018-02-22","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700",,,"  -11",",,7"," -106",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-02-23","39.33741","-112.58571","1411.2","DELTA, UT US","   10",",,7,1700","   51",",,7,1700","   51",",,7,1700","  -17",",,7"," -222",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-02-24","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","   25",",,7,1700","  -11",",,7"," -183",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-02-25","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","   28",",,7"," -122",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-02-26","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","   44",",,7"," -106",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-02-27","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","   44",",,7","  -94",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-02-28","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","   33",",,7","  -50",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-03-01","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  128",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-03-02","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700",,,"  133",",,7","  -28",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-03-03","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700",,,"  122",",,7","  -33",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
